DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2009-03-31,197.1,197.1,197.1,197.1,0.0
2009-04-01,197.7,197.7,197.7,197.7,0.0
2009-04-02,209.3,209.3,209.3,209.3,0.0
2009-04-03,211.7,211.7,211.7,211.7,0.0
2009-04-06,214.8,214.8,214.8,214.8,0.0
2009-04-07,209.1,209.1,209.1,209.1,0.0
2009-04-08,207.2,207.2,207.2,207.2,0.0
2009-04-09,213.8,213.8,213.8,213.8,0.0
2009-04-13,218.8,218.8,218.8,218.8,0.0
2009-04-14,220.7,220.7,220.7,220.7,0.0
2009-04-15,223.3,223.3,223.3,223.3,0.0
2009-04-16,222.1,222.1,222.1,222.1,0.0
2009-04-17,222.8,222.8,222.8,222.8,0.0
2009-04-20,218.7,218.7,218.7,218.7,0.0
2009-04-21,218.8,218.8,218.8,218.8,0.0
2009-04-22,215.0,215.0,215.0,215.0,0.0
2009-04-23,217.2,217.2,217.2,217.2,0.0
2009-04-24,216.4,216.4,216.4,216.4,0.0
2009-04-27,213.5,213.5,213.5,213.5,0.0
2009-04-28,211.9,211.9,211.9,211.9,0.0
2009-04-29,219.7,219.7,219.7,219.7,0.0
2009-04-30,226.7,226.7,226.7,226.7,0.0
2009-05-04,241.7,241.7,241.7,241.7,0.0
2009-05-05,248.1,248.1,248.1,248.1,0.0
2009-05-06,261.2,261.2,261.2,261.2,0.0
2009-05-07,271.0,271.0,271.0,271.0,0.0
2009-05-08,272.1,272.1,272.1,272.1,0.0
2009-05-11,260.0,260.0,260.0,260.0,0.0
2009-05-12,261.4,261.4,261.4,261.4,0.0
2009-05-13,262.4,262.4,262.4,262.4,0.0
2009-05-14,254.0,254.0,254.0,254.0,0.0
2009-05-15,259.0,259.0,259.0,259.0,0.0
2009-05-18,263.0,263.0,263.0,263.0,0.0
2009-05-19,274.4,274.4,274.4,274.4,0.0
2009-05-20,274.4,274.4,274.4,274.4,0.0
2009-05-21,263.4,263.4,263.4,263.4,0.0
2009-05-22,269.7,269.7,269.7,269.7,0.0
2009-05-25,270.7,270.7,270.7,270.7,0.0
2009-05-26,266.2,266.2,266.2,266.2,0.0
2009-05-27,275.2,275.2,275.2,275.2,0.0
2009-05-28,273.4,273.4,273.4,273.4,0.0
2009-05-29,278.4,278.4,278.4,278.4,0.0
2009-06-01,284.6,284.6,284.6,284.6,0.0
2009-06-02,285.3,285.3,285.3,285.3,0.0
2009-06-03,285.7,285.7,285.7,285.7,0.0
2009-06-04,283.5,283.5,283.5,283.5,0.0
2009-06-05,288.3,288.3,288.3,288.3,0.0
2009-06-08,279.8,279.8,279.8,279.8,0.0
2009-06-09,282.0,282.0,282.0,282.0,0.0
2009-06-10,288.5,288.5,288.5,288.5,0.0
2009-06-11,286.1,286.1,286.1,286.1,0.0
2009-06-12,283.3,283.3,283.3,283.3,0.0
2009-06-15,275.4,275.4,275.4,275.4,0.0
2009-06-16,272.7,272.7,272.7,272.7,0.0
2009-06-17,270.0,270.0,270.0,270.0,0.0
2009-06-18,266.6,266.6,266.6,266.6,0.0
2009-06-19,271.7,271.7,271.7,271.7,0.0
2009-06-22,269.1,269.1,269.1,269.1,0.0
2009-06-23,263.7,263.7,263.7,263.7,0.0
2009-06-24,270.7,270.7,270.7,270.7,0.0
2009-06-25,273.3,273.3,273.3,273.3,0.0
2009-06-26,276.4,276.4,276.4,276.4,0.0
2009-06-29,276.1,276.1,276.1,276.1,0.0
2009-06-30,276.3,276.3,276.3,276.3,0.0
2009-07-01,279.4,279.4,279.4,279.4,0.0
2009-07-02,275.5,275.5,275.5,275.5,0.0
2009-07-03,273.1,273.1,273.1,273.1,0.0
2009-07-06,268.1,268.1,268.1,268.1,0.0
2009-07-07,270.2,270.2,270.2,270.2,0.0
2009-07-08,268.6,268.6,268.6,268.6,0.0
2009-07-09,276.1,276.1,276.1,276.1,0.0
2009-07-10,275.1,275.1,275.1,275.1,0.0
2009-07-13,269.1,269.1,269.1,269.1,0.0
2009-07-14,275.7,275.7,275.7,275.7,0.0
2009-07-15,284.9,284.9,284.9,284.9,0.0
2009-07-16,286.4,286.4,286.4,286.4,0.0
2009-07-17,290.7,290.7,290.7,290.7,0.0
2009-07-20,292.8,292.8,292.8,292.8,0.0
2009-07-21,291.8,291.8,291.8,291.8,0.0
2009-07-22,292.1,292.1,292.1,292.1,0.0
2009-07-23,296.0,296.0,296.0,296.0,0.0
2009-07-24,301.8,301.8,301.8,301.8,0.0
2009-07-27,308.5,308.5,308.5,308.5,0.0
2009-07-28,314.4,314.4,314.4,314.4,0.0
2009-07-29,310.9,310.9,310.9,310.9,0.0
2009-07-30,315.4,315.4,315.4,315.4,0.0
2009-07-31,317.0,317.0,317.0,317.0,0.0
2009-08-03,321.1,321.1,321.1,321.1,0.0
2009-08-04,315.7,315.7,315.7,315.7,0.0
2009-08-05,311.0,311.0,311.0,311.0,0.0
2009-08-06,310.2,310.2,310.2,310.2,0.0
2009-08-07,303.4,303.4,303.4,303.4,0.0
2009-08-11,311.0,311.0,311.0,311.0,0.0
2009-08-12,305.8,305.8,305.8,305.8,0.0
2009-08-13,312.2,312.2,312.2,312.2,0.0
2009-08-14,312.9,312.9,312.9,312.9,0.0
2009-08-17,302.0,302.0,302.0,302.0,0.0
2009-08-18,306.6,306.6,306.6,306.6,0.0
2009-08-19,302.5,302.5,302.5,302.5,0.0
2009-08-20,307.1,307.1,307.1,307.1,0.0
2009-08-21,306.1,306.1,306.1,306.1,0.0
