DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2013-09-09,110.19,110.19,110.19,110.19,0.0
2013-09-10,110.145,110.145,110.145,110.145,0.0
2013-09-11,110.18,110.18,110.18,110.18,0.0
2013-09-12,110.255,110.255,110.255,110.255,0.0
2013-09-13,110.245,110.245,110.245,110.245,0.0
2013-09-16,110.285,110.285,110.285,110.285,0.0
2013-09-17,110.265,110.265,110.265,110.265,0.0
2013-09-18,110.23,110.23,110.23,110.23,0.0
2013-09-19,110.335,110.335,110.335,110.335,0.0
2013-09-20,110.305,110.305,110.305,110.305,0.0
2013-09-23,110.335,110.335,110.335,110.335,0.0
2013-09-24,110.375,110.375,110.375,110.375,0.0
2013-09-25,110.305,110.305,110.305,110.305,0.0
2013-09-26,110.26,110.26,110.26,110.26,0.0
2013-09-27,110.305,110.305,110.305,110.305,0.0
2013-09-30,110.3,110.3,110.3,110.3,0.0
2013-10-01,110.295,110.295,110.295,110.295,0.0
2013-10-02,110.32,110.32,110.32,110.32,0.0
2013-10-03,110.33,110.33,110.33,110.33,0.0
2013-10-04,110.31,110.31,110.31,110.31,0.0
2013-10-07,110.325,110.325,110.325,110.325,0.0
2013-10-08,110.355,110.355,110.355,110.355,0.0
2013-10-09,110.35,110.35,110.35,110.35,0.0
2013-10-10,110.34,110.34,110.34,110.34,0.0
2013-10-11,110.35,110.35,110.35,110.35,0.0
2013-10-14,110.355,110.355,110.355,110.355,0.0
2013-10-15,110.31,110.31,110.31,110.31,0.0
2013-10-16,110.27,110.27,110.27,110.27,0.0
2013-10-17,110.34,110.34,110.34,110.34,0.0
2013-10-18,110.365,110.365,110.365,110.365,0.0
2013-10-21,110.32,110.32,110.32,110.32,0.0
2013-10-22,110.32,110.32,110.32,110.32,0.0
2013-10-23,110.315,110.315,110.315,110.315,0.0
2013-10-24,110.28,110.28,110.28,110.28,0.0
2013-10-25,110.26,110.26,110.26,110.26,0.0
2013-10-28,110.255,110.255,110.255,110.255,0.0
2013-10-29,110.32,110.32,110.32,110.32,0.0
2013-10-30,110.37,110.37,110.37,110.37,0.0
2013-10-31,110.47,110.47,110.47,110.47,0.0
2013-11-01,110.48,110.48,110.48,110.48,0.0
2013-11-04,110.49,110.49,110.49,110.49,0.0
2013-11-05,110.43,110.43,110.43,110.43,0.0
2013-11-06,110.435,110.435,110.435,110.435,0.0
2013-11-07,110.57,110.57,110.57,110.57,0.0
2013-11-08,110.53,110.53,110.53,110.53,0.0
2013-11-11,110.55,110.55,110.55,110.55,0.0
2013-11-12,110.545,110.545,110.545,110.545,0.0
2013-11-13,110.58,110.58,110.58,110.58,0.0
2013-11-14,110.57,110.57,110.57,110.57,0.0
2013-11-15,110.54,110.54,110.54,110.54,0.0
2013-11-18,110.555,110.555,110.555,110.555,0.0
2013-11-19,110.535,110.535,110.535,110.535,0.0
2013-11-20,110.59,110.59,110.59,110.59,0.0
2013-11-21,110.575,110.575,110.575,110.575,0.0
2013-11-22,110.505,110.505,110.505,110.505,0.0
2013-11-25,110.52,110.52,110.52,110.52,0.0
2013-11-26,110.535,110.535,110.535,110.535,0.0
2013-11-27,110.535,110.535,110.535,110.535,0.0
2013-11-28,110.535,110.535,110.535,110.535,0.0
2013-11-29,110.55,110.55,110.55,110.55,0.0
2013-12-02,110.53,110.53,110.53,110.53,0.0
2013-12-03,110.54,110.54,110.54,110.54,0.0
2013-12-04,110.45,110.45,110.45,110.45,4.0
2013-12-05,110.375,110.375,110.375,110.375,0.0
2013-12-06,110.345,110.345,110.345,110.345,0.0
2013-12-09,110.315,110.315,110.315,110.315,0.0
2013-12-10,110.325,110.325,110.325,110.325,0.0
2013-12-11,110.3,110.3,110.3,110.3,0.0
2013-12-12,110.245,110.245,110.245,110.245,0.0
2013-12-13,110.265,110.265,110.265,110.265,0.0
2013-12-16,110.25,110.25,110.25,110.25,0.0
2013-12-17,110.28,110.28,110.28,110.28,0.0
2013-12-18,110.265,110.265,110.265,110.265,0.0
2013-12-19,110.3,110.3,110.3,110.3,0.0
2013-12-20,110.28,110.28,110.28,110.28,0.0
