DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1987-05-29,771.7,771.7,771.7,771.7,0.0
1987-06-01,741.2,753.0,732.0,750.6,6.0
1987-06-02,789.1,789.1,789.1,789.1,0.0
1987-06-03,766.9,766.9,766.9,766.9,11.0
1987-06-04,790.0,790.1,790.0,790.1,1.0
1987-06-05,798.0,798.0,788.1,788.1,1.0
1987-06-08,768.0,768.0,768.0,768.0,0.0
1987-06-09,781.0,796.0,781.0,796.0,3.0
1987-06-10,785.0,792.4,785.0,792.4,0.0
1987-06-11,804.9,804.9,804.9,804.9,0.0
1987-06-12,789.0,790.0,778.4,778.4,3.0
1987-06-15,760.9,773.0,751.0,773.0,18.0
1987-06-16,772.5,772.5,756.8,756.8,3.0
1987-06-17,749.8,749.8,749.8,749.8,2.0
1987-06-18,752.8,752.8,752.8,752.8,0.0
1987-06-19,748.0,748.0,720.0,721.8,6.0
1987-06-22,698.0,698.0,676.5,676.5,4.0
1987-06-23,694.0,694.0,694.0,694.0,0.0
1987-06-24,689.0,698.2,689.0,698.2,1.0
1987-06-25,690.0,690.0,689.7,689.7,1.0
1987-06-26,707.0,707.0,700.0,700.0,2.0
1987-06-29,717.0,720.0,714.7,714.7,2.0
1987-06-30,735.7,735.7,735.7,735.7,0.0
1987-07-01,747.7,747.7,747.7,747.7,8.0
1987-07-02,738.8,745.0,738.0,744.2,6.0
1987-07-06,760.0,760.2,760.0,760.2,1.0
1987-07-07,750.7,750.7,750.7,750.7,0.0
1987-07-08,767.2,767.2,767.2,767.2,0.0
1987-07-09,770.6,770.6,770.6,770.6,2.0
1987-07-10,761.2,761.2,761.2,761.2,0.0
1987-07-13,763.7,763.7,763.7,763.7,0.0
1987-07-14,762.7,762.7,762.7,762.7,0.0
1987-07-15,781.0,781.4,781.0,781.4,1.0
1987-07-16,777.1,777.1,777.1,777.1,2.0
1987-07-17,746.4,746.4,746.4,746.4,2.0
1987-07-20,766.4,766.4,766.4,766.4,0.0
1987-07-21,770.0,771.9,770.0,771.9,7.0
1987-07-22,778.4,778.4,778.4,778.4,0.0
1987-07-23,772.0,772.0,772.0,772.0,0.0
1987-07-24,769.7,773.0,768.0,773.0,2.0
1987-07-27,773.0,773.0,773.0,773.0,1.0
1987-07-28,785.0,796.0,785.0,796.0,2.0
1987-07-29,808.0,808.0,802.0,802.0,1.0
1987-07-30,800.0,831.5,800.0,831.5,28.0
1987-07-31,829.2,830.0,825.0,830.0,48.0
1987-08-03,866.5,879.0,863.0,877.5,108.0
1987-08-04,880.0,882.7,880.0,882.7,6.0
1987-08-05,850.0,850.0,833.7,833.7,268.0
1987-08-06,826.0,826.0,826.0,826.0,0.0
1987-08-07,759.0,759.0,759.0,759.0,30.0
1987-08-10,772.5,772.7,772.5,772.7,2.0
1987-08-11,786.0,786.0,782.4,782.4,4.0
1987-08-12,786.2,786.2,786.2,786.2,20.0
1987-08-13,764.5,764.5,764.5,764.5,0.0
1987-08-14,753.0,753.0,739.9,739.9,16.0
1987-08-17,756.3,756.3,756.3,756.3,0.0
1987-08-18,770.6,770.6,770.6,770.6,0.0
1987-08-19,781.1,781.1,781.1,781.1,9.0
1987-08-20,748.8,748.8,748.8,748.8,80.0
1987-08-21,766.4,766.4,766.4,766.4,0.0
1987-08-24,778.6,778.6,778.6,778.6,0.0
1987-08-25,768.2,768.2,768.2,768.2,0.0
1987-08-26,772.5,772.5,771.5,771.5,4.0
1987-08-27,753.3,753.3,753.3,753.3,0.0
