DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2018-03-19,8596.0,8596.0,8596.0,8596.0,0.0
2018-03-20,8635.0,8635.0,8635.0,8635.0,0.0
2018-03-21,8617.0,8617.0,8576.0,8576.0,2.0
2018-03-22,8505.0,8505.0,8434.0,8434.0,1.0
2018-03-23,8349.0,8349.0,8345.0,8345.0,1.0
2018-03-26,8294.0,8294.0,8294.0,8294.0,5.0
2018-03-27,8409.0,8409.0,8409.0,8409.0,0.0
2018-03-28,8534.0,8534.0,8534.0,8534.0,8.0
2018-03-29,8552.0,8552.0,8552.0,8552.0,0.0
2018-04-03,8460.0,8460.0,8440.0,8440.0,2.0
2018-04-04,8326.0,8351.0,8326.0,8351.0,1.0
2018-04-05,8525.0,8525.0,8525.0,8525.0,0.0
2018-04-06,8506.0,8506.0,8506.0,8506.0,0.0
2018-04-09,8514.0,8514.0,8514.0,8514.0,0.0
2018-04-10,8583.0,8583.0,8583.0,8583.0,0.0
2018-04-11,8547.0,8547.0,8547.0,8547.0,0.0
2018-04-12,8608.0,8608.0,8608.0,8608.0,0.0
2018-04-13,8632.0,8632.0,8598.0,8598.0,5.0
2018-04-16,8601.0,8601.0,8601.0,8601.0,0.0
2018-04-17,8698.0,8698.0,8698.0,8698.0,0.0
2018-04-18,8708.0,8708.0,8708.0,8708.0,0.0
2018-04-19,8700.0,8700.0,8700.0,8700.0,0.0
2018-04-20,8695.0,8695.0,8695.0,8695.0,0.0
2018-04-23,8660.0,8678.0,8660.0,8678.0,10.0
2018-04-24,8672.0,8672.0,8672.0,8672.0,80.0
2018-04-25,8621.0,8621.0,8621.0,8621.0,0.0
2018-04-26,8735.0,8735.0,8735.0,8735.0,0.0
2018-04-27,8735.0,8735.0,8735.0,8735.0,0.0
2018-04-30,8790.0,8790.0,8790.0,8790.0,0.0
2018-05-02,8779.0,8779.0,8779.0,8779.0,0.0
2018-05-03,8748.0,8748.0,8748.0,8748.0,0.0
2018-05-04,8802.0,8802.0,8802.0,8802.0,0.0
2018-05-07,8904.0,8904.0,8904.0,8904.0,0.0
2018-05-08,8875.0,8875.0,8875.0,8875.0,0.0
2018-05-09,8936.0,8936.0,8896.0,8896.0,4.0
2018-05-11,8914.0,8937.0,8914.0,8937.0,10.0
2018-05-14,8929.0,8938.0,8929.0,8938.0,2.0
2018-05-15,8916.0,8932.0,8913.0,8932.0,55.0
2018-05-16,8924.0,8924.0,8924.0,8924.0,0.0
2018-05-17,8918.0,8918.0,8918.0,8918.0,0.0
2018-05-18,8882.0,8882.0,8882.0,8882.0,0.0
2018-05-22,8887.0,8887.0,8887.0,8887.0,0.0
2018-05-23,8740.0,8740.0,8730.0,8730.0,2.0
2018-05-24,8692.0,8709.0,8692.0,8709.0,25.0
2018-05-25,8708.0,8708.0,8708.0,8708.0,0.0
2018-05-28,8735.0,8735.0,8735.0,8735.0,1.0
2018-05-29,8581.0,8581.0,8581.0,8581.0,0.0
2018-05-30,8573.0,8573.0,8539.0,8539.0,15.0
2018-05-31,8405.0,8405.0,8405.0,8405.0,0.0
2018-06-01,8485.0,8575.0,8485.0,8572.0,11.0
2018-06-04,8590.0,8590.0,8578.0,8578.0,1.0
2018-06-05,8503.0,8503.0,8503.0,8503.0,0.0
2018-06-06,8462.0,8490.0,8462.0,8471.0,69.0
2018-06-07,8522.0,8522.0,8497.0,8497.0,2.0
2018-06-08,8480.0,8480.0,8471.0,8471.0,77.0
2018-06-11,8540.0,8571.0,8540.0,8571.0,2.0
2018-06-12,8579.0,8579.0,8571.0,8577.0,9.0
2018-06-13,8581.0,8601.0,8577.0,8590.0,506.0
2018-06-14,8644.0,8644.0,8644.0,8644.0,0.0
2018-06-15,8635.0,8635.0,8591.0,8593.0,7.0
2018-06-18,8564.0,8564.0,8458.0,8478.0,13.0
2018-06-19,8400.0,8410.0,8384.0,8410.0,97.0
2018-06-20,8458.0,8512.0,8458.0,8512.0,11.0
2018-06-21,8418.0,8418.0,8418.0,8418.0,28.0
2018-06-22,8433.0,8567.0,8433.0,8565.0,31.0
2018-06-25,8524.0,8524.0,8414.0,8414.0,16.0
2018-06-26,8405.0,8454.0,8405.0,8428.0,6.0
2018-06-27,8351.0,8498.0,8336.0,8472.0,45.0
