DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2019-09-18,99.445,99.445,99.445,99.445,0.0
2019-09-19,99.42,99.42,99.42,99.42,0.0
2019-09-20,99.4,99.4,99.4,99.4,0.0
2019-09-23,99.465,99.465,99.465,99.465,0.0
2019-09-24,99.485,99.485,99.485,99.485,0.0
2019-09-25,99.515,99.515,99.515,99.515,0.0
2019-09-26,99.535,99.535,99.535,99.535,0.0
2019-09-27,99.6,99.6,99.6,99.6,0.0
2019-09-30,99.615,99.615,99.615,99.615,0.0
2019-10-01,99.62,99.62,99.62,99.62,0.0
2019-10-02,99.605,99.605,99.605,99.605,0.0
2019-10-03,99.645,99.645,99.645,99.645,0.0
2019-10-04,99.655,99.655,99.655,99.655,0.0
2019-10-07,99.655,99.655,99.655,99.655,0.0
2019-10-08,99.675,99.675,99.675,99.675,0.0
2019-10-09,99.635,99.635,99.635,99.635,0.0
2019-10-10,99.56,99.56,99.56,99.56,0.0
2019-10-11,99.39,99.39,99.39,99.39,0.0
2019-10-14,99.45,99.45,99.45,99.45,0.0
2019-10-15,99.405,99.405,99.405,99.405,0.0
2019-10-16,99.39,99.39,99.39,99.39,0.0
2019-10-17,99.38,99.38,99.38,99.38,0.0
2019-10-18,99.345,99.345,99.345,99.345,0.0
2019-10-21,99.335,99.335,99.335,99.335,0.0
2019-10-22,99.365,99.365,99.365,99.365,0.0
2019-10-23,99.365,99.365,99.365,99.365,0.0
2019-10-24,99.415,99.415,99.415,99.415,0.0
2019-10-25,99.39,99.39,99.39,99.39,0.0
2019-10-28,99.335,99.335,99.335,99.335,0.0
2019-10-29,99.325,99.325,99.325,99.325,0.0
2019-10-30,99.375,99.375,99.375,99.375,0.0
2019-10-31,99.435,99.435,99.435,99.435,0.0
2019-11-01,99.435,99.435,99.435,99.435,0.0
2019-11-04,99.38,99.38,99.38,99.38,0.0
2019-11-05,99.335,99.335,99.335,99.335,0.0
2019-11-06,99.335,99.335,99.335,99.335,0.0
2019-11-07,99.345,99.345,99.345,99.345,0.0
2019-11-08,99.295,99.295,99.295,99.295,0.0
2019-11-11,99.29,99.29,99.29,99.29,0.0
2019-11-12,99.285,99.285,99.285,99.285,0.0
2019-11-13,99.34,99.34,99.34,99.34,0.0
2019-11-14,99.355,99.355,99.355,99.355,0.0
2019-11-15,99.335,99.335,99.335,99.335,0.0
2019-11-18,99.315,99.315,99.315,99.315,0.0
2019-11-19,99.33,99.33,99.33,99.33,0.0
2019-11-20,99.34,99.34,99.34,99.34,0.0
2019-11-21,99.325,99.325,99.325,99.325,0.0
2019-11-22,99.39,99.39,99.39,99.39,0.0
2019-11-25,99.385,99.385,99.385,99.385,0.0
2019-11-26,99.425,99.425,99.425,99.425,0.0
2019-11-27,99.36,99.36,99.36,99.36,0.0
2019-11-28,99.355,99.355,99.355,99.355,0.0
2019-11-29,99.33,99.33,99.33,99.33,0.0
2019-12-02,99.3,99.3,99.3,99.3,0.0
2019-12-03,99.33,99.33,99.33,99.33,0.0
2019-12-04,99.285,99.285,99.285,99.285,0.0
2019-12-05,99.235,99.235,99.235,99.235,0.0
2019-12-06,99.25,99.25,99.25,99.25,0.0
2019-12-09,99.26,99.26,99.26,99.26,0.0
2019-12-10,99.235,99.235,99.235,99.235,0.0
2019-12-11,99.24,99.24,99.24,99.24,0.0
2019-12-12,99.16,99.16,99.16,99.16,0.0
2019-12-13,99.2,99.2,99.2,99.2,0.0
2019-12-16,99.205,99.205,99.205,99.205,0.0
2019-12-17,99.24,99.24,99.24,99.24,0.0
2019-12-18,99.225,99.225,99.225,99.225,0.0
2019-12-19,99.205,99.205,99.205,99.205,0.0
2019-12-20,99.215,99.215,99.215,99.215,0.0
2019-12-23,99.215,99.215,99.215,99.215,0.0
2019-12-24,99.22,99.22,99.22,99.22,0.0
2019-12-27,99.22,99.22,99.22,99.22,0.0
2019-12-30,99.13,99.13,99.13,99.13,0.0
2019-12-31,99.17,99.17,99.17,99.17,0.0
2020-01-02,99.215,99.215,99.215,99.215,0.0
2020-01-03,99.29,99.29,99.29,99.29,0.0
2020-01-06,99.28,99.28,99.28,99.28,0.0
2020-01-07,99.28,99.28,99.28,99.28,0.0
2020-01-08,99.285,99.285,99.285,99.285,0.0
2020-01-09,99.22,99.22,99.22,99.22,0.0
