DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1992-04-07,610.0,610.0,601.0,601.0,1.0
1992-04-08,599.0,599.0,598.0,598.0,2.0
1992-04-09,598.0,598.0,598.0,598.0,1.0
1992-04-10,601.0,601.0,601.0,601.0,2.0
1992-04-15,605.0,605.0,605.0,605.0,1.0
1992-04-16,605.0,605.0,604.0,604.5,2.0
1992-04-20,605.0,608.0,605.0,607.5,4.0
1992-04-21,608.0,610.0,608.0,610.0,2.0
1992-04-22,605.0,605.0,604.0,604.0,4.0
1992-04-23,605.0,610.0,604.0,610.0,29.0
1992-04-24,609.0,609.0,604.0,604.0,1.0
1992-04-27,605.0,605.0,604.0,604.0,5.0
1992-04-28,601.5,603.5,601.5,603.5,3.0
1992-04-29,603.5,603.5,602.5,602.5,5.0
1992-04-30,602.5,602.5,602.5,602.5,0.0
1992-05-01,611.0,611.0,611.0,611.0,0.0
1992-05-04,611.0,619.0,611.0,615.0,62.0
1992-05-05,612.5,614.0,612.5,614.0,4.0
1992-05-06,609.5,616.5,609.5,616.5,6.0
1992-05-07,620.0,620.0,620.0,620.0,0.0
1992-05-08,615.5,615.5,611.0,613.0,12.0
1992-05-11,616.0,616.0,614.0,614.0,15.0
1992-05-12,618.0,620.0,613.0,614.25,178.0
1992-05-13,614.5,614.5,608.0,608.5,144.0
1992-05-14,610.0,613.0,608.0,610.0,74.0
1992-05-15,613.0,615.0,610.0,610.5,133.0
1992-05-18,612.0,615.0,612.0,615.0,34.0
1992-05-19,612.75,613.0,605.0,606.5,63.0
1992-05-20,607.0,614.5,607.0,610.25,151.0
1992-05-21,607.0,607.0,603.0,603.75,109.0
1992-05-22,605.5,606.0,604.0,604.0,66.0
1992-05-26,606.0,607.0,603.0,605.0,74.0
1992-05-27,606.5,616.0,605.0,607.25,130.0
1992-05-28,608.0,609.5,606.0,606.0,28.0
1992-05-29,610.0,615.0,608.0,608.0,95.0
1992-06-01,614.0,619.75,613.0,613.0,203.0
1992-06-02,614.0,620.0,613.5,617.75,104.0
1992-06-03,615.5,616.0,612.0,615.5,91.0
1992-06-04,615.0,615.0,610.0,610.5,55.0
1992-06-05,606.0,611.0,604.5,604.75,113.0
1992-06-08,608.0,611.75,608.0,611.5,178.0
1992-06-09,614.0,620.0,614.0,614.5,285.0
1992-06-10,612.5,613.0,610.5,611.5,104.0
1992-06-11,610.0,611.0,609.0,609.0,97.0
1992-06-12,608.0,611.0,607.5,607.75,149.0
1992-06-15,602.75,603.0,594.5,597.0,264.0
1992-06-16,599.0,600.25,595.5,595.5,95.0
1992-06-17,600.0,602.0,596.5,597.0,188.0
1992-06-18,596.5,599.5,594.5,599.0,137.0
1992-06-19,599.0,604.0,599.0,603.0,153.0
1992-06-22,602.0,602.0,598.0,599.5,168.0
1992-06-23,598.5,605.0,598.5,601.5,135.0
1992-06-24,602.0,603.0,597.5,598.75,122.0
1992-06-25,603.0,606.5,602.0,604.75,171.0
1992-06-26,607.0,607.0,603.0,603.75,134.0
1992-06-29,601.0,604.0,596.0,604.0,163.0
1992-06-30,605.0,605.0,601.0,602.5,86.0
1992-07-01,597.0,601.0,597.0,598.75,201.0
1992-07-02,599.5,601.5,594.0,595.5,250.0
1992-07-06,590.0,596.0,589.5,594.5,449.0
1992-07-07,597.0,602.0,596.0,601.0,387.0
1992-07-08,601.0,604.0,601.0,603.25,294.0
