DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1995-08-17,188.0,188.0,188.0,188.0,0.0
1995-08-18,188.5,188.5,188.5,188.5,0.0
1995-08-21,190.5,190.5,190.5,190.5,0.0
1995-08-22,189.5,189.5,189.5,189.5,0.0
1995-08-23,190.0,190.0,190.0,190.0,0.0
1995-08-24,189.5,189.5,189.5,189.5,0.0
1995-08-25,189.5,189.5,189.5,189.5,0.0
1995-08-28,188.8,188.8,188.8,188.8,0.0
1995-08-29,189.5,189.5,189.5,189.5,0.0
1995-08-30,191.5,191.5,191.5,191.5,0.0
1995-08-31,191.3,191.3,191.3,191.3,11.0
1995-09-01,195.0,195.0,195.0,195.0,1.0
1995-09-05,194.5,194.5,194.5,194.5,0.0
1995-09-06,194.5,194.5,194.5,194.5,0.0
1995-09-07,194.5,194.5,194.5,194.5,0.0
1995-09-08,194.5,194.5,194.5,194.5,0.0
1995-09-11,195.0,195.0,195.0,195.0,1.0
1995-09-12,193.5,193.5,193.5,193.5,0.0
1995-09-13,192.5,192.5,192.5,192.5,0.0
1995-09-14,194.0,194.0,194.0,194.0,0.0
1995-09-15,196.0,196.0,196.0,196.0,0.0
1995-09-18,202.0,203.0,200.5,203.0,4.0
1995-09-19,203.5,203.5,203.5,203.5,0.0
1995-09-20,204.0,204.0,204.0,204.0,20.0
1995-09-21,205.5,205.5,205.5,205.5,0.0
1995-09-22,203.0,203.0,203.0,203.0,0.0
1995-09-25,203.0,203.0,203.0,203.0,0.0
1995-09-26,202.5,202.5,201.3,201.3,50.0
1995-09-27,196.0,197.6,196.0,196.0,21.0
1995-09-28,196.2,196.2,196.2,196.2,0.0
1995-09-29,195.5,195.5,195.5,195.5,0.0
1995-10-02,194.0,194.0,194.0,194.0,0.0
1995-10-03,194.0,194.0,194.0,194.0,50.0
1995-10-04,194.0,196.0,193.5,196.0,71.0
1995-10-05,195.0,195.0,194.5,195.0,48.0
1995-10-06,196.0,196.5,195.5,195.9,14.0
1995-10-09,195.5,195.5,195.5,195.5,13.0
1995-10-10,197.4,197.4,197.4,197.4,0.0
1995-10-11,200.7,200.7,200.7,200.7,0.0
1995-10-12,199.7,200.0,198.5,198.5,51.0
1995-10-13,200.0,200.0,200.0,200.0,41.0
1995-10-16,203.0,203.0,201.0,201.0,0.0
1995-10-17,200.0,200.5,199.0,199.8,16.0
1995-10-18,199.5,199.5,199.5,199.5,4.0
1995-10-19,200.0,200.0,200.0,200.0,19.0
1995-10-20,200.0,201.5,200.0,201.5,21.0
1995-10-23,203.0,203.5,202.0,202.0,30.0
1995-10-24,203.0,203.5,202.0,202.1,0.0
