DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2015-12-14,32.08,32.08,32.08,32.08,0.0
2015-12-15,31.77,31.77,31.77,31.77,0.0
2015-12-16,31.7,31.7,31.7,31.7,0.0
2015-12-17,31.46,31.46,31.46,31.46,0.0
2015-12-18,31.79,31.79,31.79,31.79,0.0
2015-12-21,32.01,32.01,32.01,32.01,0.0
2015-12-22,31.68,31.68,31.68,31.68,0.0
2015-12-23,31.68,31.68,31.68,31.68,0.0
2015-12-24,31.93,31.93,31.93,31.93,0.0
2015-12-28,31.51,31.51,31.51,31.51,0.0
2015-12-29,31.87,31.87,31.87,31.87,0.0
2015-12-30,32.17,32.17,32.17,32.17,0.0
2015-12-31,31.74,31.74,31.74,31.74,0.0
2016-01-04,31.29,31.29,31.29,31.29,0.0
2016-01-05,31.03,31.03,31.03,31.03,0.0
2016-01-06,31.04,31.04,31.04,31.04,0.0
2016-01-07,30.9,30.9,30.9,30.9,0.0
2016-01-08,31.07,31.07,31.07,31.07,0.0
2016-01-11,30.71,30.71,30.71,30.71,0.0
2016-01-12,30.67,30.67,30.67,30.67,0.0
2016-01-13,30.88,30.88,30.88,30.88,0.0
2016-01-14,30.98,30.98,30.98,30.98,0.0
2016-01-15,30.73,30.73,30.73,30.73,0.0
2016-01-19,31.05,31.05,31.05,31.05,0.0
2016-01-20,30.89,30.89,30.89,30.89,0.0
2016-01-21,31.0,31.0,31.0,31.0,0.0
2016-01-22,31.33,31.33,31.33,31.33,0.0
2016-01-25,31.21,31.21,31.21,31.21,0.0
2016-01-26,31.51,31.51,31.51,31.51,0.0
2016-01-27,31.67,31.67,31.67,31.67,0.0
2016-01-28,31.51,31.51,31.51,31.51,0.0
2016-01-29,31.74,31.74,31.74,31.74,0.0
2016-02-01,31.68,31.68,31.68,31.68,0.0
2016-02-02,31.59,31.59,31.59,31.59,0.0
2016-02-03,31.76,31.76,31.76,31.76,0.0
2016-02-04,32.02,32.02,32.02,32.02,0.0
2016-02-05,32.04,32.04,32.04,32.04,0.0
2016-02-08,31.67,31.67,31.67,31.67,0.0
2016-02-09,31.67,31.67,31.67,31.67,0.0
2016-02-10,31.93,31.93,31.93,31.93,0.0
2016-02-11,32.44,32.44,32.44,32.44,0.0
2016-02-12,32.61,32.61,32.61,32.61,0.0
2016-02-16,32.47,32.47,32.47,32.47,0.0
2016-02-17,32.79,32.79,32.79,32.79,0.0
2016-02-18,32.69,32.69,32.69,32.69,0.0
2016-02-19,32.28,32.28,32.28,32.28,0.0
2016-02-22,32.44,32.44,32.44,32.44,0.0
2016-02-23,31.85,31.85,31.85,31.85,0.0
2016-02-24,32.01,32.01,32.01,32.01,0.0
2016-02-25,32.16,32.16,32.16,32.16,0.0
2016-02-26,32.52,32.52,32.52,32.52,0.0
2016-02-29,32.18,32.18,32.18,32.18,0.0
2016-03-01,32.08,32.08,32.08,32.08,0.0
2016-03-02,32.03,32.03,32.03,32.03,0.0
2016-03-03,32.23,32.23,32.23,32.23,0.0
2016-03-04,32.59,32.59,32.59,32.59,0.0
2016-03-07,32.79,32.79,32.79,32.79,0.0
2016-03-08,32.84,32.84,32.84,32.84,0.0
2016-03-09,33.38,33.38,33.38,33.38,0.0
2016-03-10,33.28,33.28,33.28,33.28,0.0
2016-03-11,33.58,33.58,33.58,33.58,0.0
2016-03-14,33.9,33.9,33.9,33.9,0.0
2016-03-15,33.84,33.84,33.84,33.84,0.0
2016-03-16,34.14,34.14,34.14,34.14,0.0
2016-03-17,34.76,34.76,34.76,34.76,0.0
2016-03-18,34.75,34.75,34.75,34.75,0.0
2016-03-21,34.93,34.93,34.93,34.93,0.0
2016-03-22,35.27,35.27,35.27,35.27,0.0
2016-03-23,34.69,34.69,34.69,34.69,0.0
2016-03-24,34.55,34.55,34.55,34.55,0.0
2016-03-28,34.96,34.96,34.96,34.96,0.0
2016-03-29,35.25,35.25,35.25,35.25,0.0
2016-03-30,34.93,34.93,34.93,34.93,0.0
2016-03-31,35.3,35.3,35.3,35.3,0.0
2016-04-01,35.48,35.48,35.48,35.48,0.0
2016-04-04,35.82,35.82,35.82,35.82,0.0
2016-04-05,35.32,35.32,35.32,35.32,0.0
2016-04-06,35.61,35.61,35.61,35.61,0.0
2016-04-07,35.53,35.53,35.53,35.53,0.0
2016-04-08,35.36,35.36,35.36,35.36,0.0
2016-04-11,35.24,35.24,35.24,35.24,0.0
2016-04-12,34.9,34.9,34.9,34.9,0.0
2016-04-13,35.17,35.17,35.17,35.17,0.0
2016-04-14,34.93,34.93,34.93,34.93,0.0
2016-04-15,34.46,34.46,34.46,34.46,0.0
2016-04-18,34.97,34.97,34.97,34.97,0.0
2016-04-19,35.47,35.47,35.47,35.47,0.0
2016-04-20,34.86,34.86,34.86,34.86,0.0
2016-04-21,34.45,34.45,34.45,34.45,0.0
2016-04-22,34.71,34.71,34.71,34.71,0.0
2016-04-25,34.62,34.62,34.62,34.62,0.0
2016-04-26,34.7,34.7,34.7,34.7,0.0
2016-04-27,34.56,34.56,34.56,34.56,0.0
2016-04-28,34.22,34.22,34.22,34.22,0.0
2016-04-29,34.21,34.21,34.21,34.21,0.0
2016-05-02,33.47,33.47,33.47,33.47,0.0
2016-05-03,33.39,33.39,33.39,33.39,0.0
2016-05-04,33.21,33.21,33.21,33.21,0.0
2016-05-05,33.2,33.2,33.2,33.2,0.0
2016-05-06,33.79,33.79,33.79,33.79,0.0
2016-05-09,33.46,33.46,33.46,33.46,0.0
2016-05-10,33.23,33.23,33.23,33.23,0.0
2016-05-11,33.19,33.19,33.19,33.19,0.0
2016-05-12,32.84,32.84,32.84,32.84,0.0
2016-05-13,32.65,32.65,32.65,32.65,0.0
2016-05-16,33.24,33.24,33.24,33.24,0.0
2016-05-17,33.31,33.31,33.31,33.31,0.0
2016-05-18,33.07,33.07,33.07,33.07,0.0
2016-05-19,32.8,32.8,32.8,32.8,0.0
2016-05-20,32.19,32.19,32.19,32.19,0.0
2016-05-23,32.14,32.14,32.14,32.14,0.0
2016-05-24,31.89,31.89,31.89,31.89,0.0
2016-05-25,32.19,32.19,32.19,32.19,0.0
2016-05-26,32.25,32.25,32.25,32.25,0.0
