DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2008-03-20,785.4,785.4,785.4,785.4,0.0
2008-03-24,810.1,810.1,810.1,810.1,0.0
2008-03-25,811.1,811.1,811.1,811.1,0.0
2008-03-26,801.4,801.4,801.4,801.4,0.0
2008-03-27,795.5,795.5,795.5,795.5,0.0
2008-03-28,791.5,791.5,791.5,791.5,0.0
2008-03-31,797.5,797.5,797.5,797.5,0.0
2008-04-01,821.5,821.5,821.5,821.5,0.0
2008-04-02,825.9,825.9,825.9,825.9,0.0
2008-04-03,829.5,829.5,829.5,829.5,0.0
2008-04-04,831.7,831.7,831.7,831.7,0.0
2008-04-07,832.1,832.1,832.1,832.1,0.0
2008-04-08,835.6,835.6,835.6,835.6,0.0
2008-04-09,822.0,822.0,822.0,822.0,0.0
2008-04-10,831.5,831.5,831.5,831.5,0.0
2008-04-11,816.8,816.8,816.8,816.8,0.0
2008-04-14,815.5,815.5,815.5,815.5,0.0
2008-04-15,818.2,818.2,818.2,818.2,0.0
2008-04-16,843.0,843.0,843.0,843.0,0.0
2008-04-17,840.4,840.4,840.4,840.4,0.0
2008-04-18,846.6,846.6,846.6,846.6,0.0
2008-04-21,850.6,850.6,850.6,850.6,0.0
2008-04-22,841.7,841.7,841.7,841.7,0.0
2008-04-23,840.5,840.5,840.5,840.5,0.0
2008-04-24,844.9,844.9,844.9,844.9,0.0
2008-04-25,860.4,860.4,860.4,860.4,0.0
2008-04-28,861.8,861.8,861.8,861.8,0.0
2008-04-29,857.2,857.2,857.2,857.2,0.0
2008-04-30,856.1,856.1,856.1,856.1,0.0
2008-05-01,867.4,867.4,867.4,867.4,0.0
2008-05-02,867.8,867.8,867.8,867.8,0.0
2008-05-05,865.5,865.5,865.5,865.5,0.0
2008-05-06,874.8,874.8,874.8,874.8,0.0
2008-05-07,865.0,865.0,865.0,865.0,0.0
2008-05-08,866.9,866.9,866.9,866.9,0.0
2008-05-09,869.6,869.6,869.6,869.6,0.0
2008-05-12,879.2,879.2,879.2,879.2,0.0
2008-05-13,886.2,886.2,886.2,886.2,0.0
2008-05-14,886.6,886.6,886.6,886.6,0.0
2008-05-15,898.4,898.4,898.4,898.4,0.0
2008-05-16,900.2,900.2,900.2,900.2,0.0
2008-05-19,899.9,899.9,899.9,899.9,0.0
2008-05-20,898.4,898.4,898.4,898.4,0.0
2008-05-21,884.5,884.5,884.5,884.5,0.0
2008-05-22,884.5,884.5,884.5,884.5,0.0
2008-05-23,873.4,873.4,873.4,873.4,0.0
2008-05-27,881.2,881.2,881.2,881.2,0.0
2008-05-28,890.0,890.0,890.0,890.0,0.0
2008-05-29,891.1,891.1,891.1,891.1,0.0
2008-05-30,898.7,898.7,898.7,898.7,0.0
2008-06-02,890.5,890.5,890.5,890.5,0.0
2008-06-03,892.8,892.8,892.8,892.8,0.0
2008-06-04,893.9,893.9,893.9,893.9,0.0
2008-06-05,915.2,915.2,915.2,915.2,0.0
2008-06-06,889.5,889.5,889.5,889.5,0.0
2008-06-09,890.1,890.1,890.1,890.1,0.0
2008-06-10,882.8,882.8,882.8,882.8,0.0
2008-06-11,869.5,869.5,869.5,869.5,0.0
2008-06-12,870.9,870.9,870.9,870.9,0.0
2008-06-13,882.9,882.9,882.9,882.9,0.0
2008-06-16,888.0,888.0,888.0,888.0,0.0
2008-06-17,890.8,890.8,890.8,890.8,0.0
2008-06-18,883.6,883.6,883.6,883.6,0.0
2008-06-19,885.9,885.9,885.9,885.9,0.0
2008-06-20,871.6,871.6,871.6,871.6,0.0
2008-06-23,868.2,868.2,868.2,868.2,0.0
2008-06-24,859.7,859.7,859.7,859.7,0.0
2008-06-25,864.9,864.9,864.9,864.9,0.0
2008-06-26,842.5,842.5,842.5,842.5,0.0
2008-06-27,838.0,838.0,838.0,838.0,0.0
2008-06-30,835.1,835.1,835.1,835.1,0.0
2008-07-01,834.6,834.6,834.6,834.6,0.0
2008-07-02,810.1,810.1,810.1,810.1,0.0
2008-07-03,801.6,801.6,801.6,801.6,0.0
2008-07-07,794.6,794.6,794.6,794.6,0.0
2008-07-08,814.7,814.7,814.7,814.7,0.0
2008-07-09,803.5,803.5,803.5,803.5,0.0
2008-07-10,807.5,807.5,807.5,807.5,0.0
2008-07-11,800.1,800.1,800.1,800.1,0.0
2008-07-14,793.3,793.3,793.3,793.3,0.0
2008-07-15,785.4,785.4,785.4,785.4,0.0
2008-07-16,804.9,804.9,804.9,804.9,0.0
2008-07-17,813.0,813.0,813.0,813.0,0.0
2008-07-18,812.7,812.7,812.7,812.7,0.0
2008-07-21,821.6,821.6,821.6,821.6,0.0
2008-07-22,829.0,829.0,829.0,829.0,0.0
2008-07-23,832.7,832.7,832.7,832.7,0.0
2008-07-24,808.2,808.2,808.2,808.2,0.0
2008-07-25,807.5,807.5,807.5,807.5,0.0
2008-07-28,800.1,800.1,800.1,800.1,0.0
2008-07-29,816.7,816.7,816.7,816.7,0.0
2008-07-30,830.3,830.3,830.3,830.3,0.0
2008-07-31,817.8,817.8,817.8,817.8,0.0
2008-08-01,816.1,816.1,816.1,816.1,0.0
2008-08-04,800.0,800.0,800.0,800.0,0.0
2008-08-05,817.6,817.6,817.6,817.6,0.0
2008-08-06,823.3,823.3,823.3,823.3,0.0
2008-08-07,812.4,812.4,812.4,812.4,0.0
2008-08-08,826.7,826.7,826.7,826.7,0.0
2008-08-11,835.9,835.9,835.9,835.9,0.0
2008-08-12,828.9,828.9,828.9,828.9,0.0
2008-08-13,829.0,829.0,829.0,829.0,0.0
2008-08-14,836.8,836.8,836.8,836.8,0.0
2008-08-15,838.5,838.5,838.5,838.5,0.0
2008-08-18,827.6,827.6,827.6,827.6,0.0
2008-08-19,818.4,818.4,818.4,818.4,0.0
2008-08-20,821.3,821.3,821.3,821.3,0.0
2008-08-21,819.2,819.2,819.2,819.2,0.0
2008-08-22,827.3,827.3,827.3,827.3,0.0
2008-08-25,813.5,813.5,813.5,813.5,0.0
2008-08-26,817.5,817.5,817.5,817.5,0.0
2008-08-27,825.6,825.6,825.6,825.6,0.0
2008-08-28,836.9,836.9,836.9,836.9,0.0
2008-08-29,829.7,829.7,829.7,829.7,0.0
2008-09-02,821.0,821.0,821.0,821.0,0.0
2008-09-03,816.2,816.2,816.2,816.2,0.0
2008-09-04,796.8,796.8,796.8,796.8,0.0
2008-09-05,796.8,796.8,796.8,796.8,0.0
2008-09-08,810.3,810.3,810.3,810.3,0.0
2008-09-09,780.0,780.0,780.0,780.0,0.0
2008-09-10,790.4,790.4,790.4,790.4,0.0
2008-09-11,796.0,796.0,796.0,796.0,0.0
2008-09-12,807.9,807.9,807.9,807.9,0.0
2008-09-15,769.4,769.4,769.4,769.4,0.0
2008-09-16,788.4,788.4,788.4,788.4,0.0
2008-09-17,749.8,749.8,749.8,749.8,0.0
2008-09-18,786.1,786.1,786.1,786.1,0.0
2008-09-19,814.5,814.5,814.5,814.5,0.0
2008-09-22,781.8,781.8,781.8,781.8,0.0
2008-09-23,770.9,770.9,770.9,770.9,0.0
2008-09-24,765.1,765.1,765.1,765.1,0.0
2008-09-25,770.8,770.8,770.8,770.8,0.0
2008-09-26,764.9,764.9,764.9,764.9,0.0
2008-09-29,710.6,710.6,710.6,710.6,0.0
2008-09-30,742.6,742.6,742.6,742.6,0.0
2008-10-01,738.3,738.3,738.3,738.3,0.0
2008-10-02,692.6,692.6,692.6,692.6,0.0
2008-10-03,672.8,672.8,672.8,672.8,0.0
2008-10-06,642.7,642.7,642.7,642.7,0.0
2008-10-07,606.4,606.4,606.4,606.4,0.0
2008-10-08,601.7,601.7,601.7,601.7,0.0
2008-10-09,551.0,551.0,551.0,551.0,0.0
2008-10-10,558.0,558.0,558.0,558.0,0.0
2008-10-13,625.9,625.9,625.9,625.9,0.0
2008-10-14,610.5,610.5,610.5,610.5,0.0
2008-10-15,540.5,540.5,540.5,540.5,0.0
2008-10-16,563.3,563.3,563.3,563.3,0.0
2008-10-17,560.5,560.5,560.5,560.5,0.0
2008-10-20,591.7,591.7,591.7,591.7,0.0
2008-10-21,576.6,576.6,576.6,576.6,0.0
2008-10-22,548.7,548.7,548.7,548.7,0.0
2008-10-23,527.4,527.4,527.4,527.4,0.0
2008-10-24,501.0,501.0,501.0,501.0,0.0
2008-10-27,481.1,481.1,481.1,481.1,0.0
2008-10-28,534.3,534.3,534.3,534.3,0.0
2008-10-29,536.4,536.4,536.4,536.4,0.0
2008-10-30,572.1,572.1,572.1,572.1,0.0
2008-10-31,580.7,580.7,580.7,580.7,0.0
2008-11-03,581.5,581.5,581.5,581.5,0.0
2008-11-04,590.4,590.4,590.4,590.4,0.0
2008-11-05,563.2,563.2,563.2,563.2,0.0
2008-11-06,536.5,536.5,536.5,536.5,0.0
2008-11-07,552.7,552.7,552.7,552.7,0.0
2008-11-10,525.7,525.7,525.7,525.7,0.0
2008-11-11,506.1,506.1,506.1,506.1,0.0
2008-11-12,483.0,483.0,483.0,483.0,0.0
2008-11-13,524.3,524.3,524.3,524.3,0.0
2008-11-14,487.0,487.0,487.0,487.0,0.0
2008-11-17,486.6,486.6,486.6,486.6,0.0
2008-11-18,495.2,495.2,495.2,495.2,0.0
2008-11-19,450.8,450.8,450.8,450.8,0.0
2008-11-20,412.9,412.9,412.9,412.9,0.0
2008-11-21,430.7,430.7,430.7,430.7,0.0
2008-11-24,467.8,467.8,467.8,467.8,0.0
2008-11-25,475.3,475.3,475.3,475.3,0.0
2008-11-26,503.2,503.2,503.2,503.2,0.0
2008-11-28,510.9,510.9,510.9,510.9,0.0
2008-12-01,458.3,458.3,458.3,458.3,0.0
2008-12-02,480.7,480.7,480.7,480.7,0.0
2008-12-03,489.6,489.6,489.6,489.6,0.0
2008-12-04,477.4,477.4,477.4,477.4,0.0
2008-12-05,490.9,490.9,490.9,490.9,0.0
2008-12-08,517.2,517.2,517.2,517.2,0.0
2008-12-09,505.5,505.5,505.5,505.5,0.0
2008-12-10,516.2,516.2,516.2,516.2,0.0
2008-12-11,492.3,492.3,492.3,492.3,0.0
2008-12-12,511.2,511.2,511.2,511.2,0.0
2008-12-15,500.7,500.7,500.7,500.7,0.0
2008-12-16,523.5,523.5,523.5,523.5,0.0
2008-12-17,530.0,530.0,530.0,530.0,0.0
2008-12-18,526.9,526.9,526.9,526.9,0.0
2008-12-19,518.3,518.3,518.3,518.3,0.0
2008-12-22,513.9,513.9,513.9,513.9,0.0
2008-12-23,502.2,502.2,502.2,502.2,0.0
2008-12-24,506.6,506.6,506.6,506.6,0.0
2008-12-26,506.0,519.0,497.8,512.3,3.0
2008-12-29,510.7,510.7,510.7,510.7,0.0
2008-12-30,525.4,525.4,525.4,525.4,0.0
2008-12-31,537.2,537.2,537.2,537.2,0.0
2009-01-02,546.3,546.3,546.3,546.3,0.0
2009-01-05,550.6,550.6,550.6,550.6,0.0
2009-01-06,555.2,555.2,555.2,555.2,0.0
2009-01-07,542.5,542.5,542.5,542.5,0.0
2009-01-08,543.9,543.9,543.9,543.9,0.0
2009-01-09,526.8,526.8,526.8,526.8,0.0
2009-01-12,514.3,514.3,514.3,514.3,0.0
2009-01-13,519.8,519.8,519.8,519.8,0.0
2009-01-14,499.9,499.9,499.9,499.9,0.0
2009-01-15,507.9,507.9,507.9,507.9,0.0
2009-01-16,515.7,515.7,515.7,515.7,0.0
2009-01-20,485.2,485.2,485.2,485.2,0.0
2009-01-21,503.8,503.8,503.8,503.8,0.0
2009-01-22,496.0,496.0,496.0,496.0,0.0
2009-01-23,493.7,493.7,493.7,493.7,0.0
2009-01-26,499.9,499.9,499.9,499.9,0.0
2009-01-27,506.2,506.2,506.2,506.2,0.0
2009-01-28,528.4,528.4,528.4,528.4,0.0
2009-01-29,511.2,511.2,511.2,511.2,0.0
2009-01-30,495.3,495.3,495.3,495.3,0.0
2009-02-02,494.6,494.6,494.6,494.6,0.0
2009-02-03,497.8,497.8,497.8,497.8,0.0
2009-02-04,501.6,501.6,501.6,501.6,0.0
2009-02-05,505.8,505.8,505.8,505.8,0.0
2009-02-06,529.2,529.2,529.2,529.2,0.0
2009-02-09,525.8,525.8,525.8,525.8,0.0
2009-02-10,503.6,503.6,503.6,503.6,0.0
2009-02-11,501.9,501.9,501.9,501.9,0.0
2009-02-12,510.5,510.5,510.5,510.5,0.0
2009-02-13,497.6,497.6,497.6,497.6,0.0
2009-02-17,477.8,477.8,477.8,477.8,0.0
2009-02-18,470.4,470.4,470.4,470.4,0.0
2009-02-19,469.6,480.4,467.5,467.5,1.0
2009-02-20,461.0,461.0,461.0,461.0,0.0
2009-02-23,447.6,447.6,447.6,447.6,0.0
2009-02-24,461.3,461.3,461.3,461.3,0.0
2009-02-25,456.1,456.1,456.1,456.1,0.0
2009-02-26,451.2,451.2,451.2,451.2,0.0
2009-02-27,446.5,446.5,446.5,446.5,0.0
2009-03-02,422.4,422.4,422.4,422.4,125.0
2009-03-03,424.0,426.8,411.9,411.9,29.0
2009-03-04,426.2,426.2,426.2,426.2,1.0
2009-03-05,411.6,411.6,411.6,411.6,0.0
2009-03-06,411.9,413.9,395.5,410.5,116.0
2009-03-09,404.8,412.8,400.0,404.4,98.0
2009-03-10,411.0,432.6,409.6,428.1,4002.0
2009-03-11,430.2,439.0,426.1,432.2,21438.0
2009-03-12,432.2,455.5,425.2,454.2,70003.0
2009-03-13,453.8,460.1,446.8,455.1,46270.0
2009-03-16,452.3,461.9,446.0,449.9,51831.0
2009-03-17,450.6,467.9,443.5,466.6,53943.0
2009-03-18,466.5,482.5,455.9,478.7,41065.0
2009-03-19,479.0,485.4,473.7,477.6,32052.0
2009-03-20,477.4,480.3,459.2,461.0,22070.0
2009-03-23,461.4,499.0,461.4,494.1,32050.0
2009-03-24,494.1,495.4,482.7,486.0,27191.0
2009-03-25,485.2,499.5,473.1,488.6,40411.0
2009-03-26,488.6,512.2,488.6,509.5,38159.0
2009-03-27,509.0,510.5,495.7,499.4,29469.0
2009-03-30,496.4,498.9,474.4,479.1,29106.0
2009-03-31,478.6,495.8,476.2,487.9,36015.0
2009-04-01,482.6,494.1,473.9,492.6,38339.0
2009-04-02,493.4,520.5,492.0,517.0,37719.0
2009-04-03,515.6,526.7,508.7,526.3,31790.0
2009-04-06,525.0,530.9,507.9,515.7,25266.0
2009-04-07,517.0,518.1,498.0,501.2,24550.0
2009-04-08,502.6,508.2,493.4,506.2,25478.0
2009-04-09,506.1,536.9,506.1,533.3,29550.0
2009-04-13,531.2,537.3,522.1,532.4,24783.0
