DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2021-03-18,3853.25,3853.25,3853.25,3853.25,0.0
2021-03-19,3849.5,3849.5,3849.5,3849.5,0.0
2021-03-22,3878.5,3878.5,3878.5,3878.5,0.0
2021-03-23,3849.75,3849.75,3849.75,3849.75,0.0
2021-03-24,3875.0,3875.0,3844.5,3844.5,1.0
2021-03-25,3862.75,3862.75,3862.75,3862.75,0.0
2021-03-26,3928.75,3928.75,3928.75,3928.75,0.0
2021-03-29,3921.25,3921.25,3921.25,3921.25,0.0
2021-03-30,3904.75,3904.75,3904.75,3904.75,0.0
2021-03-31,3927.75,3927.75,3927.75,3927.75,0.0
2021-04-01,3971.75,3971.75,3971.75,3971.75,0.0
2021-04-05,4030.75,4030.75,4030.75,4030.75,0.0
2021-04-06,4024.25,4024.25,4024.25,4024.25,0.0
2021-04-07,4031.0,4031.0,4031.0,4031.0,0.0
2021-04-08,4048.25,4048.25,4048.25,4048.25,0.0
2021-04-09,4080.0,4080.0,4080.0,4080.0,0.0
2021-04-12,4079.75,4079.75,4079.75,4079.75,0.0
2021-04-13,4093.75,4093.75,4093.75,4093.75,0.0
2021-04-14,4074.25,4074.25,4074.25,4074.25,0.0
2021-04-15,4121.25,4121.25,4121.25,4121.25,0.0
2021-04-16,4136.25,4136.25,4136.25,4136.25,0.0
2021-04-19,4113.25,4113.25,4113.25,4113.25,0.0
2021-04-20,4087.5,4087.5,4087.5,4087.5,0.0
2021-04-21,4125.25,4125.25,4125.25,4125.25,0.0
2021-04-22,4088.5,4088.5,4088.5,4088.5,0.0
2021-04-23,4133.0,4133.0,4133.0,4133.0,0.0
2021-04-26,4140.0,4140.0,4140.0,4140.0,0.0
2021-04-27,4142.75,4142.75,4142.75,4142.75,0.0
2021-04-28,4136.25,4136.25,4136.25,4136.25,0.0
2021-04-29,4163.5,4163.5,4163.5,4163.5,0.0
2021-04-30,4132.25,4132.25,4132.25,4132.25,0.0
2021-05-03,4145.5,4145.5,4145.5,4145.5,0.0
2021-05-04,4118.0,4118.0,4118.0,4118.0,0.0
2021-05-05,4121.25,4121.25,4121.25,4121.25,0.0
2021-05-06,4155.0,4155.0,4155.0,4155.0,0.0
2021-05-07,4187.25,4187.25,4187.25,4187.25,0.0
2021-05-10,4145.5,4145.5,4145.5,4145.5,0.0
2021-05-11,4107.5,4107.5,4107.5,4107.5,0.0
2021-05-12,4020.0,4020.5,4020.0,4020.5,1.0
2021-05-13,4069.25,4069.25,4069.25,4069.25,0.0
2021-05-14,4120.0,4131.0,4120.0,4131.0,1.0
2021-05-17,4119.0,4119.0,4119.0,4119.0,0.0
2021-05-18,4085.5,4085.5,4085.5,4085.5,0.0
2021-05-19,4072.25,4072.25,4072.25,4072.25,0.0
2021-05-20,4114.25,4114.25,4114.25,4114.25,0.0
2021-05-21,4114.75,4114.75,4114.75,4114.75,0.0
2021-05-24,4156.75,4156.75,4156.75,4156.75,0.0
2021-05-25,4148.5,4148.5,4148.5,4148.5,0.0
2021-05-26,4156.0,4156.0,4156.0,4156.0,0.0
2021-05-27,4162.0,4162.0,4162.0,4162.0,0.0
2021-05-28,4165.5,4165.5,4165.5,4165.5,0.0
2021-06-01,4161.0,4161.0,4161.0,4161.0,0.0
2021-06-02,4167.25,4167.25,4167.25,4167.25,0.0
2021-06-03,4153.25,4153.25,4153.25,4153.25,0.0
2021-06-04,4189.75,4189.75,4189.75,4189.75,0.0
2021-06-07,4187.5,4187.5,4187.5,4187.5,0.0
2021-06-08,4187.5,4187.5,4187.5,4187.5,0.0
2021-06-09,4180.5,4180.5,4180.5,4180.5,0.0
2021-06-10,4197.0,4200.5,4197.0,4200.5,1.0
2021-06-11,4206.25,4206.25,4206.25,4206.25,0.0
2021-06-14,4214.25,4214.25,4214.25,4214.25,0.0
2021-06-15,4229.0,4229.0,4206.0,4206.0,2.0
2021-06-16,4185.0,4185.0,4185.0,4185.0,0.0
2021-06-17,4183.25,4183.25,4183.25,4183.25,0.0
2021-06-18,4127.25,4127.25,4127.25,4127.25,0.0
2021-06-21,4188.5,4188.5,4188.5,4188.5,0.0
2021-06-22,4207.75,4207.75,4207.75,4207.75,0.0
2021-06-23,4206.25,4206.25,4206.25,4206.25,0.0
2021-06-24,4230.5,4230.5,4230.5,4230.5,0.0
2021-06-25,4245.0,4245.0,4245.0,4245.0,0.0
2021-06-28,4250.0,4255.0,4250.0,4255.0,1.0
2021-06-29,4256.25,4256.25,4256.25,4256.25,0.0
2021-06-30,4262.25,4262.25,4262.25,4262.25,0.0
2021-07-01,4283.25,4283.25,4283.25,4283.25,0.0
2021-07-02,4316.0,4316.0,4316.0,4316.0,0.0
2021-07-06,4307.75,4307.75,4307.75,4307.75,0.0
2021-07-07,4322.0,4322.0,4322.0,4322.0,0.0
2021-07-08,4285.25,4285.25,4285.25,4285.25,0.0
2021-07-09,4333.0,4333.0,4333.0,4333.0,0.0
2021-07-12,4349.25,4349.25,4349.25,4349.25,0.0
2021-07-13,4334.5,4334.5,4334.5,4334.5,0.0
2021-07-14,4340.75,4340.75,4340.75,4340.75,0.0
2021-07-15,4325.0,4325.0,4325.0,4325.0,0.0
2021-07-16,4292.0,4292.0,4292.0,4292.0,0.0
2021-07-19,4210.0,4223.5,4210.0,4223.5,1.0
2021-07-20,4288.75,4288.75,4288.75,4288.75,0.0
2021-07-21,4324.0,4324.0,4324.0,4324.0,0.0
2021-07-22,4333.0,4333.0,4333.0,4333.0,0.0
2021-07-23,4376.75,4376.75,4376.75,4376.75,0.0
2021-07-26,4388.0,4388.0,4388.0,4388.0,0.0
2021-07-27,4368.0,4368.0,4368.0,4368.0,0.0
2021-07-28,4369.25,4369.25,4369.25,4369.25,0.0
2021-07-29,4385.5,4385.5,4385.5,4385.5,0.0
2021-07-30,4362.75,4362.75,4362.75,4362.75,0.0
2021-08-02,4353.25,4353.25,4353.25,4353.25,0.0
2021-08-03,4389.25,4389.25,4389.25,4389.25,0.0
2021-08-04,4370.5,4370.5,4370.5,4370.5,0.0
2021-08-05,4396.25,4396.25,4396.25,4396.25,0.0
2021-08-06,4403.75,4403.75,4403.75,4403.75,0.0
2021-08-09,4400.0,4400.0,4400.0,4400.0,0.0
2021-08-10,4403.5,4403.5,4403.5,4403.5,0.0
2021-08-11,4414.0,4414.0,4414.0,4414.0,0.0
2021-08-12,4428.0,4428.0,4428.0,4428.0,0.0
2021-08-13,4435.5,4435.5,4435.5,4435.5,0.0
2021-08-16,4447.25,4447.25,4447.25,4447.25,0.0
2021-08-17,4416.0,4416.0,4416.0,4416.0,0.0
2021-08-18,4366.5,4366.5,4366.5,4366.5,0.0
2021-08-19,4373.0,4373.0,4373.0,4373.0,0.0
2021-08-20,4410.5,4410.5,4410.5,4410.5,0.0
2021-08-23,4447.5,4447.5,4447.5,4447.5,0.0
2021-08-24,4456.5,4456.5,4456.5,4456.5,0.0
2021-08-25,4466.0,4466.0,4466.0,4466.0,0.0
2021-08-26,4439.5,4439.5,4439.5,4439.5,0.0
2021-08-27,4478.5,4478.5,4478.5,4478.5,0.0
2021-08-30,4500.0,4500.0,4497.25,4497.25,1.0
2021-08-31,4495.0,4495.0,4492.25,4492.25,1.0
2021-09-01,4493.0,4493.0,4493.0,4493.0,0.0
2021-09-02,4507.25,4507.25,4507.25,4507.25,0.0
2021-09-03,4507.25,4507.25,4507.25,4507.25,0.0
2021-09-07,4492.0,4492.0,4492.0,4492.0,0.0
2021-09-08,4485.25,4485.25,4485.25,4485.25,0.0
2021-09-09,4472.0,4472.0,4465.0,4465.0,4.0
2021-09-10,4453.0,4453.0,4430.25,4430.25,4.0
2021-09-13,4431.0,4441.5,4431.0,4441.5,1.0
2021-09-14,4413.0,4417.25,4413.0,4417.25,1.0
2021-09-15,4417.5,4454.25,4417.5,4454.25,16.0
2021-09-16,4454.0,4454.0,4424.0,4447.0,4.0
2021-09-17,4459.75,4459.75,4403.5,4404.75,7.0
2021-09-20,4388.0,4388.0,4284.0,4331.0,10.0
2021-09-21,4342.75,4369.75,4325.75,4325.75,4.0
2021-09-22,4318.0,4378.0,4306.0,4366.25,6.0
2021-09-23,4410.0,4422.25,4410.0,4420.25,17.0
2021-09-24,4430.0,4430.0,4400.0,4428.0,11.0
2021-09-27,4450.0,4450.0,4415.5,4415.5,3.0
2021-09-28,4416.0,4416.0,4318.75,4326.0,24.0
2021-09-29,4336.0,4356.25,4327.75,4332.0,3.0
2021-09-30,4343.0,4343.0,4280.75,4280.75,4.0
2021-10-01,4295.0,4337.25,4276.5,4326.0,5.0
2021-10-04,4307.0,4337.25,4258.75,4273.5,24.0
2021-10-05,4283.0,4335.25,4283.0,4316.0,5.0
2021-10-06,4292.25,4336.0,4292.25,4336.0,2.0
2021-10-07,4355.75,4402.75,4355.75,4372.0,12.0
2021-10-08,4364.5,4364.5,4364.5,4364.5,0.0
2021-10-11,4350.0,4387.25,4326.75,4333.25,3.0
2021-10-12,4320.25,4337.0,4312.5,4323.25,4.0
2021-10-13,4321.0,4337.75,4321.0,4337.75,3.0
2021-10-14,4341.0,4419.0,4341.0,4411.75,20.0
2021-10-15,4420.0,4447.0,4420.0,4445.25,4.0
2021-10-18,4439.75,4460.75,4439.75,4460.75,8.0
2021-10-19,4483.0,4499.0,4475.0,4494.5,23.0
2021-10-20,4497.0,4514.75,4493.5,4511.0,25.0
2021-10-21,4520.0,4526.0,4520.0,4525.25,18.0
2021-10-22,4520.5,4520.5,4520.5,4520.5,0.0
2021-10-25,4528.0,4551.0,4528.0,4542.25,17.0
2021-10-26,4565.75,4572.0,4549.5,4549.5,14.0
2021-10-27,4552.0,4552.75,4529.0,4529.0,7.0
2021-10-28,4567.0,4573.25,4563.0,4572.25,6.0
2021-10-29,4544.0,4582.5,4544.0,4582.5,3.0
2021-11-01,4599.0,4606.0,4591.0,4591.0,6.0
2021-11-02,4606.0,4609.0,4604.0,4608.25,18.0
2021-11-03,4603.75,4637.0,4603.75,4637.0,4.0
2021-11-04,4646.0,4659.75,4642.5,4657.75,27.0
2021-11-05,4670.5,4692.0,4670.5,4674.5,14.0
2021-11-08,4678.0,4682.0,4678.0,4678.5,3.0
2021-11-09,4675.0,4685.5,4650.0,4662.5,11.0
2021-11-10,4643.5,4666.25,4618.0,4626.5,10.0
2021-11-11,4643.0,4643.0,4626.5,4627.75,6.0
2021-11-12,4635.0,4663.0,4635.0,4663.0,6.0
2021-11-15,4665.75,4680.25,4653.0,4663.75,9.0
2021-11-16,4658.0,4689.0,4658.0,4681.0,3.0
2021-11-17,4681.0,4681.0,4671.25,4671.25,2.0
2021-11-18,4670.0,4686.25,4662.0,4686.25,5.0
2021-11-19,4700.0,4700.0,4679.5,4679.5,10.0
2021-11-22,4719.25,4719.25,4665.25,4665.25,9.0
2021-11-23,4645.0,4674.25,4645.0,4674.25,2.0
2021-11-24,4663.5,4685.0,4645.0,4685.0,6.0
2021-11-26,4698.0,4699.25,4571.5,4580.5,58.0
2021-11-29,4620.0,4647.0,4610.0,4636.0,31.0
2021-11-30,4646.0,4646.0,4550.0,4551.5,41.0
2021-12-01,4580.0,4634.75,4492.5,4494.0,132.0
2021-12-02,4535.0,4561.0,4505.0,4561.0,18.0
2021-12-03,4545.0,4590.0,4480.0,4522.75,37.0
2021-12-06,4523.75,4587.0,4520.25,4575.0,26.0
2021-12-07,4619.0,4680.5,4619.0,4670.5,67.0
2021-12-08,4680.5,4695.0,4658.0,4684.25,51.0
2021-12-09,4688.5,4688.5,4647.5,4651.75,36.0
2021-12-10,4654.0,4696.5,4652.0,4695.5,128.0
2021-12-13,4697.5,4716.5,4650.0,4651.25,202.0
2021-12-14,4654.5,4667.5,4589.5,4620.0,275.0
2021-12-15,4618.75,4698.5,4595.0,4692.75,343.0
2021-12-16,4688.25,4733.75,4635.0,4651.75,542.0
2021-12-17,4651.25,4660.5,4583.0,4602.5,1071.0
2021-12-20,4611.75,4613.5,4513.75,4551.0,1325.0
2021-12-21,4564.0,4635.0,4558.75,4633.0,702.0
2021-12-22,4631.25,4683.75,4615.0,4678.25,730.0
2021-12-23,4682.25,4723.5,4678.0,4708.0,579.0
2021-12-27,4710.0,4776.5,4706.0,4774.5,665.0
2021-12-28,4773.5,4789.75,4761.75,4770.75,431.0
2021-12-29,4777.5,4788.25,4762.0,4776.75,546.0
2021-12-30,4775.75,4792.5,4757.75,4764.25,380.0
2021-12-31,4767.75,4769.75,4743.5,4750.5,460.0
2022-01-03,4762.75,4783.0,4740.0,4778.0,857.0
