DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2021-10-22,7386.0,7386.0,7386.0,7386.0,0.0
2021-10-25,7424.0,7424.0,7424.0,7424.0,0.0
2021-10-26,7418.0,7418.0,7418.0,7418.0,0.0
2021-10-27,7420.0,7420.0,7420.0,7420.0,0.0
2021-10-28,7404.0,7404.0,7404.0,7404.0,0.0
2021-10-29,7280.0,7280.0,7280.0,7280.0,0.0
2021-11-01,7347.0,7347.0,7347.0,7347.0,0.0
2021-11-02,7289.0,7289.0,7289.0,7289.0,0.0
2021-11-03,7363.0,7363.0,7363.0,7363.0,0.0
2021-11-04,7399.0,7399.0,7399.0,7399.0,0.0
2021-11-05,7437.0,7437.0,7437.0,7437.0,0.0
2021-11-08,7447.0,7447.0,7447.0,7447.0,0.0
2021-11-09,7420.0,7420.0,7420.0,7420.0,0.0
2021-11-10,7412.0,7412.0,7412.0,7412.0,0.0
2021-11-11,7371.0,7371.0,7371.0,7371.0,0.0
2021-11-12,7438.0,7438.0,7438.0,7438.0,0.0
2021-11-15,7469.0,7469.0,7469.0,7469.0,0.0
2021-11-16,7409.0,7409.0,7409.0,7409.0,0.0
2021-11-17,7370.0,7370.0,7370.0,7370.0,0.0
2021-11-18,7367.0,7367.0,7367.0,7367.0,0.0
2021-11-19,7396.0,7396.0,7396.0,7396.0,0.0
2021-11-22,7353.0,7353.0,7353.0,7353.0,0.0
2021-11-23,7408.0,7408.0,7408.0,7408.0,0.0
2021-11-24,7393.0,7393.0,7393.0,7393.0,0.0
2021-11-25,7407.0,7407.0,7407.0,7407.0,0.0
2021-11-26,7270.0,7270.0,7270.0,7270.0,0.0
2021-11-29,7214.0,7214.0,7214.0,7214.0,0.0
2021-11-30,7231.0,7231.0,7231.0,7231.0,0.0
2021-12-01,7239.0,7239.0,7239.0,7239.0,0.0
2021-12-02,7218.0,7218.0,7218.0,7218.0,0.0
2021-12-03,7249.0,7249.0,7249.0,7249.0,0.0
2021-12-06,7285.0,7285.0,7285.0,7285.0,0.0
2021-12-07,7331.0,7331.0,7331.0,7331.0,0.0
2021-12-08,7417.0,7417.0,7417.0,7417.0,1.0
2021-12-09,7378.0,7378.0,7378.0,7378.0,0.0
2021-12-10,7353.0,7353.0,7353.0,7353.0,0.0
2021-12-13,7388.0,7388.0,7372.0,7372.0,7.0
2021-12-14,7372.0,7372.0,7372.0,7372.0,0.0
2021-12-15,7300.0,7300.0,7300.0,7300.0,0.0
2021-12-16,7313.0,7330.0,7287.0,7287.0,260.0
2021-12-17,7335.0,7339.0,7298.0,7298.0,55.0
2021-12-20,7260.0,7291.0,7260.0,7284.0,84.0
2021-12-21,7343.0,7358.0,7338.0,7349.0,27.0
2021-12-22,7346.0,7357.0,7340.0,7357.0,9.0
2021-12-23,7380.0,7382.0,7373.0,7380.0,31.0
2021-12-24,7420.0,7420.0,7420.0,7420.0,0.0
2021-12-29,7506.0,7509.0,7505.0,7505.0,3.0
2021-12-30,7516.0,7522.0,7516.0,7522.0,3.0
2021-12-31,7474.0,7474.0,7435.0,7435.0,29.0
2022-01-04,7619.0,7619.0,7619.0,7619.0,288.0
2022-01-05,7577.0,7579.0,7570.0,7570.0,182.0
2022-01-06,7367.0,7367.0,7335.0,7359.0,173.0
2022-01-07,7465.0,7465.0,7440.0,7440.0,278.0
2022-01-10,7431.0,7431.0,7431.0,7431.0,15.0
2022-01-11,7386.0,7386.0,7386.0,7386.0,0.0
2022-01-12,7446.0,7446.0,7446.0,7446.0,308.0
2022-01-13,7462.0,7462.0,7462.0,7462.0,153.0
2022-01-14,7410.0,7412.0,7386.0,7399.0,377.0
2022-01-17,7419.0,7419.0,7419.0,7419.0,1000.0
2022-01-18,7412.0,7412.0,7412.0,7412.0,15.0
2022-01-19,7342.0,7363.0,7323.0,7323.0,2119.0
2022-01-20,7353.0,7353.0,7353.0,7353.0,0.0
2022-01-21,7306.7,7306.7,7306.7,7306.7,0.0
