DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2007-06-01,10.39,10.52,10.39,10.52,92.0
2007-06-04,10.32,10.38,10.3,10.38,237.0
2007-06-05,10.36,10.36,10.15,10.24,1033.0
2007-06-06,10.28,10.33,10.24,10.33,62.0
2007-06-07,10.26,10.26,10.26,10.26,367.0
2007-06-08,10.28,10.28,10.25,10.27,56.0
2007-06-11,10.37,10.39,10.37,10.39,2.0
2007-06-12,10.25,10.37,10.25,10.37,210.0
2007-06-13,10.26,10.3,10.19,10.25,918.0
2007-06-14,10.21,10.27,10.12,10.16,1555.0
2007-06-15,10.3,10.3,10.21,10.21,1823.0
2007-06-18,10.3,10.62,10.3,10.62,1217.0
2007-06-19,10.4,10.59,10.28,10.59,997.0
2007-06-20,10.56,10.72,10.53,10.63,1475.0
2007-06-21,10.6,10.85,10.56,10.85,2438.0
2007-06-22,10.93,10.93,10.66,10.77,2505.0
2007-06-25,10.6,10.61,10.52,10.56,680.0
2007-06-26,10.63,10.76,10.59,10.7,1271.0
2007-06-27,10.65,10.75,10.65,10.72,937.0
2007-06-28,10.86,10.96,10.72,10.89,2087.0
2007-06-29,10.87,10.96,10.8,10.86,1494.0
2007-07-02,10.79,10.87,10.64,10.67,563.0
2007-07-03,10.82,10.9,10.65,10.86,222.0
2007-07-05,10.92,10.94,10.84,10.89,178.0
2007-07-06,10.94,10.94,10.89,10.9,233.0
2007-07-09,10.9,10.95,10.84,10.9,369.0
2007-07-10,10.87,10.87,10.8,10.82,299.0
2007-07-11,10.94,10.94,10.82,10.94,51.0
2007-07-12,10.89,10.91,10.84,10.91,93.0
2007-07-13,10.96,11.05,10.81,10.81,58.0
2007-07-16,10.82,10.82,10.71,10.74,134.0
2007-07-17,10.86,10.86,10.86,10.86,0.0
2007-07-18,10.99,11.04,10.99,11.04,151.0
2007-07-19,11.04,11.35,11.03,11.27,1063.0
2007-07-20,11.25,11.3,11.15,11.28,406.0
2007-07-23,10.95,11.04,10.89,11.04,181.0
2007-07-24,11.1,11.12,11.1,11.11,172.0
2007-07-25,11.06,11.11,11.06,11.11,169.0
2007-07-26,11.17,11.17,10.98,11.07,66.0
2007-07-27,10.93,10.93,10.85,10.85,737.0
2007-07-30,10.89,11.15,10.79,10.82,1104.0
2007-07-31,10.93,11.07,10.92,10.95,756.0
2007-08-01,10.86,10.94,10.84,10.84,232.0
2007-08-02,10.86,10.89,10.83,10.83,651.0
2007-08-03,10.86,10.89,10.81,10.85,1546.0
2007-08-06,10.7,10.7,10.61,10.61,141.0
2007-08-07,10.61,10.7,10.6,10.64,702.0
2007-08-08,10.61,10.64,10.58,10.58,1116.0
2007-08-09,10.65,10.67,10.58,10.58,722.0
2007-08-10,10.55,10.55,10.42,10.42,488.0
2007-08-13,10.53,10.53,10.32,10.32,699.0
2007-08-14,10.37,10.44,10.33,10.34,301.0
2007-08-15,10.3,10.32,10.26,10.26,709.0
2007-08-16,10.21,10.21,9.93,9.93,505.0
2007-08-17,10.01,10.24,10.01,10.13,877.0
2007-08-20,10.17,10.28,10.16,10.25,432.0
2007-08-21,10.24,10.26,10.2,10.23,427.0
2007-08-22,10.24,10.48,10.24,10.47,1962.0
2007-08-23,10.52,10.6,10.45,10.49,790.0
2007-08-24,10.52,10.57,10.38,10.38,1912.0
2007-08-27,10.38,10.48,10.38,10.48,88.0
