DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1991-07-17,250.8,250.8,250.8,250.8,0.0
1991-07-18,253.8,253.8,253.8,253.8,0.0
1991-07-19,253.5,253.5,253.5,253.5,0.0
1991-07-22,252.9,252.9,252.9,252.9,0.0
1991-07-23,252.8,252.8,252.8,252.8,0.0
1991-07-24,253.5,253.5,252.8,253.5,3.0
1991-07-25,254.5,254.5,254.5,254.5,0.0
1991-07-26,254.7,254.7,254.7,254.7,0.0
1991-07-29,254.0,254.0,254.0,254.0,0.0
1991-07-30,254.7,254.7,254.7,254.7,0.0
1991-07-31,255.0,255.0,255.0,255.0,0.0
1991-08-01,255.7,255.7,255.7,255.7,0.0
1991-08-02,255.5,255.5,255.5,255.5,0.0
1991-08-05,255.7,255.7,255.7,255.7,0.0
1991-08-06,255.5,255.5,255.5,255.5,0.0
1991-08-07,255.4,255.4,255.4,255.4,0.0
1991-08-08,256.0,256.0,256.0,256.0,0.0
1991-08-09,255.5,255.5,252.2,252.2,10.0
1991-08-12,246.8,246.8,246.8,246.8,0.0
1991-08-13,247.0,247.0,247.0,247.0,0.0
1991-08-14,247.4,247.4,247.4,247.4,0.0
1991-08-15,245.0,245.0,245.0,245.0,10.0
1991-08-16,245.0,245.0,243.5,244.5,4.0
1991-08-19,240.0,241.5,240.0,241.5,3.0
1991-08-20,243.2,243.2,243.2,243.2,0.0
1991-08-21,249.8,249.8,249.8,249.8,0.0
1991-08-22,250.2,250.2,250.2,250.2,0.0
1991-08-23,248.5,248.5,248.5,248.5,0.0
1991-08-27,252.7,252.7,252.7,252.7,0.0
1991-08-28,251.9,251.9,251.9,251.9,0.0
1991-08-29,251.5,251.5,247.2,247.2,10.0
1991-08-30,251.3,251.3,251.3,251.3,0.0
1991-09-02,253.5,253.5,253.5,253.5,0.0
1991-09-03,251.8,251.8,251.8,251.8,0.0
1991-09-04,252.7,252.7,252.7,252.7,0.0
1991-09-05,255.0,255.0,255.0,255.0,4.0
1991-09-06,256.5,256.5,256.5,256.5,0.0
1991-09-09,255.3,255.3,255.3,255.3,0.0
1991-09-10,257.0,257.0,257.0,257.0,0.0
1991-09-11,258.2,258.2,258.2,258.2,0.0
1991-09-12,258.0,258.0,258.0,258.0,0.0
1991-09-13,260.0,260.5,258.0,258.8,10.0
1991-09-16,260.0,260.0,257.9,259.8,75.0
1991-09-17,262.0,262.0,262.0,262.0,0.0
1991-09-18,262.5,262.5,262.5,262.5,0.0
1991-09-19,259.9,259.9,259.9,259.9,0.0
1991-09-20,259.8,259.8,259.8,259.8,0.0
1991-09-23,258.5,258.5,258.5,258.5,0.0
1991-09-24,260.0,264.7,260.0,264.7,22.0
1991-09-25,265.2,265.2,265.2,265.2,0.0
1991-09-26,267.0,267.0,267.0,267.0,2.0
1991-09-27,264.1,264.1,264.1,264.1,0.0
1991-09-30,266.0,266.0,259.0,259.0,10.0
1991-10-01,263.5,263.5,261.8,262.0,115.0
1991-10-02,262.0,262.0,261.3,261.5,210.0
1991-10-03,257.3,257.3,257.3,257.3,0.0
1991-10-04,259.2,259.2,259.2,259.2,0.0
1991-10-07,260.5,260.7,260.5,260.7,65.0
1991-10-08,259.8,259.8,259.0,259.0,25.0
1991-10-09,257.3,257.3,257.3,257.3,0.0
1991-10-10,256.5,256.5,256.5,256.5,0.0
1991-10-11,254.3,254.3,254.3,254.3,0.0
1991-10-14,255.2,256.5,255.2,256.5,40.0
1991-10-15,255.8,255.8,255.5,255.5,40.0
1991-10-16,255.5,257.8,255.5,257.8,50.0
1991-10-17,257.8,257.8,257.8,257.8,0.0
1991-10-18,256.0,256.0,256.0,256.0,50.0
1991-10-21,257.0,257.0,256.0,256.5,4.0
1991-10-22,256.0,260.2,256.0,260.2,6.0
1991-10-23,255.2,255.2,255.2,255.2,0.0
1991-10-24,256.2,256.5,254.5,256.5,64.0
1991-10-25,255.2,255.2,255.2,255.2,0.0
1991-10-28,259.2,259.2,259.2,259.2,0.0
1991-10-29,258.5,258.5,257.7,257.7,1.0
1991-10-30,258.5,258.5,258.5,258.5,0.0
1991-10-31,262.5,262.5,255.7,261.8,15.0
