DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2006-06-19,629.0,629.0,629.0,629.0,0.0
2006-06-20,631.0,631.0,631.0,631.0,0.0
2006-06-21,632.0,632.0,632.0,632.0,0.0
2006-06-22,643.0,643.0,643.0,643.0,0.0
2006-06-23,645.0,645.0,645.0,645.0,0.0
2006-06-26,643.0,643.0,643.0,643.0,0.0
2006-06-27,633.0,633.0,633.0,633.0,0.0
2006-06-28,627.0,627.0,627.0,627.0,0.0
2006-06-29,637.0,645.0,637.0,645.0,25.0
2006-06-30,661.0,662.0,661.0,662.0,50.0
2006-07-03,678.0,679.0,678.0,679.0,8.0
2006-07-04,685.0,685.0,685.0,685.0,0.0
2006-07-05,667.0,667.0,667.0,667.0,0.0
2006-07-06,670.0,670.0,670.0,670.0,0.0
2006-07-07,659.0,659.0,659.0,659.0,0.0
2006-07-10,660.0,660.0,660.0,660.0,0.0
2006-07-11,650.0,650.0,650.0,650.0,0.0
2006-07-12,655.0,655.0,655.0,655.0,0.0
2006-07-13,632.0,632.0,632.0,632.0,0.0
2006-07-14,613.0,613.0,613.0,613.0,0.0
2006-07-17,604.0,604.0,604.0,604.0,0.0
2006-07-18,600.0,600.0,594.0,594.0,3.0
2006-07-19,612.0,612.0,610.0,610.0,4.0
2006-07-20,611.0,611.0,611.0,611.0,0.0
2006-07-21,603.0,604.0,603.0,604.0,4.0
2006-07-24,616.0,616.0,616.0,616.0,0.0
2006-07-25,628.0,628.0,628.0,628.0,0.0
2006-07-26,626.0,626.0,626.0,626.0,0.0
2006-07-27,630.0,630.0,630.0,630.0,0.0
2006-07-28,627.0,627.0,627.0,627.0,0.0
2006-07-31,633.0,633.0,633.0,633.0,0.0
2006-08-01,641.0,641.0,639.0,639.0,1.0
2006-08-02,649.0,649.0,649.0,649.0,0.0
2006-08-03,650.0,650.0,650.0,650.0,0.0
2006-08-04,656.0,656.0,656.0,656.0,0.0
2006-08-07,650.0,650.0,650.0,650.0,0.0
2006-08-08,648.0,649.0,648.0,649.0,50.0
2006-08-09,645.0,646.0,645.0,646.0,20.0
2006-08-10,631.0,631.0,631.0,631.0,0.0
2006-08-11,643.0,643.0,637.0,637.0,29.0
2006-08-14,646.0,646.0,646.0,646.0,0.0
2006-08-15,649.0,650.0,649.0,650.0,12.0
2006-08-16,662.0,662.0,660.0,660.0,12.0
2006-08-17,666.0,669.0,665.0,669.0,217.0
2006-08-18,672.0,672.0,672.0,672.0,2.0
2006-08-21,665.0,665.0,665.0,665.0,0.0
2006-08-22,666.0,666.0,666.0,666.0,0.0
2006-08-23,662.0,662.0,662.0,662.0,0.0
2006-08-24,656.0,656.0,655.0,655.0,25.0
2006-08-25,658.0,658.0,658.0,658.0,0.0
2006-08-28,658.0,658.0,658.0,658.0,0.0
2006-08-29,653.0,653.0,653.0,653.0,0.0
2006-08-30,657.0,657.0,657.0,657.0,0.0
2006-08-31,658.0,658.0,658.0,658.0,0.0
2006-09-01,662.0,662.0,662.0,662.0,0.0
2006-09-04,663.0,663.0,663.0,663.0,0.0
2006-09-05,658.0,658.0,658.0,658.0,0.0
2006-09-06,653.0,653.0,653.0,653.0,0.0
2006-09-07,644.0,644.0,644.0,644.0,0.0
2006-09-08,648.0,648.0,648.0,648.0,0.0
2006-09-11,642.0,642.0,642.0,642.0,0.0
2006-09-12,649.0,649.0,649.0,649.0,0.0
2006-09-13,656.0,656.0,656.0,656.0,0.0
2006-09-14,661.0,661.0,661.0,661.0,0.0
2006-09-15,659.0,659.0,659.0,659.0,0.0
2006-09-18,660.0,661.0,660.0,661.0,25.0
2006-09-19,658.0,660.0,657.0,660.0,2.0
2006-09-20,660.0,660.0,660.0,660.0,0.0
2006-09-21,652.0,652.0,651.0,651.0,1.0
2006-09-22,645.0,645.0,635.0,635.0,30.0
2006-09-25,644.0,644.0,641.0,641.0,51.0
2006-09-26,662.0,662.0,662.0,662.0,0.0
2006-09-27,665.0,665.0,665.0,665.0,0.0
2006-09-28,666.0,666.0,666.0,666.0,0.0
2006-09-29,671.0,671.0,671.0,671.0,0.0
2006-10-02,667.0,667.0,667.0,667.0,0.0
2006-10-03,662.0,663.0,662.0,663.0,24.0
2006-10-04,668.0,668.0,667.0,667.0,1.0
2006-10-05,671.0,671.0,670.0,670.0,1.0
2006-10-06,664.0,664.0,664.0,664.0,0.0
2006-10-09,676.0,676.0,676.0,676.0,0.0
2006-10-10,680.0,680.0,680.0,680.0,0.0
