DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2021-03-19,1092.1,1092.1,1092.1,1092.1,0.0
2021-03-22,1075.4,1075.4,1075.4,1075.4,0.0
2021-03-23,1085.9,1085.9,1085.9,1085.9,0.0
2021-03-24,1084.8,1084.8,1084.8,1084.8,0.0
2021-03-25,1085.9,1085.9,1085.9,1085.9,0.0
2021-03-26,1092.0,1092.0,1092.0,1092.0,0.0
2021-03-29,1090.7,1090.7,1090.7,1090.7,0.0
2021-03-30,1091.0,1091.0,1091.0,1091.0,0.0
2021-03-31,1089.4,1089.4,1089.4,1089.4,0.0
2021-04-01,1104.6,1104.6,1104.6,1104.6,0.0
2021-04-05,1107.9,1107.9,1107.9,1107.9,0.0
2021-04-06,1110.5,1110.5,1110.5,1110.5,0.0
2021-04-07,1114.1,1114.1,1114.1,1114.1,0.0
2021-04-08,1117.3,1117.3,1117.3,1117.3,0.0
2021-04-09,1118.5,1118.5,1118.5,1118.5,0.0
2021-04-12,1118.3,1118.3,1118.3,1118.3,0.0
2021-04-13,1117.6,1117.6,1117.6,1117.6,0.0
2021-04-14,1116.1,1116.1,1116.1,1116.1,0.0
2021-04-15,1125.5,1125.5,1125.5,1125.5,0.0
2021-04-16,1126.7,1126.7,1126.7,1126.7,0.0
2021-04-19,1119.0,1119.0,1119.0,1119.0,0.0
2021-04-20,1106.8,1106.8,1106.8,1106.8,0.0
2021-04-21,1114.0,1114.0,1114.0,1114.0,0.0
2021-04-22,1106.2,1106.2,1106.2,1106.2,0.0
2021-04-23,1110.7,1110.7,1110.7,1110.7,0.0
2021-04-26,1113.8,1113.8,1113.8,1113.8,0.0
2021-04-27,1114.4,1114.4,1114.4,1114.4,0.0
2021-04-28,1126.7,1126.7,1126.7,1126.7,0.0
2021-04-29,1122.3,1122.3,1122.3,1122.3,0.0
2021-04-30,1113.7,1113.7,1113.7,1113.7,0.0
2021-05-03,1117.9,1117.9,1117.9,1117.9,0.0
2021-05-04,1118.6,1118.6,1118.6,1118.6,0.0
2021-05-05,1126.7,1126.7,1126.7,1126.7,0.0
2021-05-06,1124.9,1124.9,1124.9,1124.9,0.0
2021-05-07,1136.1,1136.1,1136.1,1136.1,0.0
2021-05-10,1130.6,1130.6,1130.6,1130.6,0.0
2021-05-11,1125.5,1125.5,1125.5,1125.5,0.0
2021-05-12,1118.0,1118.0,1118.0,1118.0,0.0
2021-05-13,1123.2,1123.2,1123.2,1123.2,0.0
2021-05-14,1135.9,1135.9,1135.9,1135.9,0.0
2021-05-17,1142.3,1142.3,1142.3,1142.3,0.0
2021-05-18,1143.5,1143.5,1143.5,1143.5,0.0
2021-05-19,1138.6,1138.6,1138.6,1138.6,0.0
2021-05-20,1146.9,1146.9,1146.9,1146.9,0.0
2021-05-21,1146.3,1146.3,1146.3,1146.3,0.0
2021-05-25,1149.1,1149.1,1149.1,1149.1,0.0
2021-05-26,1160.3,1160.3,1160.3,1160.3,0.0
2021-05-27,1162.3,1162.3,1162.3,1162.3,0.0
2021-05-28,1166.1,1166.1,1166.1,1166.1,0.0
2021-05-31,1156.9,1156.9,1156.9,1156.9,0.0
2021-06-01,1173.9,1173.9,1173.9,1173.9,0.0
2021-06-02,1171.6,1171.6,1171.6,1171.6,0.0
2021-06-03,1170.4,1170.4,1170.4,1170.4,0.0
2021-06-04,1176.0,1176.0,1176.0,1176.0,0.0
2021-06-07,1176.6,1176.6,1176.6,1176.6,0.0
2021-06-08,1176.8,1176.8,1176.8,1176.8,0.0
2021-06-09,1172.3,1172.3,1172.3,1172.3,0.0
2021-06-10,1173.9,1173.9,1173.9,1173.9,0.0
2021-06-11,1180.1,1180.1,1180.1,1180.1,0.0
2021-06-14,1183.0,1183.0,1183.0,1183.0,0.0
2021-06-15,1189.9,1189.9,1189.9,1189.9,0.0
2021-06-16,1189.9,1189.9,1189.9,1189.9,0.0
2021-06-17,1187.8,1187.8,1187.8,1187.8,0.0
2021-06-18,1178.9,1178.9,1178.9,1178.9,0.0
