DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2004-01-23,106.46875,106.59375,106.46875,106.5,1.0
2004-01-26,105.71875,105.71875,105.71875,105.71875,0.0
2004-01-27,106.28125,106.28125,106.28125,106.28125,0.0
2004-01-28,105.0625,105.0625,105.0625,105.0625,0.0
2004-01-29,105.28125,105.28125,105.28125,105.28125,0.0
2004-01-30,106.09375,106.09375,106.09375,106.09375,40.0
2004-02-02,105.8125,105.8125,105.8125,105.8125,40.0
2004-02-03,106.3125,106.3125,106.3125,106.3125,0.0
2004-02-04,106.21875,106.21875,106.21875,106.21875,0.0
2004-02-05,105.75,105.75,105.75,105.75,0.0
2004-02-06,106.84375,106.84375,106.84375,106.84375,0.0
2004-02-09,107.0625,107.0625,107.0625,107.0625,0.0
2004-02-10,106.6875,106.6875,106.6875,106.6875,0.0
2004-02-11,107.5625,107.5625,107.5625,107.5625,0.0
2004-02-12,106.96875,106.96875,106.96875,106.96875,0.0
2004-02-13,107.28125,107.28125,107.28125,107.28125,0.0
2004-02-17,107.34375,107.34375,107.34375,107.34375,0.0
2004-02-18,107.4375,107.4375,107.4375,107.4375,0.0
2004-02-19,107.53125,107.53125,107.53125,107.53125,0.0
2004-02-20,106.90625,106.90625,106.90625,106.90625,0.0
2004-02-23,107.5,107.5,107.5,107.5,0.0
2004-02-24,107.75,107.75,107.75,107.75,0.0
2004-02-25,107.875,107.875,107.875,107.875,0.0
2004-02-26,107.5,107.5,107.5,107.5,0.0
2004-02-27,108.46875,108.46875,108.46875,108.46875,0.0
2004-03-01,108.40625,108.40625,108.40625,108.40625,0.0
2004-03-02,107.71875,107.71875,107.71875,107.71875,0.0
2004-03-03,107.5625,107.5625,107.5625,107.5625,0.0
2004-03-04,107.96875,107.96875,107.96875,107.96875,0.0
2004-03-05,110.1875,110.1875,110.1875,110.1875,0.0
2004-03-08,110.75,110.75,110.75,110.75,0.0
2004-03-09,111.34375,111.34375,111.34375,111.34375,0.0
2004-03-10,110.78125,111.21875,110.78125,111.21875,1.0
2004-03-11,111.125,111.125,111.125,111.125,0.0
2004-03-12,110.875,110.875,110.875,110.875,0.0
2004-03-15,110.875,110.875,110.875,110.875,0.0
2004-03-16,111.875,111.875,111.875,111.875,0.0
2004-03-17,111.875,111.90625,111.875,111.90625,0.0
2004-03-18,111.25,111.25,111.25,111.25,1.0
2004-03-19,110.84375,110.84375,110.84375,110.84375,0.0
2004-03-22,111.625,111.625,111.625,111.625,0.0
2004-03-23,111.71875,111.71875,111.71875,111.71875,0.0
2004-03-24,111.75,111.75,111.75,111.75,0.0
2004-03-25,111.34375,111.34375,111.34375,111.34375,0.0
2004-03-26,109.5625,110.03125,109.5625,110.03125,1.0
2004-03-29,109.4375,109.4375,109.4375,109.4375,0.0
2004-03-30,109.28125,109.28125,109.28125,109.28125,0.0
2004-03-31,109.96875,109.96875,109.96875,109.96875,0.0
2004-04-01,109.40625,109.40625,109.40625,109.40625,0.0
2004-04-02,106.90625,106.90625,106.90625,106.90625,0.0
2004-04-05,105.9375,105.9375,105.9375,105.9375,0.0
2004-04-06,106.25,106.46875,106.25,106.375,0.0
2004-04-07,106.34375,106.34375,106.34375,106.34375,1.0
2004-04-08,106.0625,106.0625,106.0625,106.0625,0.0
2004-04-12,105.5625,105.71875,105.53125,105.6875,1.0
2004-04-13,104.46875,104.46875,104.46875,104.46875,0.0
2004-04-14,104.0625,104.0625,104.0625,104.0625,0.0
2004-04-15,103.75,103.75,103.75,103.75,0.0
2004-04-16,104.21875,104.21875,104.21875,104.21875,0.0
2004-04-19,104.0,104.0,104.0,104.0,0.0
2004-04-20,103.59375,103.59375,103.59375,103.59375,0.0
2004-04-21,103.75,103.75,103.75,103.75,0.0
2004-04-22,104.15625,104.375,103.96875,104.375,1.0
2004-04-23,103.5625,103.5625,103.5625,103.5625,0.0
2004-04-26,103.9375,103.9375,103.9375,103.9375,0.0
2004-04-27,104.21875,104.21875,104.21875,104.21875,0.0
2004-04-28,103.4375,103.4375,103.4375,103.4375,0.0
2004-04-29,102.78125,102.78125,102.78125,102.78125,0.0
2004-04-30,103.25,103.25,103.25,103.25,0.0
2004-05-03,103.375,103.375,103.375,103.375,0.0
2004-05-04,102.84375,102.84375,102.84375,102.84375,0.0
2004-05-05,102.5625,102.5625,102.5625,102.5625,0.0
2004-05-06,102.15625,102.15625,102.15625,102.15625,0.0
2004-05-07,100.78125,100.78125,100.78125,100.78125,0.0
2004-05-10,100.78125,100.78125,100.65625,100.65625,1.0
2004-05-11,100.84375,100.84375,100.84375,100.84375,0.0
2004-05-12,100.5,100.5,100.5,100.5,0.0
2004-05-13,99.96875,99.96875,99.96875,99.96875,0.0
2004-05-14,100.71875,100.71875,100.71875,100.71875,0.0
2004-05-17,101.75,101.75,101.75,101.75,0.0
2004-05-18,101.5,101.5,101.5,101.5,0.0
2004-05-19,101.0,101.0,100.8125,100.8125,10.0
2004-05-20,101.3125,101.8125,101.3125,101.75,1.0
2004-05-21,101.34375,101.34375,101.34375,101.34375,0.0
2004-05-24,101.71875,101.71875,101.71875,101.71875,0.0
2004-05-25,101.96875,101.96875,101.96875,101.96875,0.0
2004-05-26,102.40625,102.40625,102.40625,102.40625,0.0
2004-05-27,103.40625,103.40625,103.40625,103.40625,0.0
2004-05-28,102.84375,102.84375,102.84375,102.84375,0.0
2004-06-01,102.125,102.125,102.125,102.125,0.0
2004-06-02,101.84375,101.84375,101.84375,101.84375,0.0
2004-06-03,102.03125,102.03125,102.03125,102.03125,0.0
2004-06-04,101.96875,101.96875,101.40625,101.4375,2.0
2004-06-07,101.4375,101.5625,101.4375,101.53125,1.0
2004-06-08,101.65625,101.65625,101.65625,101.65625,0.0
2004-06-09,101.25,101.25,101.25,101.25,0.0
2004-06-10,101.59375,101.59375,101.59375,101.59375,0.0
2004-06-14,100.75,100.75,100.75,100.75,0.0
2004-06-15,102.90625,102.90625,102.90625,102.90625,0.0
2004-06-16,102.4375,102.4375,102.4375,102.4375,0.0
2004-06-17,103.09375,103.09375,103.09375,103.09375,0.0
2004-06-18,102.875,102.875,102.875,102.875,0.0
2004-06-21,103.03125,103.03125,103.03125,103.03125,0.0
2004-06-22,102.84375,102.84375,102.84375,102.84375,0.0
2004-06-23,103.0,103.0,103.0,103.0,0.0
2004-06-24,103.28125,103.71875,103.28125,103.71875,1.0
2004-06-25,103.71875,103.71875,103.71875,103.71875,0.0
2004-06-28,102.625,102.625,102.625,102.625,0.0
2004-06-29,103.21875,103.21875,103.21875,103.21875,0.0
2004-06-30,104.125,104.125,104.125,104.125,0.0
2004-07-01,104.53125,104.53125,104.53125,104.53125,0.0
2004-07-02,105.75,105.75,105.75,105.75,0.0
2004-07-06,105.53125,105.53125,105.53125,105.53125,0.0
2004-07-07,105.5625,105.5625,105.5625,105.5625,0.0
2004-07-08,105.59375,105.59375,105.59375,105.59375,0.0
2004-07-09,105.5,105.71875,105.5,105.6875,2.0
2004-07-12,105.90625,105.90625,105.90625,105.90625,0.0
2004-07-13,105.5,105.5,105.5,105.5,0.0
2004-07-14,105.53125,105.53125,105.53125,105.53125,0.0
2004-07-15,105.59375,105.59375,105.59375,105.59375,0.0
2004-07-16,106.46875,107.0625,106.46875,107.0625,2.0
2004-07-19,107.03125,107.03125,107.03125,107.03125,80.0
2004-07-20,106.03125,106.03125,106.03125,106.03125,0.0
2004-07-21,105.65625,105.65625,105.65625,105.65625,0.0
2004-07-22,106.09375,106.125,105.9375,105.9375,1.0
2004-07-23,106.34375,106.34375,106.34375,106.34375,0.0
2004-07-26,105.90625,105.90625,105.90625,105.90625,0.0
2004-07-27,105.5625,105.625,104.375,104.4375,6.0
2004-07-28,104.53125,104.53125,104.53125,104.53125,2.0
2004-07-29,104.15625,104.75,104.15625,104.6875,1.0
2004-07-30,104.875,105.96875,104.84375,105.9375,9.0
2004-08-02,106.15625,106.15625,106.0625,106.0625,7.0
2004-08-03,106.5,106.59375,106.46875,106.46875,2.0
2004-08-04,106.40625,106.40625,106.40625,106.40625,0.0
2004-08-05,106.75,106.875,106.6875,106.6875,3.0
2004-08-06,106.84375,109.0,106.84375,108.4375,55.0
2004-08-09,108.40625,108.40625,108.28125,108.3125,13.0
2004-08-10,107.90625,108.5,107.90625,108.0,8.0
2004-08-11,107.875,108.3125,107.8125,108.1875,6.0
2004-08-12,108.0,108.46875,107.875,108.375,5.0
2004-08-13,109.0,109.09375,108.75,108.96875,6.0
2004-08-16,108.4375,108.4375,108.0625,108.375,2.0
2004-08-17,108.625,109.0,108.59375,108.96875,3.0
2004-08-18,109.0,109.0,108.5625,108.6875,4.0
2004-08-19,108.5,108.90625,108.5,108.8125,2.0
2004-08-20,108.75,108.75,108.75,108.75,0.0
2004-08-23,108.0,108.15625,107.96875,108.15625,46.0
2004-08-24,108.15625,108.15625,108.15625,108.15625,0.0
2004-08-25,108.4375,108.6875,108.4375,108.46875,87.0
2004-08-26,109.0,109.0,108.90625,108.90625,6.0
2004-08-27,108.9375,109.21875,108.9375,109.03125,5.0
2004-08-30,109.125,109.46875,109.125,109.4375,4.0
2004-08-31,110.0,110.6875,109.8125,110.15625,38.0
2004-09-01,109.78125,110.4375,109.78125,110.28125,11.0
2004-09-02,109.25,110.125,109.25,109.53125,33.0
2004-09-03,108.8125,109.1875,108.5,108.53125,16.0
2004-09-07,109.1875,109.1875,109.1875,109.1875,140.0
2004-09-08,108.71875,110.21875,108.71875,110.15625,6.0
2004-09-09,110.40625,110.40625,109.6875,109.71875,75.0
2004-09-10,110.1875,110.25,109.90625,110.0,24.0
2004-09-13,110.3125,110.375,110.25,110.34375,8.0
2004-09-14,110.5,110.53125,110.09375,110.53125,5086.0
2004-09-15,110.375,110.375,110.03125,110.125,548.0
2004-09-16,111.65625,111.65625,110.59375,111.375,2905.0
2004-09-17,111.3125,111.46875,110.6875,110.78125,1740.0
2004-09-20,111.0,111.5625,111.0,111.5625,756.0
2004-09-21,111.25,112.03125,111.125,111.9375,161.0
2004-09-22,112.0,112.84375,111.78125,112.75,343.0
2004-09-23,112.78125,112.9375,112.3125,112.3125,810.0
2004-09-24,112.4375,112.625,112.09375,112.375,799.0
2004-09-27,112.40625,112.9375,112.34375,112.75,900.0
2004-09-28,113.0,113.03125,112.21875,112.4375,599.0
2004-09-29,112.3125,112.3125,111.46875,111.5625,2790.0
2004-09-30,111.75,111.90625,110.59375,111.15625,1136.0
2004-10-01,110.625,110.65625,110.25,110.40625,956.0
2004-10-04,110.15625,110.71875,109.90625,110.625,1109.0
2004-10-05,110.65625,110.84375,110.5,110.65625,49.0
2004-10-06,110.46875,110.65625,109.96875,110.09375,745.0
2004-10-07,109.96875,110.125,109.6875,109.78125,435.0
2004-10-08,109.875,111.15625,109.625,111.09375,3942.0
2004-10-12,111.46875,111.59375,111.3125,111.40625,1725.0
2004-10-13,111.3125,111.78125,111.0,111.65625,3099.0
2004-10-14,111.84375,112.40625,111.6875,112.34375,593.0
2004-10-15,112.46875,112.6875,111.4375,111.9375,6223.0
2004-10-18,111.96875,112.125,111.6875,112.03125,144.0
2004-10-19,111.84375,112.375,111.5,112.3125,977.0
2004-10-20,112.5625,113.0625,112.5625,112.90625,11128.0
2004-10-21,113.21875,113.4375,112.8125,112.96875,1467.0
2004-10-22,112.875,113.3125,112.625,113.125,992.0
2004-10-25,113.5,113.6875,113.25,113.3125,2079.0
2004-10-26,113.40625,113.46875,113.125,113.15625,2160.0
2004-10-27,113.34375,113.53125,111.9375,112.03125,5565.0
2004-10-28,112.15625,112.53125,111.6875,112.125,642.0
2004-10-29,112.21875,112.875,112.21875,112.8125,4761.0
2004-11-01,112.59375,112.75,112.0625,112.09375,277.0
2004-11-02,112.09375,112.375,111.96875,112.21875,2137.0
2004-11-03,112.5625,112.5625,110.625,112.40625,4020.0
2004-11-04,112.5,112.90625,112.46875,112.59375,6649.0
2004-11-05,112.53125,112.59375,110.0,111.25,10674.0
2004-11-08,110.71875,111.21875,110.71875,111.0,15391.0
2004-11-09,111.0,111.25,110.90625,111.0,8839.0
2004-11-10,110.84375,111.0,110.3125,110.53125,4327.0
2004-11-12,110.71875,111.75,110.6875,111.375,2761.0
2004-11-15,111.40625,111.625,111.25,111.5625,7488.0
2004-11-16,111.625,111.8125,111.1875,111.5,15015.0
2004-11-17,111.25,112.46875,111.125,112.3125,21485.0
2004-11-18,112.34375,112.78125,112.03125,112.6875,23227.0
2004-11-19,112.65625,112.9375,111.5,111.75,15024.0
2004-11-22,111.625,112.34375,111.53125,112.34375,26308.0
2004-11-23,112.125,112.78125,111.90625,112.28125,169353.0
2004-11-24,112.1875,112.46875,112.1875,112.25,106051.0
2004-11-26,112.3125,112.40625,111.3125,111.71875,74112.0
2004-11-29,111.71875,111.8125,110.28125,110.53125,214595.0
2004-11-30,110.6875,110.71875,109.78125,110.125,473774.0
2004-12-01,110.1875,110.5,109.75,109.96875,398375.0
2004-12-02,110.09375,110.25,109.4375,109.65625,398122.0
2004-12-03,109.4375,111.59375,109.34375,111.125,515517.0
2004-12-06,111.21875,111.75,111.125,111.5,225078.0
2004-12-07,111.6875,111.78125,111.25,111.6875,260216.0
2004-12-08,111.71875,113.1875,111.40625,113.0625,496810.0
2004-12-09,113.125,113.28125,112.34375,112.59375,365062.0
2004-12-10,112.40625,113.0,112.40625,112.6875,217386.0
2004-12-13,112.6875,113.25,112.5625,112.84375,188630.0
2004-12-14,112.84375,113.3125,112.4375,113.1875,187334.0
2004-12-15,113.25,114.0625,113.125,113.96875,275610.0
2004-12-16,113.90625,114.0625,112.46875,112.59375,313534.0
2004-12-17,112.59375,112.875,111.75,112.34375,264030.0
2004-12-20,112.375,112.84375,112.21875,112.46875,87002.0
2004-12-21,112.59375,112.9375,112.4375,112.875,76903.0
2004-12-22,112.90625,112.90625,112.3125,112.46875,100177.0
2004-12-23,112.53125,112.59375,112.03125,112.28125,90482.0
2004-12-27,111.3125,112.0625,111.0625,111.3125,96375.0
2004-12-28,111.3125,111.4375,110.8125,111.375,88538.0
2004-12-29,111.375,111.53125,110.9375,111.0625,64520.0
2004-12-30,110.96875,112.0,110.90625,111.75,89571.0
2004-12-31,111.84375,112.625,111.75,112.5,58223.0
2005-01-03,112.5,112.75,111.875,112.53125,177736.0
2005-01-04,112.53125,112.875,111.375,111.78125,275216.0
2005-01-05,111.65625,112.34375,111.5625,112.0625,259800.0
2005-01-06,112.03125,112.375,111.8125,112.09375,201779.0
2005-01-07,112.1875,113.875,111.0,112.09375,356018.0
2005-01-10,112.28125,112.46875,112.0,112.34375,154093.0
2005-01-11,112.4375,113.0,112.1875,112.875,255451.0
2005-01-12,112.875,113.1875,112.4375,113.0,258365.0
2005-01-13,113.0625,114.0,112.90625,113.65625,294267.0
2005-01-14,113.90625,114.15625,113.1875,113.4375,286791.0
2005-01-18,113.53125,114.0,113.1875,113.90625,269088.0
2005-01-19,113.9375,114.53125,113.5625,113.96875,430519.0
2005-01-20,114.09375,114.34375,113.5,114.15625,280048.0
2005-01-21,114.125,114.40625,113.8125,114.375,216162.0
2005-01-24,114.28125,114.8125,114.28125,114.71875,232940.0
2005-01-25,114.75,114.875,113.625,113.9375,431857.0
2005-01-26,113.875,114.21875,113.5625,113.9375,276008.0
2005-01-27,113.90625,113.96875,113.375,113.875,274279.0
2005-01-28,113.65625,114.84375,113.59375,114.65625,338216.0
2005-01-31,114.53125,114.9375,114.40625,114.84375,254312.0
2005-02-01,114.84375,115.125,114.5625,114.8125,331916.0
2005-02-02,114.71875,115.03125,114.5625,114.875,214430.0
2005-02-03,114.84375,114.90625,114.34375,114.8125,251401.0
2005-02-04,114.75,116.21875,114.71875,115.90625,452226.0
2005-02-07,115.84375,116.5625,115.75,116.46875,224416.0
