DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2011-05-23,23.95,24.0,23.95,24.0,1.0
2011-05-24,24.05,24.28,23.95,24.25,733.0
2011-05-25,24.15,24.32,24.05,24.25,1547.0
2011-05-26,24.14,24.25,23.8,23.9,1352.0
2011-05-27,23.75,23.75,23.5,23.6,279.0
2011-05-31,23.15,23.45,23.15,23.3,260.0
2011-06-01,23.25,23.85,23.22,23.8,526.0
2011-06-02,23.75,24.0,23.65,23.85,309.0
2011-06-03,24.0,24.24,23.59,24.05,414.0
2011-06-06,23.8,24.25,23.79,24.25,1192.0
2011-06-07,23.95,24.22,23.75,24.2,643.0
2011-06-08,24.25,24.25,23.8,24.25,333.0
2011-06-09,23.9,24.0,23.6,23.9,203.0
2011-06-10,23.8,24.35,23.8,24.3,407.0
2011-06-13,24.15,24.6,24.0,24.45,208.0
2011-06-14,24.05,24.05,23.75,23.9,383.0
2011-06-15,24.2,24.75,23.98,24.75,1465.0
2011-06-16,25.2,26.1,24.6,25.5,1109.0
2011-06-17,25.1,25.51,24.8,25.25,1981.0
2011-06-20,25.45,25.5,24.7,24.85,982.0
2011-06-21,24.5,24.7,24.32,24.65,1448.0
2011-06-22,24.52,25.05,24.15,24.95,706.0
2011-06-23,25.09,25.65,24.55,24.95,1509.0
2011-06-24,24.76,25.4,24.65,25.4,1152.0
2011-06-27,25.3,25.4,24.75,25.2,1058.0
2011-06-28,25.0,25.1,24.8,25.05,1613.0
2011-06-29,24.6,25.05,24.55,24.75,2680.0
2011-06-30,24.4,24.5,24.1,24.3,2417.0
2011-07-01,24.05,24.15,23.05,23.2,2326.0
2011-07-05,23.3,23.35,23.08,23.35,1092.0
2011-07-06,23.43,23.6,23.2,23.3,894.0
2011-07-07,23.15,23.15,22.6,22.75,1576.0
2011-07-08,23.05,23.15,22.8,22.9,1803.0
2011-07-11,22.9,23.8,22.9,23.55,938.0
2011-07-12,23.9,24.1,23.3,24.1,1082.0
2011-07-13,23.84,24.15,23.5,24.05,867.0
2011-07-14,24.0,24.69,22.8,24.35,2158.0
2011-07-15,24.42,24.55,23.95,24.0,948.0
2011-07-18,24.25,24.65,24.25,24.35,1188.0
2011-07-19,24.16,24.16,23.65,23.7,1918.0
2011-07-20,23.55,23.72,23.4,23.55,1185.0
2011-07-21,23.4,23.4,22.9,23.0,1293.0
2011-07-22,22.8,23.21,22.75,22.95,1264.0
2011-07-25,23.0,23.4,23.0,23.25,1193.0
2011-07-26,23.2,23.6,23.15,23.35,1125.0
2011-07-27,23.42,24.05,23.42,24.0,1703.0
2011-07-28,24.03,24.1,23.39,23.85,1064.0
2011-07-29,23.95,24.3,23.05,23.2,3095.0
2011-08-01,22.65,23.45,22.55,22.75,1769.0
2011-08-02,23.02,23.7,22.7,23.6,2502.0
2011-08-03,23.22,24.3,23.22,23.45,3642.0
2011-08-04,24.0,25.45,23.7,25.35,5626.0
2011-08-05,25.25,27.47,24.7,25.65,4641.0
2011-08-08,26.42,28.2,25.99,27.35,3922.0
2011-08-09,27.25,27.56,25.29,25.4,3948.0
2011-08-10,25.85,27.75,25.85,27.55,1667.0
2011-08-11,28.1,28.1,26.74,26.8,2869.0
2011-08-12,26.57,26.9,26.2,26.65,1157.0
2011-08-15,26.3,26.3,25.6,25.7,1741.0
2011-08-16,26.34,26.65,25.8,25.85,1277.0
2011-08-17,25.85,26.37,25.55,26.1,1192.0
2011-08-18,26.86,29.0,26.81,28.85,2366.0
2011-08-19,29.15,29.81,28.55,29.7,2238.0
2011-08-22,29.05,30.3,28.65,30.05,2267.0
2011-08-23,29.56,30.3,29.56,29.9,3908.0
2011-08-24,30.25,30.3,29.3,30.3,2555.0
2011-08-25,30.2,31.0,29.55,30.85,1810.0
2011-08-26,31.0,31.6,29.9,30.45,2232.0
2011-08-29,30.15,30.15,29.4,29.55,1239.0
2011-08-30,29.75,30.4,29.41,30.35,1350.0
2011-08-31,30.0,30.07,29.49,29.7,2540.0
2011-09-01,29.82,30.05,29.2,29.95,3465.0
2011-09-02,30.15,30.75,29.34,30.4,2252.0
2011-09-06,30.4,31.85,30.4,31.0,2664.0
2011-09-07,30.45,30.75,30.2,30.25,1318.0
2011-09-08,30.45,30.76,30.09,30.7,2116.0
2011-09-09,30.65,32.25,30.65,31.85,2188.0
2011-09-12,32.78,33.25,31.95,32.25,2015.0
2011-09-13,32.3,32.65,32.05,32.2,2622.0
2011-09-14,31.81,32.55,31.45,31.75,2521.0
2011-09-15,31.52,31.75,30.95,31.0,1724.0
2011-09-16,31.28,31.55,30.74,30.8,3826.0
2011-09-19,31.52,32.17,30.75,31.45,2676.0
2011-09-20,31.15,31.73,30.75,31.3,2303.0
2011-09-21,31.55,32.35,31.19,32.3,3362.0
2011-09-22,33.75,34.55,33.0,33.8,4847.0
2011-09-23,34.7,34.7,33.6,33.95,3720.0
2011-09-26,32.7,34.25,32.7,33.3,2048.0
2011-09-27,32.55,33.3,32.35,33.05,3230.0
2011-09-28,32.8,34.46,32.8,34.3,2595.0
2011-09-29,33.98,35.0,33.55,33.8,2709.0
2011-09-30,34.55,35.55,34.35,35.5,2291.0
2011-10-03,35.8,37.05,35.45,37.05,2469.0
2011-10-04,37.55,38.2,35.3,35.85,4328.0
2011-10-05,35.5,35.97,34.75,35.1,1834.0
2011-10-06,34.9,35.53,34.55,34.75,1841.0
2011-10-07,34.88,35.6,33.98,34.9,2395.0
2011-10-10,34.2,34.3,33.0,33.05,4004.0
2011-10-11,33.25,33.65,32.85,33.0,3113.0
2011-10-12,32.6,33.1,31.3,31.65,4293.0
2011-10-13,31.65,32.28,31.4,31.5,3004.0
2011-10-14,30.95,31.15,30.2,30.35,2393.0
2011-10-17,30.3,32.25,30.25,32.2,4968.0
2011-10-18,32.4,32.55,30.45,31.2,3054.0
2011-10-19,31.18,33.0,30.73,32.6,4401.0
2011-10-20,32.45,33.45,32.05,32.6,3949.0
2011-10-21,31.9,32.05,31.15,31.2,2889.0
2011-10-24,31.15,31.4,30.08,30.25,3978.0
2011-10-25,30.05,31.6,30.04,31.4,3277.0
2011-10-26,30.9,32.0,30.25,30.4,2745.0
2011-10-27,28.74,28.95,27.4,27.5,6029.0
2011-10-28,27.9,27.95,27.2,27.35,3481.0
2011-10-31,28.0,29.8,27.89,29.8,4710.0
2011-11-01,30.9,32.85,30.9,32.15,8358.0
2011-11-02,31.55,32.4,31.4,31.55,3295.0
2011-11-03,31.35,32.4,30.39,30.6,4040.0
2011-11-04,30.9,31.8,30.25,30.95,2841.0
2011-11-07,31.3,31.9,30.8,30.95,2465.0
2011-11-08,30.65,31.27,29.85,30.0,4325.0
2011-11-09,31.62,34.4,31.48,34.35,6237.0
2011-11-10,32.9,34.0,32.45,32.9,3825.0
2011-11-11,31.95,32.05,31.3,31.75,2013.0
2011-11-14,32.21,32.83,31.95,32.1,5448.0
