DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2016-05-20,279.5,279.5,279.5,279.5,0.0
2016-05-23,277.5,277.5,277.5,277.5,0.0
2016-05-24,282.5,282.5,282.5,282.5,0.0
2016-05-25,282.0,282.0,282.0,282.0,0.0
2016-05-26,283.0,283.0,283.0,283.0,0.0
2016-05-27,284.5,284.5,284.5,284.5,0.0
2016-05-30,284.5,284.5,284.5,284.5,0.0
2016-05-31,283.0,283.0,283.0,283.0,0.0
2016-06-01,275.5,275.5,275.5,275.5,0.0
2016-06-02,281.0,281.0,281.0,281.0,0.0
2016-06-03,283.5,283.5,283.5,283.5,0.0
2016-06-06,284.0,284.0,284.0,284.0,0.0
2016-06-07,286.5,286.5,286.5,286.5,0.0
2016-06-08,284.5,284.5,284.5,284.5,0.0
2016-06-09,289.0,289.0,289.0,289.0,0.0
2016-06-10,287.5,287.5,287.5,287.5,0.0
2016-06-13,287.5,287.5,287.5,287.5,0.0
2016-06-14,282.5,282.5,282.5,282.5,0.0
2016-06-15,282.0,282.0,282.0,282.0,0.0
2016-06-16,282.3,282.3,282.3,282.3,0.0
2016-06-17,280.8,280.8,280.8,280.8,0.0
2016-06-20,280.3,280.3,280.3,280.3,0.0
2016-06-21,278.3,278.3,278.3,278.3,0.0
2016-06-22,272.3,272.3,272.3,272.3,0.0
2016-06-23,269.8,269.8,269.8,269.8,0.0
2016-06-24,268.6,268.6,268.6,268.6,0.0
2016-06-27,268.6,268.6,268.6,268.6,0.0
2016-06-28,264.8,264.8,264.8,264.8,0.0
2016-06-29,264.3,264.3,264.3,264.3,0.0
2016-06-30,261.3,261.3,261.3,261.3,0.0
2016-07-01,262.3,262.3,262.3,262.3,0.0
2016-07-04,258.6,258.6,258.6,258.6,0.0
2016-07-05,259.3,259.3,259.3,259.3,0.0
2016-07-06,260.3,260.3,260.3,260.3,0.0
2016-07-07,253.3,253.3,253.3,253.3,0.0
2016-07-08,251.3,251.3,251.3,251.3,0.0
2016-07-11,251.8,251.8,251.8,251.8,0.0
2016-07-12,250.8,250.8,250.8,250.8,0.0
2016-07-13,252.8,252.8,252.8,252.8,0.0
2016-07-14,249.1,249.1,249.1,249.1,0.0
2016-07-15,250.8,250.8,250.8,250.8,0.0
2016-07-18,248.3,248.3,248.3,248.3,0.0
2016-07-19,249.3,249.3,249.3,249.3,0.0
