DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2008-01-10,782.0,810.0,782.0,810.0,0.0
2008-01-11,840.0,840.0,840.0,840.0,28.0
2008-01-14,863.0,863.0,863.0,863.0,0.0
2008-01-15,861.0,872.0,861.0,872.0,1.0
2008-01-16,874.0,874.0,874.0,874.0,0.0
2008-01-17,885.0,885.0,885.0,885.0,0.0
2008-01-18,899.0,899.0,899.0,899.0,0.0
2008-01-22,888.0,888.0,888.0,888.0,0.0
2008-01-23,866.0,866.0,866.0,866.0,0.0
2008-01-24,876.0,876.0,876.0,876.0,5.0
2008-01-25,900.0,900.0,900.0,900.0,0.0
2008-01-28,929.5,929.5,929.5,929.5,0.0
2008-01-29,907.0,907.0,907.0,907.0,0.0
2008-01-30,907.0,907.0,884.0,884.0,5.0
2008-01-31,890.0,890.0,890.0,890.0,0.0
2008-02-01,890.0,890.0,890.0,890.0,0.0
2008-02-04,920.0,920.0,920.0,920.0,0.0
2008-02-05,950.0,950.0,950.0,950.0,0.0
2008-02-06,970.0,980.0,970.0,970.0,0.0
2008-02-07,972.0,972.0,968.0,968.0,1.0
2008-02-08,990.0,990.0,990.0,990.0,0.0
2008-02-11,1004.75,1015.0,985.0,985.0,5.0
2008-02-12,930.0,930.0,930.0,930.0,20.0
2008-02-13,910.0,910.0,910.0,910.0,0.0
2008-02-14,950.0,950.0,950.0,950.0,0.0
2008-02-15,945.0,945.0,945.0,945.0,0.0
2008-02-19,960.0,960.0,960.0,960.0,0.0
2008-02-20,960.0,960.0,960.0,960.0,0.0
2008-02-21,965.0,980.0,965.0,980.0,14.0
2008-02-22,995.0,995.0,995.0,995.0,0.0
2008-02-25,1055.0,1055.0,1055.0,1055.0,0.0
2008-02-26,1143.0,1143.0,1143.0,1143.0,0.0
2008-02-27,1135.0,1135.0,1135.0,1135.0,190.0
2008-02-28,1115.0,1115.0,1036.25,1075.0,10.0
2008-02-29,1055.0,1055.0,989.0,1015.0,2.0
2008-03-03,1056.25,1056.25,1024.0,1024.0,3.0
2008-03-04,1024.0,1024.0,1024.0,1024.0,0.0
2008-03-05,1024.0,1024.0,1024.0,1024.0,0.0
