DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1993-12-01,94.0,94.0,94.0,94.0,0.0
1993-12-02,94.0,94.0,94.0,94.0,5.0
1993-12-03,94.0,94.0,93.75,93.75,2.0
1993-12-06,94.1,94.1,94.1,94.1,0.0
1993-12-07,94.25,94.25,94.25,94.25,0.0
1993-12-08,94.25,94.25,94.25,94.25,0.0
1993-12-09,94.0,94.05,94.0,94.05,25.0
1993-12-10,93.9,93.9,93.9,93.9,0.0
1993-12-13,93.75,93.75,93.75,93.75,10.0
1993-12-14,93.5,93.55,93.5,93.55,20.0
1993-12-15,93.25,93.5,93.25,93.5,3.0
1993-12-16,92.0,92.0,92.0,92.0,0.0
1993-12-17,92.0,92.25,92.0,92.25,28.0
1993-12-20,92.25,92.25,92.25,92.25,0.0
1993-12-21,92.5,92.7,92.5,92.7,6.0
1993-12-22,92.5,92.65,92.5,92.65,3.0
1993-12-23,92.8,92.8,92.8,92.8,0.0
1993-12-24,92.75,92.75,92.5,92.75,5.0
1993-12-29,92.5,92.65,92.5,92.65,3.0
1993-12-30,92.65,92.65,92.65,92.65,0.0
1993-12-31,92.6,92.6,92.6,92.6,0.0
1994-01-04,92.6,92.6,92.6,92.6,0.0
1994-01-05,93.65,93.65,93.65,93.65,0.0
1994-01-06,93.5,93.5,93.3,93.5,27.0
1994-01-07,93.65,94.4,93.65,94.4,56.0
1994-01-10,94.3,94.4,94.3,94.4,47.0
1994-01-11,94.75,94.85,94.75,94.85,20.0
1994-01-12,94.6,94.6,94.6,94.6,0.0
1994-01-13,94.5,94.5,94.4,94.4,10.0
1994-01-14,94.4,94.4,94.4,94.4,0.0
1994-01-17,94.15,94.15,94.15,94.15,0.0
1994-01-18,93.65,93.65,93.65,93.65,0.0
1994-01-19,93.5,93.6,93.5,93.6,30.0
1994-01-20,93.95,93.95,93.95,93.95,0.0
1994-01-21,93.6,93.6,93.6,93.6,0.0
1994-01-24,93.25,93.25,93.25,93.25,0.0
1994-01-25,93.25,93.25,93.25,93.25,0.0
1994-01-26,93.5,93.5,93.5,93.5,20.0
1994-01-27,93.5,93.5,93.5,93.5,0.0
1994-01-28,93.35,93.35,93.35,93.35,0.0
1994-01-31,93.05,93.05,93.05,93.05,0.0
1994-02-01,93.05,93.05,93.05,93.05,0.0
1994-02-02,92.85,92.85,92.85,92.85,0.0
1994-02-03,92.4,92.4,92.4,92.4,0.0
1994-02-04,92.4,92.55,92.4,92.55,10.0
1994-02-07,92.65,92.65,92.65,92.65,0.0
1994-02-08,92.55,92.55,92.55,92.55,0.0
1994-02-09,92.3,92.3,92.2,92.2,13.0
1994-02-10,92.4,92.4,92.4,92.4,0.0
1994-02-11,92.1,92.1,92.1,92.1,0.0
1994-02-14,92.75,92.8,92.75,92.8,1.0
1994-02-15,92.8,92.9,92.75,92.9,113.0
1994-02-16,93.0,93.2,93.0,93.2,45.0
1994-02-17,93.5,93.5,93.1,93.1,29.0
1994-02-18,93.1,93.1,93.1,93.1,20.0
1994-02-21,93.4,93.4,93.2,93.25,55.0
1994-02-22,93.25,93.35,93.25,93.3,15.0
1994-02-23,93.5,93.5,93.5,93.5,25.0
1994-02-24,94.0,94.55,94.0,94.55,25.0
1994-02-25,94.15,94.15,94.15,94.15,8.0
