DATE_TIME,current_contract,next_contract,carry_contract
2021-12-13 23:00:00,20211200,20220300,20220300
2022-03-14 23:00:00,20220300,20220600,20220600
2022-06-13 23:00:00,20220600,20220900,20220900
2022-09-13 23:00:00,20220900,20221200,20221200
2022-10-10 23:00:00,20221200,20230300,20230300
2024-03-13 05:00:00,20240300,20240600,20240600
2024-06-13 05:00:00,20240600,20240900,20240900
2024-09-13 05:00:00,20240900,20241200,20241200
2024-12-13 06:00:00,20241200,20250300,20250300
2025-03-13 05:00:00,20250300,20250600,20250600
2025-04-04 05:00:00,20250600,20250900,20250900
