DATE_TIME,current_contract,next_contract,carry_contract
2018-01-22,20180100,20180200,20180200
2018-02-22,20180200,20180300,20180300
2018-03-22,20180300,20180400,20180400
2018-04-23,20180400,20180500,20180500
2018-05-22,20180500,20180600,20180600
2018-06-22,20180600,20180700,20180700
2018-07-23,20180700,20180800,20180800
2018-08-22,20180800,20180900,20180900
2018-09-21,20180900,20181000,20181000
2018-10-22,20181000,20181100,20181100
2018-11-21,20181100,20181200,20181200
2018-12-21,20181200,20190100,20190100
2019-01-22,20190100,20190200,20190200
2019-02-22,20190200,20190300,20190300
2019-03-22,20190300,20190400,20190400
2019-04-22,20190400,20190500,20190500
2019-05-22,20190500,20190600,20190600
2019-06-21,20190600,20190700,20190700
2019-07-22,20190700,20190800,20190800
2019-08-22,20190800,20190900,20190900
2019-09-23,20190900,20191000,20191000
2019-10-22,20191000,20191100,20191100
2019-11-22,20191100,20191200,20191200
2019-12-23,20191200,20200100,20200100
2020-01-22,20200100,20200200,20200200
2020-02-21,20200200,20200300,20200300
2020-03-23,20200300,20200400,20200400
2020-04-22,20200400,20200500,20200500
2020-05-22,20200500,20200600,20200600
2020-06-22,20200600,20200700,20200700
2020-07-22,20200700,20200800,20200800
2020-08-21,20200800,20200900,20200900
2020-09-22,20200900,20201000,20201000
2020-10-22,20201000,20201100,20201100
2020-11-23,20201100,20201200,20201200
2020-12-22,20201200,20210100,20210100
2021-01-22,20210100,20210200,20210200
2021-02-22,20210200,20210300,20210300
2021-03-22,20210300,20210400,20210400
2021-04-22,20210400,20210500,20210500
2021-05-21,20210500,20210600,20210600
2021-06-22,20210600,20210700,20210700
2021-07-22,20210700,20210800,20210800
2021-08-23,20210800,20210900,20210900
2021-09-22,20210900,20211000,20211000
2021-10-22,20211000,20211100,20211100
2021-11-22,20211100,20211200,20211200
2021-12-22,20211200,20220100,20220100
2022-01-21,20220100,20220200,20220200
2022-02-22,20220200,20220300,20220300
2022-03-22,20220300,20220400,20220400
2022-04-22,20220400,20220500,20220500
2022-05-23,20220500,20220600,20220600
2022-06-22,20220600,20220700,20220700
2022-07-22,20220700,20220800,20220800
2022-08-22,20220800,20220900,20220900
2022-09-22,20220900,20221000,20221000
2022-10-21,20221000,20221100,20221100
2022-11-22,20221100,20221200,20221200
2022-12-22,20221200,20230100,20230100
2023-01-23,20230100,20230200,20230200
2023-02-22,20230200,20230300,20230300
2023-03-22,20230300,20230400,20230400
2023-04-21,20230400,20230500,20230500
2023-05-22,20230500,20230600,20230600
2023-06-22,20230600,20230700,20230700
2023-07-21,20230700,20230800,20230800
2023-08-22,20230800,20230900,20230900
2023-09-22,20230900,20231000,20231000
2023-10-23,20231000,20231100,20231100
2023-11-22,20231100,20231200,20231200
2023-12-22,20231200,20240100,20240100
2024-01-22,20240100,20240200,20240200
2024-02-22,20240200,20240300,20240300
2024-03-22,20240300,20240400,20240400
2024-04-22,20240400,20240500,20240500
2024-05-22,20240500,20240600,20240600
2024-06-21,20240600,20240700,20240700
2024-07-22,20240700,20240800,20240800
2024-08-22,20240800,20240900,20240900
2024-09-23,20240900,20241000,20241000
2024-10-22,20241000,20241100,20241100
2024-11-22,20241100,20241200,20241200
2024-12-23,20241200,20250100,20250100
2025-01-22,20250100,20250200,20250200
2025-02-21,20250200,20250300,20250300
2025-03-21,20250300,20250400,20250400
2025-04-22,20250400,20250500,20250500
2025-05-22,20250500,20250600,20250600
2025-06-23,20250600,20250700,20250700
2025-07-22,20250700,20250800,20250800
2025-08-22,20250800,20250900,20250900
2025-09-22,20250900,20251000,20251000
2025-10-22,20251000,20251100,20251100
2025-11-21,20251100,20251200,20251200
2025-12-22,20251200,20260100,20260100
2026-01-22,20260100,20260200,20260200
2026-02-23,20260200,20260300,20260300
2026-03-23,20260300,20260400,20260400
2026-04-22,20260400,20260500,20260500
2026-05-22,20260500,20260600,20260600
2026-06-22,20260600,20260700,20260700
2026-07-22,20260700,20260800,20260800
2026-08-21,20260800,20260900,20260900
2026-09-18,20260900,20261000,20261000
