DATE_TIME,current_contract,next_contract,carry_contract
1981-01-13,19810300,19811100,19810100
1981-09-15,19811100,19820100,19810300
1981-11-16,19820100,19820300,19811100
1982-03-04,19820300,19821100,19820100
1982-09-15,19821100,19830100,19820300
1982-11-15,19830100,19830300,19821100
1983-01-13,19830300,19831100,19830100
1983-03-22,19831100,19840100,19830300
1983-11-15,19840100,19840300,19831100
1984-01-13,19840300,19841100,19840100
1984-03-21,19841100,19850100,19840300
1984-11-15,19850100,19850300,19841100
1985-01-14,19850300,19851100,19850100
1985-03-20,19851100,19860100,19850300
1985-11-15,19860100,19860300,19851100
1986-01-13,19860300,19861100,19860100
1986-03-19,19861100,19870100,19860300
1986-11-14,19870100,19870300,19861100
1987-01-13,19870300,19871100,19870100
1987-03-20,19871100,19880100,19870300
1987-11-16,19880100,19880300,19871100
1988-01-14,19880300,19881100,19880100
1988-03-22,19881100,19890100,19880300
1988-11-15,19890100,19890300,19881100
1989-01-13,19890300,19891100,19890100
1989-03-21,19891100,19900100,19890300
1989-11-15,19900100,19900300,19891100
1990-01-12,19900300,19901100,19900100
1990-03-21,19901100,19910100,19900300
1990-11-15,19910100,19910300,19901100
1991-01-14,19910300,19911100,19910100
1991-03-19,19911100,19920100,19910300
1991-11-15,19920100,19920300,19911100
1992-01-14,19920300,19921100,19920100
1992-03-20,19921100,19930100,19920300
1992-11-16,19930100,19930300,19921100
1993-01-13,19930300,19931100,19930100
1993-03-22,19931100,19940100,19930300
1993-11-15,19940100,19940300,19931100
1994-01-13,19940300,19941100,19940100
1994-03-22,19941100,19950100,19940300
1994-11-15,19950100,19950300,19941100
1995-01-13,19950300,19951100,19950100
1995-03-22,19951100,19960100,19950300
1995-11-15,19960100,19960300,19951100
1996-01-15,19960300,19961100,19960100
1996-03-20,19961100,19970100,19960300
1996-11-15,19970100,19970300,19961100
1997-01-13,19970300,19970500,19970100
1997-03-14,19970500,19970700,19970300
1997-05-15,19970700,19971100,19970500
1997-07-22,19971100,19980100,19970700
1997-11-14,19980100,19980300,19971100
1998-01-13,19980300,19980500,19980100
1998-03-16,19980500,19980700,19980300
1998-05-15,19980700,19981100,19980500
1998-07-22,19981100,19990100,19980700
1998-11-16,19990100,19990300,19981100
1999-01-13,19990300,19990500,19990100
1999-03-15,19990500,19990700,19990300
1999-05-14,19990700,19991100,19990500
1999-07-21,19991100,20000100,19990700
1999-11-15,20000100,20000300,19991100
2000-01-14,20000300,20000500,20000100
2000-03-15,20000500,20000700,20000300
2000-05-15,20000700,20001100,20000500
2000-07-20,20001100,20010100,20000700
2000-11-15,20010100,20010300,20001100
2001-01-12,20010300,20010500,20010100
2001-03-15,20010500,20010700,20010300
2001-05-15,20010700,20011100,20010500
2001-07-20,20011100,20020100,20010700
2001-11-15,20020100,20020300,20011100
2002-01-14,20020300,20020500,20020100
2002-03-15,20020500,20020700,20020300
2002-05-15,20020700,20021100,20020500
2002-07-22,20021100,20030100,20020700
2002-11-14,20030100,20030300,20021100
2003-01-13,20030300,20030500,20030100
2003-03-14,20030500,20030700,20030300
2003-05-14,20030700,20031100,20030500
2003-07-14,20031100,20040100,20030700
2003-11-14,20040100,20040300,20031100
2004-01-14,20040300,20040500,20040100
2004-03-12,20040500,20040700,20040300
2004-05-14,20040700,20041100,20040500
2004-07-14,20041100,20050100,20040700
2004-11-12,20050100,20050300,20041100
2005-01-13,20050300,20050500,20050100
2005-03-14,20050500,20050700,20050300
2005-05-13,20050700,20051100,20050500
