DATE_TIME,current_contract,next_contract,carry_contract
1983-03-25,19830500,19830700,19830300
1983-05-25,19830700,19830900,19830500
1983-07-26,19830900,19831200,19830700
1983-09-30,19831200,19840300,19830900
1983-12-30,19840300,19840500,19831200
1984-03-26,19840500,19840700,19840300
1984-05-25,19840700,19840900,19840500
1984-07-26,19840900,19841200,19840700
1984-09-28,19841200,19850300,19840900
1984-12-31,19850300,19850500,19841200
1985-03-25,19850500,19850700,19850300
1985-05-24,19850700,19850900,19850500
1985-07-26,19850900,19851200,19850700
1985-09-30,19851200,19860300,19850900
1985-12-31,19860300,19860500,19851200
1986-03-25,19860500,19860700,19860300
1986-05-23,19860700,19860900,19860500
1986-07-25,19860900,19861200,19860700
1986-09-30,19861200,19870300,19860900
1986-12-31,19870300,19870500,19861200
1987-03-25,19870500,19870700,19870300
1987-05-26,19870700,19870900,19870500
1987-07-27,19870900,19871200,19870700
1987-09-30,19871200,19880300,19870900
1987-12-31,19880300,19880500,19871200
1988-03-25,19880500,19880700,19880300
1988-05-25,19880700,19880900,19880500
1988-07-26,19880900,19881200,19880700
1988-09-30,19881200,19890300,19880900
1988-12-30,19890300,19890500,19881200
1989-03-23,19890500,19890700,19890300
1989-05-25,19890700,19890900,19890500
1989-07-26,19890900,19891200,19890700
1989-09-29,19891200,19900300,19890900
1989-12-29,19900300,19900500,19891200
1990-03-26,19900500,19900700,19900300
1990-05-25,19900700,19900900,19900500
1990-07-26,19900900,19901200,19900700
1990-09-28,19901200,19910300,19900900
1990-12-31,19910300,19910500,19901200
1991-03-25,19910500,19910700,19910300
1991-05-24,19910700,19910900,19910500
1991-07-26,19910900,19911200,19910700
1991-09-30,19911200,19920300,19910900
1991-12-31,19920300,19920500,19911200
1992-03-25,19920500,19920700,19920300
1992-05-26,19920700,19920900,19920500
1992-07-27,19920900,19921200,19920700
1992-09-30,19921200,19930300,19920900
1992-12-31,19930300,19930500,19921200
1993-03-25,19930500,19930700,19930300
1993-05-25,19930700,19930900,19930500
1993-07-26,19930900,19931200,19930700
1993-09-30,19931200,19940300,19930900
1993-12-31,19940300,19940500,19931200
1994-03-25,19940500,19940700,19940300
1994-05-25,19940700,19940900,19940500
1994-07-26,19940900,19941200,19940700
1994-09-30,19941200,19950300,19940900
1994-12-30,19950300,19950500,19941200
1995-03-24,19950500,19950700,19950300
1995-05-25,19950700,19950900,19950500
1995-07-26,19950900,19951200,19950700
1995-09-29,19951200,19960300,19950900
1995-12-29,19960300,19960500,19951200
1996-03-25,19960500,19960700,19960300
1996-05-24,19960700,19960900,19960500
1996-07-26,19960900,19961200,19960700
1996-09-30,19961200,19970300,19960900
1996-12-31,19970300,19970500,19961200
1997-03-25,19970500,19970700,19970300
1997-05-23,19970700,19970900,19970500
1997-07-25,19970900,19971200,19970700
1997-09-30,19971200,19980300,19970900
1997-12-31,19980300,19980500,19971200
1998-03-25,19980500,19980700,19980300
1998-05-26,19980700,19980900,19980500
1998-07-27,19980900,19981200,19980700
1998-09-30,19981200,19990300,19980900
1998-12-30,19990300,19990500,19981200
1999-03-25,19990500,19990700,19990300
1999-05-25,19990700,19990900,19990500
1999-07-26,19990900,19991200,19990700
1999-09-30,19991200,20000300,19990900
1999-12-30,20000300,20000500,19991200
2000-03-24,20000500,20000700,20000300
2000-05-15,20000700,20000900,20000500
2000-07-14,20000900,20001200,20000700
2000-09-14,20001200,20010300,20000900
2000-12-12,20010300,20010500,20001200
2001-03-15,20010500,20010700,20010300
2001-05-15,20010700,20010900,20010500
2001-07-16,20010900,20011200,20010700
2001-09-13,20011200,20020300,20010900
2001-12-12,20020300,20020500,20011200
2002-03-13,20020500,20020700,20020300
2002-05-15,20020700,20020900,20020500
2002-07-16,20020900,20021200,20020700
2002-09-13,20021200,20030300,20020900
2002-12-12,20030300,20030500,20021200
2003-03-14,20030500,20030700,20030300
2003-05-14,20030700,20030900,20030500
2003-07-16,20030900,20031200,20030700
2003-09-15,20031200,20040300,20030900
2003-12-12,20040300,20040500,20031200
2004-03-16,20040500,20040700,20040300
2004-05-13,20040700,20040900,20040500
2004-07-15,20040900,20041200,20040700
2004-09-15,20041200,20050300,20040900
2004-12-14,20050300,20050500,20041200
2005-03-14,20050500,20050700,20050300
2005-05-13,20050700,20050900,20050500
2005-07-14,20050900,20051200,20050700
2005-09-15,20051200,20060300,20050900
2005-12-13,20060300,20060500,20051200
2006-03-16,20060500,20060700,20060300
2006-05-15,20060700,20060900,20060500
2006-07-14,20060900,20061200,20060700
2006-09-14,20061200,20070300,20060900
2006-12-12,20070300,20070500,20061200
2007-03-15,20070500,20070700,20070300
2007-05-15,20070700,20070900,20070500
2007-07-16,20070900,20071200,20070700
2007-09-13,20071200,20080300,20070900
2007-12-12,20080300,20080500,20071200
2008-03-12,20080500,20080700,20080300
2008-05-14,20080700,20080900,20080500
2008-07-16,20080900,20081200,20080700
2008-09-15,20081200,20090300,20080900
2008-12-12,20090300,20090500,20081200
2009-03-16,20090500,20090700,20090300
2009-05-13,20090700,20090900,20090500
2009-07-16,20090900,20091200,20090700
2009-09-15,20091200,20100300,20090900
2009-12-14,20100300,20100500,20091200
2010-03-16,20100500,20100700,20100300
2010-05-13,20100700,20100900,20100500
2010-07-15,20100900,20101200,20100700
2010-09-15,20101200,20110300,20100900
2010-12-14,20110300,20110500,20101200
2011-03-16,20110500,20110700,20110300
2011-05-13,20110700,20110900,20110500
2011-07-14,20110900,20111200,20110700
2011-09-15,20111200,20120300,20110900
2011-12-13,20120300,20120500,20111200
2012-03-15,20120500,20120700,20120300
2012-05-16,20120700,20120900,20120500
2012-07-16,20120900,20121200,20120700
2012-09-13,20121200,20130300,20120900
2012-12-12,20130300,20130500,20121200
2013-03-13,20130500,20130700,20130300
2013-05-15,20130700,20130900,20130500
2013-07-16,20130900,20131200,20130700
2013-09-13,20131200,20140300,20130900
2013-12-12,20140300,20140500,20131200
2014-03-14,20140500,20140700,20140300
2014-05-14,20140700,20140900,20140500
2014-07-16,20140900,20141200,20140700
2014-09-15,20141200,20150300,20140900
2014-12-12,20150300,20150500,20141200
2015-03-16,20150500,20150700,20150300
2015-05-13,20150700,20150900,20150500
2015-07-16,20150900,20151200,20150700
2015-09-15,20151200,20160300,20150900
2015-12-14,20160300,20160500,20151200
2016-03-14,20160500,20160700,20160300
2016-05-13,20160700,20160900,20160500
2016-07-14,20160900,20161200,20160700
2016-09-15,20161200,20170300,20160900
2016-12-13,20170300,20170500,20161200
2017-03-16,20170500,20170700,20170300
2017-05-15,20170700,20170900,20170500
2017-07-14,20170900,20171200,20170700
2017-09-14,20171200,20180300,20170900
2017-12-12,20180300,20180500,20171200
2018-03-14,20180500,20180700,20180300
2018-05-15,20180700,20180900,20180500
2018-07-16,20180900,20181200,20180700
2018-09-13,20181200,20190300,20180900
2018-12-12,20190300,20190500,20181200
2019-03-14,20190500,20190700,20190300
2019-05-15,20190700,20190900,20190500
2019-07-16,20190900,20191200,20190700
2019-09-13,20191200,20200300,20190900
2019-12-12,20200300,20200500,20191200
2020-03-16,20200500,20200700,20200300
2020-05-13,20200700,20200900,20200500
2020-07-16,20200900,20201200,20200700
2020-09-15,20201200,20210300,20200900
2020-12-14,20210300,20210500,20201200
2021-03-16,20210500,20210700,20210300
2021-05-13,20210700,20210900,20210500
2021-07-15,20210900,20211200,20210700
2021-09-15,20211200,20220300,20210900
2021-12-14,20220300,20220500,20211200
2022-03-16,20220500,20220700,20220300
2022-05-16,20220700,20220900,20220500
2022-07-14,20220900,20221200,20220700
2022-09-15,20221200,20230300,20220900
2022-12-13,20230300,20230500,20221200
2023-03-16,20230500,20230700,20230300
2023-05-15,20230700,20230900,20230500
2023-07-14,20230900,20231200,20230700
2023-09-14,20231200,20240300,20230900
2023-12-12,20240300,20240500,20231200
2024-03-13,20240500,20240700,20240300
2024-05-15,20240700,20240900,20240500
2024-07-16,20240900,20241200,20240700
2024-09-13,20241200,20250300,20240900
2024-12-12,20250300,20250500,20241200
2025-03-14,20250500,20250700,20250300
2025-05-14,20250700,20250900,20250500
2025-07-16,20250900,20251200,20250700
2025-09-15,20251200,20260300,20250900
2025-12-11,20260300,20260500,20251200
2026-03-16,20260500,20260700,20260300
2026-05-13,20260700,20260900,20260500
2026-07-16,20260900,20261200,20260700
2026-09-15,20261200,20270300,20260900
