DATE_TIME,current_contract,next_contract,carry_contract
2020-06-11,20200900,20201200,20200600
2020-06-23,20201200,20210300,20200900
2020-09-21,20210300,20210600,20201200
2020-12-22,20210600,20210900,20210300
2021-03-24,20210900,20211200,20210600
2021-06-23,20211200,20220300,20210900
2021-09-21,20220300,20220600,20211200
2021-12-22,20220600,20220900,20220300
2022-03-24,20220900,20221200,20220600
2022-06-23,20221200,20230300,20220900
2022-09-21,20230300,20230600,20221200
2022-12-22,20230600,20230900,20230300
2023-03-24,20230900,20231200,20230600
2023-06-23,20231200,20240300,20230900
2023-09-22,20240300,20240600,20231200
2023-12-22,20240600,20240900,20240300
2024-03-25,20240900,20241200,20240600
2024-06-24,20241200,20250300,20240900
2024-09-20,20250300,20250600,20241200
2024-12-23,20250600,20250900,20250300
2025-03-24,20250900,20251200,20250600
2025-06-23,20251200,20260300,20250900
2025-09-22,20260300,20260600,20251200
2025-12-22,20260600,20260900,20260300
2026-03-24,20260900,20261200,20260600
2026-06-23,20261200,20270300,20260900
2026-09-18,20270300,20270600,20261200
