DATE_TIME,current_contract,next_contract,carry_contract
1980-03-07,19800500,19800700,19800300
1980-05-07,19800700,19801200,19800500
1980-10-08,19801200,19810300,19801000
1980-12-08,19810300,19810500,19801200
1981-03-09,19810500,19810700,19810300
1981-05-06,19810700,19811200,19810500
1981-10-08,19811200,19820300,19811000
1981-12-08,19820300,19820500,19811200
1982-03-08,19820500,19820700,19820300
1982-05-06,19820700,19821200,19820500
1982-10-07,19821200,19830300,19821000
1982-12-07,19830300,19830500,19821200
1983-03-08,19830500,19830700,19830300
1983-05-06,19830700,19831200,19830500
1983-10-07,19831200,19840300,19831000
1983-12-07,19840300,19840500,19831200
1984-03-08,19840500,19840700,19840300
1984-05-08,19840700,19841200,19840500
1984-10-08,19841200,19850300,19841000
1984-12-06,19850300,19850500,19841200
1985-03-07,19850500,19850700,19850300
1985-05-08,19850700,19851200,19850500
1985-10-08,19851200,19860300,19851000
1985-12-06,19860300,19860500,19851200
1986-03-06,19860500,19860700,19860300
1986-05-07,19860700,19861200,19860500
1986-10-08,19861200,19870300,19861000
1986-12-08,19870300,19870500,19861200
1987-03-09,19870500,19870700,19870300
1987-05-06,19870700,19871200,19870500
1987-10-08,19871200,19880300,19871000
1987-12-08,19880300,19880500,19871200
1988-03-08,19880500,19880700,19880300
1988-05-06,19880700,19881200,19880500
1988-10-07,19881200,19890300,19881000
1988-12-07,19890300,19890500,19881200
1989-03-08,19890500,19890700,19890300
1989-05-08,19890700,19891200,19890500
1989-10-09,19891200,19900300,19891000
1989-12-06,19900300,19900500,19891200
1990-03-08,19900500,19900700,19900300
1990-05-08,19900700,19901200,19900500
1990-10-08,19901200,19910300,19901000
1990-12-06,19910300,19910500,19901200
1991-03-06,19910500,19910700,19910300
1991-05-08,19910700,19911200,19910500
1991-10-08,19911200,19920300,19911000
1991-12-06,19920300,19920500,19911200
1992-03-09,19920500,19920700,19920300
1992-05-06,19920700,19921200,19920500
1992-10-08,19921200,19930300,19921000
1992-12-08,19930300,19930500,19921200
1993-03-08,19930500,19930700,19930300
1993-05-06,19930700,19931200,19930500
1993-10-07,19931200,19940300,19931000
1993-12-07,19940300,19940500,19931200
1994-03-08,19940500,19940700,19940300
1994-05-06,19940700,19941200,19940500
1994-10-07,19941200,19950300,19941000
1994-12-07,19950300,19950500,19941200
1995-03-08,19950500,19950700,19950300
1995-05-08,19950700,19951200,19950500
1995-10-09,19951200,19960300,19951000
1995-12-06,19960300,19960500,19951200
1996-03-07,19960500,19960700,19960300
1996-05-08,19960700,19961200,19960500
1996-10-08,19961200,19970300,19961000
1996-12-06,19970300,19970500,19961200
1997-03-06,19970500,19970700,19970300
1997-05-07,19970700,19971200,19970500
1997-10-08,19971200,19980300,19971000
1997-12-08,19980300,19980500,19971200
1998-03-09,19980500,19980700,19980300
1998-05-06,19980700,19981200,19980500
1998-10-08,19981200,19990300,19981000
