DATE_TIME,current_contract,next_contract,carry_contract
2020-12-14 23:00:00,20201200,20210300,20210300
2021-03-11 23:00:00,20210300,20210600,20210600
2021-06-11 23:00:00,20210600,20210900,20210900
2021-09-15 23:00:00,20210900,20211200,20211200
2024-03-08 06:00:00,20240300,20240600,20240600
2024-06-10 05:00:00,20240600,20240900,20240900
2024-09-09 05:00:00,20240900,20241200,20241200
2024-12-09 06:00:00,20241200,20250300,20250300
2025-03-10 05:00:00,20250300,20250600,20250600
2025-04-04 05:00:00,20250600,20250900,20250900
