DATE_TIME,current_contract,next_contract,carry_contract
1999-01-04,19990600,19990900,19990300
1999-01-04,19990900,19991200,19990600
1999-01-04,19991200,20000300,19990900
1999-01-04,20000300,20000600,19991200
1999-01-04,20000600,20000900,20000300
1999-01-04,20000900,20001200,20000600
1999-01-15,20001200,20010300,20000900
1999-04-16,20010300,20010600,20001200
1999-07-16,20010600,20010900,20010300
1999-10-18,20010900,20011200,20010600
2000-01-17,20011200,20020300,20010900
2000-04-14,20020300,20020600,20011200
2000-07-17,20020600,20020900,20020300
2000-10-16,20020900,20021200,20020600
2001-01-15,20021200,20030300,20020900
2001-04-17,20030300,20030600,20021200
2001-07-16,20030600,20030900,20030300
2001-10-16,20030900,20031200,20030600
2002-01-15,20031200,20040300,20030900
2002-04-16,20040300,20040600,20031200
2002-07-17,20040600,20040900,20040300
2002-10-17,20040900,20041200,20040600
2003-01-16,20041200,20050300,20040900
2003-04-16,20050300,20050600,20041200
2003-07-17,20050600,20050900,20050300
2003-10-17,20050900,20051200,20050600
2004-01-16,20051200,20060300,20050900
2004-04-15,20060300,20060600,20051200
2004-07-16,20060600,20060900,20060300
2004-10-15,20060900,20061200,20060600
2005-01-14,20061200,20070300,20060900
2005-04-15,20070300,20070600,20061200
2005-07-15,20070600,20070900,20070300
2005-10-17,20070900,20071200,20070600
2006-01-16,20071200,20080300,20070900
2006-04-18,20080300,20080600,20071200
2006-07-17,20080600,20080900,20080300
2006-10-17,20080900,20081200,20080600
2007-01-16,20081200,20090300,20080900
2007-04-16,20090300,20090600,20081200
2007-07-17,20090600,20090900,20090300
2007-10-17,20090900,20091200,20090600
2008-01-16,20091200,20100300,20090900
2008-04-15,20100300,20100600,20091200
2008-07-16,20100600,20100900,20100300
2008-10-16,20100900,20101200,20100600
2009-01-15,20101200,20110300,20100900
2009-04-15,20110300,20110600,20101200
2009-07-16,20110600,20110900,20110300
2009-10-16,20110900,20111200,20110600
2010-01-15,20111200,20120300,20110900
2010-04-16,20120300,20120600,20111200
2010-07-16,20120600,20120900,20120300
2010-10-18,20120900,20121200,20120600
2011-01-17,20121200,20130300,20120900
2011-04-15,20130300,20130600,20121200
2011-07-18,20130600,20130900,20130300
2011-10-17,20130900,20131200,20130600
2012-01-16,20131200,20140300,20130900
2012-04-16,20140300,20140600,20131200
2012-07-16,20140600,20140900,20140300
2012-10-16,20140900,20141200,20140600
2013-01-15,20141200,20150300,20140900
2013-04-15,20150300,20150600,20141200
2013-07-16,20150600,20150900,20150300
2013-10-16,20150900,20151200,20150600
2014-01-15,20151200,20160300,20150900
2014-04-16,20160300,20160600,20151200
2014-07-17,20160600,20160900,20160300
2014-10-17,20160900,20161200,20160600
2015-01-16,20161200,20170300,20160900
2015-04-16,20170300,20170600,20161200
2015-07-17,20170600,20170900,20170300
2015-10-16,20170900,20171200,20170600
2016-01-15,20171200,20180300,20170900
2016-04-15,20180300,20180600,20171200
2016-07-15,20180600,20180900,20180300
2016-10-17,20180900,20181200,20180600
2017-01-16,20181200,20190300,20180900
2017-04-13,20190300,20190600,20181200
2017-07-17,20190600,20190900,20190300
2017-10-16,20190900,20191200,20190600
2018-01-15,20191200,20200300,20190900
2018-04-16,20200300,20200600,20191200
2018-07-17,20200600,20200900,20200300
2018-10-17,20200900,20201200,20200600
2019-01-16,20201200,20210300,20200900
2019-04-16,20210300,20210600,20201200
2019-07-17,20210600,20210900,20210300
2019-10-17,20210900,20211200,20210600
2020-01-16,20211200,20220300,20210900
2020-04-15,20220300,20220600,20211200
2020-07-16,20220600,20220900,20220300
2020-10-16,20220900,20221200,20220600
2021-01-15,20221200,20230300,20220900
2021-04-15,20230300,20230600,20221200
2021-07-16,20230600,20230900,20230300
2021-10-15,20230900,20231200,20230600
2022-01-14,20231200,20240300,20230900
2022-04-14,20240300,20240600,20231200
2022-07-18,20240600,20240900,20240300
2022-10-17,20240900,20241200,20240600
2023-01-16,20241200,20250300,20240900
2023-04-17,20250300,20250600,20241200
2023-07-17,20250600,20250900,20250300
2023-10-17,20250900,20251200,20250600
2024-01-16,20251200,20260300,20250900
2024-04-15,20260300,20260600,20251200
2024-07-16,20260600,20260900,20260300
2024-10-16,20260900,20261200,20260600
2025-01-15,20261200,20270300,20260900
2025-04-15,20270300,20270600,20261200
2025-07-16,20270600,20270900,20270300
2025-10-16,20270900,20271200,20270600
2026-01-15,20271200,20280300,20270900
2026-04-16,20280300,20280600,20271200
2026-07-17,20280600,20280900,20280300
2026-09-18,20280900,20281200,20280600
