DATE_TIME,current_contract,next_contract,carry_contract
1994-11-18,19941200,19950300,19950300
1995-02-16,19950300,19950600,19950600
1995-05-19,19950600,19950900,19950900
1995-08-18,19950900,19951200,19951200
1995-11-17,19951200,19960300,19960300
1996-02-16,19960300,19960600,19960600
1996-05-20,19960600,19960900,19960900
1996-08-19,19960900,19961200,19961200
1996-11-18,19961200,19970300,19970300
1997-02-14,19970300,19970600,19970600
1997-05-19,19970600,19970900,19970900
1997-08-19,19970900,19971200,19971200
1997-11-18,19971200,19980300,19980300
1998-02-16,19980300,19980600,19980600
1998-05-19,19980600,19980900,19980900
1998-08-19,19980900,19981200,19981200
1998-11-18,19981200,19990300,19990300
1999-02-16,19990300,19990600,19990600
1999-05-19,19990600,19990900,19990900
1999-08-19,19990900,19991200,19991200
1999-11-18,19991200,20000300,20000300
2000-02-17,20000300,20000600,20000600
2000-05-19,20000600,20000900,20000900
2000-08-18,20000900,20001200,20001200
2000-11-17,20001200,20010300,20010300
2001-02-16,20010300,20010600,20010600
2001-05-18,20010600,20010900,20010900
2001-08-20,20010900,20011200,20011200
2001-11-19,20011200,20020300,20020300
2002-02-15,20020300,20020600,20020600
2002-05-20,20020600,20020900,20020900
2002-08-19,20020900,20021200,20021200
2002-11-18,20021200,20030300,20030300
2003-02-17,20030300,20030600,20030600
2003-05-19,20030600,20030900,20030900
2003-08-19,20030900,20031200,20031200
2003-11-18,20031200,20040300,20040300
2004-02-17,20040300,20040600,20040600
2004-05-19,20040600,20040900,20040900
2004-08-19,20040900,20041200,20041200
2004-11-18,20041200,20050300,20050300
2005-02-16,20050300,20050600,20050600
2005-05-19,20050600,20050900,20050900
2005-08-19,20050900,20051200,20051200
2005-11-18,20051200,20060300,20060300
2006-02-16,20060300,20060600,20060600
2006-05-19,20060600,20060900,20060900
2006-08-18,20060900,20061200,20061200
2006-11-17,20061200,20070300,20070300
2007-02-16,20070300,20070600,20070600
2007-05-18,20070600,20070900,20070900
2007-08-20,20070900,20071200,20071200
2007-11-19,20071200,20080300,20080300
2008-02-18,20080300,20080600,20080600
2008-05-19,20080600,20080900,20080900
2008-08-19,20080900,20081200,20081200
2008-11-18,20081200,20090300,20090300
2009-02-16,20090300,20090600,20090600
2009-05-19,20090600,20090900,20090900
2009-08-19,20090900,20091200,20091200
2009-11-18,20091200,20100300,20100300
2010-02-16,20100300,20100600,20100600
2010-05-19,20100600,20100900,20100900
2010-08-19,20100900,20101200,20101200
2010-11-18,20101200,20110300,20110300
2011-02-16,20110300,20110600,20110600
2011-05-19,20110600,20110900,20110900
2011-08-19,20110900,20111200,20111200
2011-11-18,20111200,20120300,20120300
2012-02-17,20120300,20120600,20120600
2012-05-18,20120600,20120900,20120900
2012-08-20,20120900,20121200,20121200
2012-11-19,20121200,20130300,20130300
2013-02-15,20130300,20130600,20130600
2013-05-20,20130600,20130900,20130900
2013-08-19,20130900,20131200,20131200
2013-11-18,20131200,20140300,20140300
2014-02-17,20140300,20140600,20140600
2014-05-19,20140600,20140900,20140900
2014-08-19,20140900,20141200,20141200
2014-11-18,20141200,20150300,20150300
2015-02-16,20150300,20150600,20150600
2015-05-19,20150600,20150900,20150900
2015-08-19,20150900,20151200,20151200
2015-11-18,20151200,20160300,20160300
2016-02-17,20160300,20160600,20160600
2016-05-19,20160600,20160900,20160900
2016-08-19,20160900,20161200,20161200
2016-11-18,20161200,20170300,20170300
2017-02-16,20170300,20170600,20170600
2017-05-19,20170600,20170900,20170900
2017-08-18,20170900,20171200,20171200
2017-11-17,20171200,20180300,20180300
2018-02-16,20180300,20180600,20180600
2018-05-18,20180600,20180900,20180900
2018-08-20,20180900,20181200,20181200
2018-11-19,20181200,20190300,20190300
2019-02-15,20190300,20190600,20190600
2019-05-20,20190600,20190900,20190900
2019-08-19,20190900,20191200,20191200
2019-11-18,20191200,20200300,20200300
2020-02-17,20200300,20200600,20200600
2020-05-19,20200600,20200900,20200900
2020-08-19,20200900,20201200,20201200
2020-11-18,20201200,20210300,20210300
2021-02-16,20210300,20210600,20210600
2021-05-19,20210600,20210900,20210900
2021-08-19,20210900,20211200,20211200
2021-11-18,20211200,20220300,20220300
2022-02-16,20220300,20220600,20220600
2022-05-19,20220600,20220900,20220900
2022-08-19,20220900,20221200,20221200
2022-11-18,20221200,20230300,20230300
2023-02-16,20230300,20230600,20230600
2023-05-19,20230600,20230900,20230900
2023-08-18,20230900,20231200,20231200
2023-11-17,20231200,20240300,20240300
2024-02-16,20240300,20240600,20240600
2024-05-20,20240600,20240900,20240900
2024-08-19,20240900,20241200,20241200
2024-11-18,20241200,20250300,20250300
2025-02-17,20250300,20250600,20250600
2025-05-19,20250600,20250900,20250900
2025-08-19,20250900,20251200,20251200
2025-11-18,20251200,20260300,20260300
2026-02-16,20260300,20260600,20260600
2026-05-19,20260600,20260900,20260900
2026-08-19,20260900,20261200,20261200
2026-09-18,20261200,20270300,20270300
