DATE_TIME,current_contract,next_contract,carry_contract
1989-09-08,19891200,19900300,19890900
1989-12-08,19900300,19900600,19891200
1990-03-08,19900600,19900900,19900300
1990-06-08,19900900,19901200,19900600
1990-09-12,19901200,19910300,19900900
1990-12-12,19910300,19910600,19901200
1991-03-12,19910600,19910900,19910300
1991-06-12,19910900,19911200,19910600
1991-09-12,19911200,19920300,19910900
1991-12-12,19920300,19920600,19911200
1992-03-12,19920600,19920900,19920300
1992-06-11,19920900,19921200,19920600
1992-09-10,19921200,19930300,19920900
1992-12-10,19930300,19930600,19921200
1993-03-11,19930600,19930900,19930300
1993-06-10,19930900,19931200,19930600
1993-09-10,19931200,19940300,19930900
1993-12-10,19940300,19940600,19931200
1994-03-10,19940600,19940900,19940300
1994-06-10,19940900,19941200,19940600
1994-09-12,19941200,19950300,19940900
1994-12-12,19950300,19950600,19941200
1995-03-10,19950600,19950900,19950300
1995-06-12,19950900,19951200,19950600
1995-09-12,19951200,19960300,19950900
1995-12-12,19960300,19960600,19951200
1996-03-12,19960600,19960900,19960300
1996-06-12,19960900,19961200,19960600
1996-09-12,19961200,19970300,19960900
1996-12-12,19970300,19970600,19961200
1997-03-12,19970600,19970900,19970300
1997-06-12,19970900,19971200,19970600
1997-09-11,19971200,19980300,19970900
1997-12-11,19980300,19980600,19971200
1998-03-12,19980600,19980900,19980300
1998-06-11,19980900,19981200,19980600
1998-09-10,19981200,19990300,19980900
1998-12-10,19990300,19990600,19981200
1999-03-11,19990600,19990900,19990300
1999-06-10,19990900,19991200,19990600
1999-09-10,19991200,20000300,19990900
1999-12-10,20000300,20000600,19991200
2000-03-10,20000600,20000900,20000300
2000-06-12,20000900,20001200,20000600
2000-09-12,20001200,20010300,20000900
2000-12-12,20010300,20010600,20001200
2001-03-12,20010600,20010900,20010300
2001-06-12,20010900,20011200,20010600
2001-09-12,20011200,20020300,20010900
2001-12-12,20020300,20020600,20011200
2002-03-12,20020600,20020900,20020300
2002-06-12,20020900,20021200,20020600
2002-09-12,20021200,20030300,20020900
2002-12-12,20030300,20030600,20021200
2003-03-12,20030600,20030900,20030300
2003-06-12,20030900,20031200,20030600
2003-09-11,20031200,20040300,20030900
2003-12-11,20040300,20040600,20031200
2004-03-11,20040600,20040900,20040300
2004-06-10,20040900,20041200,20040600
2004-09-10,20041200,20050300,20040900
2004-12-10,20050300,20050600,20041200
2005-03-10,20050600,20050900,20050300
2005-06-10,20050900,20051200,20050600
2005-09-12,20051200,20060300,20050900
2005-12-12,20060300,20060600,20051200
2006-03-10,20060600,20060900,20060300
2006-06-12,20060900,20061200,20060600
2006-09-12,20061200,20070300,20060900
2006-12-12,20070300,20070600,20061200
2007-03-12,20070600,20070900,20070300
2007-06-12,20070900,20071200,20070600
2007-09-12,20071200,20080300,20070900
2007-12-12,20080300,20080600,20071200
