DATE_TIME,current_contract,next_contract,carry_contract
2022-08-08 23:00:00,20220900,20221100,20221100
2022-09-27 23:00:00,20221100,20230100,20230100
2022-10-13 23:00:00,20230100,20230300,20230300
2022-11-28 00:00:00,20230100,20230300,20230300
2023-01-25 00:00:00,20230300,20230500,20230500
2023-03-27 00:00:00,20230500,20230700,20230700
2023-05-26 00:00:00,20230700,20230900,20230900
2023-07-28 00:00:00,20230900,20231100,20231100
2023-09-27 00:00:00,20231100,20240100,20240100
2023-11-27 00:00:00,20240100,20240300,20240300
2024-01-26 00:00:00,20240300,20240500,20240500
2024-03-27 00:00:00,20240500,20240700,20240700
2024-05-28 00:00:00,20240700,20240900,20240900
2024-07-29 00:00:00,20240900,20241100,20241100
2024-09-27 00:00:00,20241100,20250100,20250100
2024-11-27 00:00:00,20250100,20250300,20250300
2025-01-24 00:00:00,20250300,20250500,20250500
2025-03-27 00:00:00,20250500,20250700,20250700
2025-05-27 00:00:00,20250700,20250900,20250900
2025-07-28 00:00:00,20250900,20251100,20251100
2025-09-26 00:00:00,20251100,20260100,20260100
2025-11-26 00:00:00,20260100,20260300,20260300
2026-01-26 00:00:00,20260300,20260500,20260500
2026-03-27 00:00:00,20260500,20260700,20260700
2026-05-27 00:00:00,20260700,20260900,20260900
2026-07-28 00:00:00,20260900,20261100,20261100
2026-09-18 00:00:00,20261100,20270100,20270100
