DATE_TIME,current_contract,next_contract,carry_contract
1980-03-11,19800500,19800900,19800300
1980-05-20,19800900,19801200,19800500
1980-09-19,19801200,19810300,19800900
1980-12-18,19810300,19810500,19801200
1981-03-11,19810500,19810900,19810300
1981-05-19,19810900,19811200,19810500
1981-09-21,19811200,19820300,19810900
1981-12-21,19820300,19820500,19811200
1982-03-11,19820500,19820900,19820300
1982-05-19,19820900,19821200,19820500
1982-09-21,19821200,19830300,19820900
1982-12-20,19830300,19830500,19821200
1983-03-11,19830500,19830900,19830300
1983-05-19,19830900,19831200,19830500
1983-09-21,19831200,19840300,19830900
1983-12-20,19840300,19840500,19831200
1984-03-12,19840500,19840900,19840300
1984-05-18,19840900,19841200,19840500
1984-09-19,19841200,19850300,19840900
1984-12-19,19850300,19850500,19841200
1985-03-11,19850500,19850900,19850300
1985-05-21,19850900,19851200,19850500
1985-09-19,19851200,19860300,19850900
1985-12-19,19860300,19860500,19851200
1986-03-11,19860500,19860900,19860300
1986-05-20,19860900,19861200,19860500
1986-09-19,19861200,19870300,19860900
1986-12-19,19870300,19870500,19861200
1987-03-11,19870500,19870900,19870300
1987-05-19,19870900,19871200,19870500
1987-09-21,19871200,19880300,19870900
1987-12-21,19880300,19880500,19871200
1988-03-11,19880500,19880900,19880300
1988-05-19,19880900,19881200,19880500
1988-09-21,19881200,19890300,19880900
1988-12-20,19890300,19890500,19881200
1989-03-10,19890500,19890900,19890300
1989-05-19,19890900,19891200,19890500
1989-09-20,19891200,19900300,19890900
1989-12-19,19900300,19900500,19891200
1990-03-12,19900500,19900900,19900300
1990-05-21,19900900,19901200,19900500
1990-09-19,19901200,19910300,19900900
1990-12-19,19910300,19910500,19901200
1991-03-11,19910500,19910900,19910300
1991-05-21,19910900,19911200,19910500
1991-09-19,19911200,19920300,19910900
1991-12-19,19920300,19920500,19911200
1992-03-11,19920500,19920900,19920300
1992-05-19,19920900,19921200,19920500
1992-09-21,19921200,19930300,19920900
1992-12-21,19930300,19930500,19921200
1993-03-11,19930500,19930900,19930300
1993-05-19,19930900,19931200,19930500
1993-09-21,19931200,19940300,19930900
1993-12-20,19940300,19940500,19931200
1994-03-11,19940500,19940900,19940300
1994-05-19,19940900,19941200,19940500
1994-09-21,19941200,19950300,19940900
1994-12-20,19950300,19950500,19941200
1995-03-10,19950500,19950900,19950300
1995-05-19,19950900,19951200,19950500
1995-09-20,19951200,19960300,19950900
1995-12-19,19960300,19960500,19951200
1996-03-11,19960500,19960900,19960300
1996-05-21,19960900,19961200,19960500
1996-09-20,19961200,19970300,19960900
1996-12-19,19970300,19970500,19961200
1997-03-11,19970500,19970900,19970300
1997-05-20,19970900,19971200,19970500
1997-09-19,19971200,19980300,19970900
1997-12-19,19980300,19980500,19971200
1998-03-11,19980500,19980900,19980300
1998-05-19,19980900,19981200,19980500
1998-09-21,19981200,19990300,19980900
1998-12-21,19990300,19990500,19981200
1999-03-11,19990500,19990900,19990300
1999-05-19,19990900,19991200,19990500
1999-09-21,19991200,20000300,19990900
1999-12-20,20000300,20000500,19991200
2000-03-10,20000500,20000900,20000300
2000-05-19,20000900,20001200,20000500
2000-09-20,20001200,20010300,20000900
2000-12-18,20010300,20010500,20001200
2001-03-12,20010500,20010900,20010300
2001-05-21,20010900,20011200,20010500
2001-09-19,20011200,20020300,20010900
2001-12-18,20020300,20020500,20011200
2002-03-11,20020500,20020900,20020300
2002-05-21,20020900,20021200,20020500
2002-09-19,20021200,20030300,20020900
2002-12-19,20030300,20030500,20021200
2003-03-11,20030500,20030900,20030300
2003-05-20,20030900,20031200,20030500
2003-09-19,20031200,20040300,20030900
2003-12-19,20040300,20040500,20031200
2004-03-11,20040500,20040900,20040300
2004-05-19,20040900,20041200,20040500
2004-09-21,20041200,20050300,20040900
2004-12-20,20050300,20050500,20041200
2005-03-11,20050500,20050900,20050300
2005-05-13,20050900,20051200,20050500
2005-09-14,20051200,20060300,20050900
2005-12-14,20060300,20060500,20051200
2006-03-10,20060500,20060900,20060300
2006-05-12,20060900,20061200,20060500
2006-09-14,20061200,20070300,20060900
2006-12-14,20070300,20070500,20061200
2007-03-12,20070500,20070900,20070300
2007-05-14,20070900,20071200,20070500
2007-09-14,20071200,20080300,20070900
2007-12-14,20080300,20080500,20071200
2008-03-11,20080500,20080900,20080300
2008-05-14,20080900,20081200,20080500
2008-09-12,20081200,20090300,20080900
2008-12-12,20090300,20090500,20081200
2009-03-11,20090500,20090900,20090300
2009-05-14,20090900,20091200,20090500
2009-09-14,20091200,20100300,20090900
2009-12-14,20100300,20100500,20091200
2010-03-11,20100500,20100900,20100300
2010-05-14,20100900,20101200,20100500
2010-09-14,20101200,20110300,20100900
2010-12-14,20110300,20110500,20101200
2011-03-11,20110500,20110900,20110300
2011-05-13,20110900,20111200,20110500
2011-09-14,20111200,20120300,20110900
2011-12-14,20120300,20120500,20111200
2012-03-12,20120500,20120900,20120300
2012-05-14,20120900,20121200,20120500
2012-09-14,20121200,20130300,20120900
2012-12-14,20130300,20130500,20121200
2013-03-11,20130500,20130900,20130300
2013-05-14,20130900,20131200,20130500
2013-09-13,20131200,20140300,20130900
2013-12-13,20140300,20140500,20131200
2014-03-11,20140500,20140900,20140300
2014-05-14,20140900,20141200,20140500
2014-09-12,20141200,20150300,20140900
2014-12-12,20150300,20150500,20141200
2015-03-11,20150500,20150900,20150300
2015-05-14,20150900,20151200,20150500
2015-09-14,20151200,20160300,20150900
2015-12-14,20160300,20160500,20151200
2016-03-11,20160500,20160900,20160300
2016-05-13,20160900,20161200,20160500
2016-09-14,20161200,20170300,20160900
2016-12-14,20170300,20170500,20161200
2017-03-10,20170500,20170900,20170300
2017-05-12,20170900,20171200,20170500
2017-09-14,20171200,20180300,20170900
2017-12-14,20180300,20180500,20171200
2018-03-12,20180500,20180900,20180300
2018-05-14,20180900,20181200,20180500
2018-09-14,20181200,20190300,20180900
2018-12-14,20190300,20190500,20181200
2019-03-11,20190500,20190900,20190300
2019-05-14,20190900,20191200,20190500
2019-09-13,20191200,20200300,20190900
2019-12-13,20200300,20200500,20191200
2020-03-11,20200500,20200900,20200300
2020-05-14,20200900,20201200,20200500
2020-09-14,20201200,20210300,20200900
2020-12-14,20210300,20210500,20201200
2021-03-11,20210500,20210900,20210300
2021-05-14,20210900,20211200,20210500
2021-09-14,20211200,20220300,20210900
2021-12-14,20220300,20220500,20211200
2022-03-11,20220500,20220900,20220300
2022-05-13,20220900,20221200,20220500
2022-09-14,20221200,20230300,20220900
2022-12-14,20230300,20230500,20221200
2023-03-10,20230500,20230900,20230300
2023-05-12,20230900,20231200,20230500
2023-09-14,20231200,20240300,20230900
2023-12-14,20240300,20240500,20231200
2024-03-11,20240500,20240900,20240300
2024-05-14,20240900,20241200,20240500
2024-09-13,20241200,20250300,20240900
2024-12-13,20250300,20250500,20241200
2025-03-11,20250500,20250900,20250300
2025-05-14,20250900,20251200,20250500
2025-09-12,20251200,20260300,20250900
2025-12-12,20260300,20260500,20251200
2026-03-11,20260500,20260900,20260300
2026-05-14,20260900,20261200,20260500
2026-09-14,20261200,20270300,20260900
