DATE_TIME,current_contract,next_contract,carry_contract
2018-06-07 23:00:00,20180600,20180900,20180900
2018-09-10 23:00:00,20180900,20181200,20181200
2018-12-10 23:00:00,20181200,20190300,20190300
2019-03-07 23:00:00,20190300,20190600,20190600
2019-06-10 23:00:00,20190600,20190900,20190900
2019-09-10 23:00:00,20190900,20191200,20191200
2019-12-10 23:00:00,20191200,20200300,20200300
2020-03-10 23:00:00,20200300,20200600,20200600
2020-06-10 23:00:00,20200600,20200900,20200900
2020-09-10 23:00:00,20200900,20201200,20201200
2020-12-10 23:00:00,20201200,20210300,20210300
2021-03-10 23:00:00,20210300,20210600,20210600
2021-06-10 23:00:00,20210600,20210900,20210900
2021-09-09 23:00:00,20210900,20211200,20211200
2024-03-07 06:00:00,20240300,20240600,20240600
2024-06-10 05:00:00,20240600,20240900,20240900
2024-09-10 05:00:00,20240900,20241200,20241200
2024-12-10 06:00:00,20241200,20250300,20250300
2025-03-10 05:00:00,20250300,20250600,20250600
2025-04-04 05:00:00,20250600,20250900,20250900
