DATE_TIME,current_contract,next_contract,carry_contract
1980-02-15,19800500,19800700,19800300
1980-04-16,19800700,19800900,19800500
1980-06-17,19800900,19801200,19800700
1980-09-16,19801200,19810300,19800900
1980-12-15,19810300,19810500,19801200
1981-02-13,19810500,19810700,19810300
1981-04-16,19810700,19810900,19810500
1981-06-17,19810900,19811200,19810700
1981-09-16,19811200,19820300,19810900
1981-12-15,19820300,19820500,19811200
1982-02-12,19820500,19820700,19820300
1982-04-16,19820700,19820900,19820500
1982-06-17,19820900,19821200,19820700
1982-09-16,19821200,19830300,19820900
1982-12-15,19830300,19830500,19821200
1983-02-14,19830500,19830700,19830300
1983-04-15,19830700,19830900,19830500
1983-06-17,19830900,19831200,19830700
1983-09-16,19831200,19840300,19830900
1983-12-16,19840300,19840500,19831200
1984-02-15,19840500,19840700,19840300
1984-04-16,19840700,19840900,19840500
1984-06-18,19840900,19841200,19840700
1984-09-17,19841200,19850300,19840900
1984-12-14,19850300,19850500,19841200
1985-02-14,19850500,19850700,19850300
1985-04-16,19850700,19850900,19850500
1985-06-17,19850900,19851200,19850700
1985-09-16,19851200,19860300,19850900
1985-12-16,19860300,19860500,19851200
1986-02-14,19860500,19860700,19860300
1986-04-16,19860700,19860900,19860500
1986-06-17,19860900,19861200,19860700
1986-09-16,19861200,19870300,19860900
1986-12-15,19870300,19870500,19861200
1987-02-13,19870500,19870700,19870300
1987-04-16,19870700,19870900,19870500
1987-06-17,19870900,19871200,19870700
1987-09-16,19871200,19880300,19870900
1987-12-16,19880300,19880500,19871200
1988-02-16,19880500,19880700,19880300
1988-04-15,19880700,19880900,19880500
1988-06-17,19880900,19881200,19880700
1988-09-16,19881200,19890300,19880900
1988-12-15,19890300,19890500,19881200
1989-02-14,19890500,19890700,19890300
1989-04-17,19890700,19890900,19890500
1989-06-16,19890900,19891200,19890700
1989-09-15,19891200,19900300,19890900
1989-12-15,19900300,19900500,19891200
1990-02-14,19900500,19900700,19900300
1990-04-16,19900700,19900900,19900500
1990-06-18,19900900,19901200,19900700
1990-09-17,19901200,19910300,19900900
1990-12-14,19910300,19910500,19901200
1991-02-14,19910500,19910700,19910300
1991-04-16,19910700,19910900,19910500
1991-06-17,19910900,19911200,19910700
1991-09-16,19911200,19920300,19910900
1991-12-16,19920300,19920500,19911200
1992-02-14,19920500,19920700,19920300
1992-04-16,19920700,19920900,19920500
1992-06-17,19920900,19921200,19920700
1992-09-16,19921200,19930300,19920900
1992-12-15,19930300,19930500,19921200
1993-02-12,19930500,19930700,19930300
1993-04-16,19930700,19930900,19930500
1993-06-17,19930900,19931200,19930700
1993-09-16,19931200,19940300,19930900
1993-12-15,19940300,19940500,19931200
1994-02-14,19940500,19940700,19940300
1994-04-15,19940700,19940900,19940500
1994-06-17,19940900,19941200,19940700
1994-09-16,19941200,19950300,19940900
1994-12-15,19950300,19950500,19941200
1995-02-14,19950500,19950700,19950300
1995-04-17,19950700,19950900,19950500
1995-06-16,19950900,19951200,19950700
1995-09-15,19951200,19960300,19950900
1995-12-15,19960300,19960500,19951200
1996-02-15,19960500,19960700,19960300
1996-04-16,19960700,19960900,19960500
1996-06-17,19960900,19961200,19960700
1996-09-16,19961200,19970300,19960900
1996-12-16,19970300,19970500,19961200
1997-02-14,19970500,19970700,19970300
1997-04-16,19970700,19970900,19970500
1997-06-17,19970900,19971200,19970700
1997-09-16,19971200,19980300,19970900
