DATE_TIME,current_contract,next_contract,carry_contract
1980-02-11,19800300,19800500,19800200
1980-04-11,19800500,19800700,19800400
1980-06-12,19800700,19800900,19800600
1980-08-13,19800900,19801200,19800800
1980-11-12,19801200,19810300,19801100
1981-02-10,19810300,19810500,19810200
1981-04-13,19810500,19810700,19810400
1981-06-12,19810700,19810900,19810600
1981-08-13,19810900,19811200,19810800
1981-11-12,19811200,19820300,19811100
1982-02-10,19820300,19820500,19820200
1982-04-12,19820500,19820700,19820400
1982-06-11,19820700,19820900,19820600
1982-08-13,19820900,19821200,19820800
1982-11-12,19821200,19830300,19821100
1983-02-10,19830300,19830500,19830200
1983-04-12,19830500,19830700,19830400
1983-06-13,19830700,19830900,19830600
1983-08-12,19830900,19831200,19830800
1983-11-11,19831200,19840300,19831100
1984-02-10,19840300,19840500,19840200
1984-04-12,19840500,19840700,19840400
1984-06-12,19840700,19840900,19840600
1984-08-13,19840900,19841200,19840800
1984-11-12,19841200,19850300,19841100
1985-02-11,19850300,19850500,19850200
1985-04-12,19850500,19850700,19850400
1985-06-12,19850700,19850900,19850600
1985-08-13,19850900,19851200,19850800
1985-11-12,19851200,19860300,19851100
1986-02-10,19860300,19860500,19860200
1986-04-11,19860500,19860700,19860400
1986-06-12,19860700,19860900,19860600
1986-08-13,19860900,19861200,19860800
1986-11-12,19861200,19870300,19861100
1987-02-10,19870300,19870500,19870200
1987-04-13,19870500,19870700,19870400
1987-06-12,19870700,19870900,19870600
1987-08-13,19870900,19871200,19870800
1987-11-12,19871200,19880300,19871100
1988-02-11,19880300,19880500,19880200
1988-04-12,19880500,19880700,19880400
1988-06-13,19880700,19880900,19880600
1988-08-12,19880900,19881200,19880800
1988-11-11,19881200,19890300,19881100
1989-02-10,19890300,19890500,19890200
1989-04-12,19890500,19890700,19890400
1989-06-12,19890700,19890900,19890600
1989-08-14,19890900,19891200,19890800
1989-11-13,19891200,19900300,19891100
1990-02-09,19900300,19900500,19900200
1990-04-12,19900500,19900700,19900400
1990-06-12,19900700,19900900,19900600
1990-08-14,19900900,19901200,19900800
1990-11-12,19901200,19910300,19901100
1991-02-11,19910300,19910500,19910200
1991-04-12,19910500,19910700,19910400
1991-06-12,19910700,19910900,19910600
1991-08-13,19910900,19911200,19910800
1991-11-12,19911200,19920300,19911100
1992-02-11,19920300,19920500,19920200
1992-04-13,19920500,19920700,19920400
1992-06-12,19920700,19920900,19920600
1992-08-13,19920900,19921200,19920800
