DATE_TIME,current_contract,next_contract,carry_contract
2018-06-01,20180900,20181200,20180600
2018-06-01,20181200,20190300,20180900
2018-06-01,20190300,20190600,20181200
2018-06-01,20190600,20190900,20190300
2018-06-01,20190900,20191200,20190600
2018-06-01,20191200,20200300,20190900
2018-06-01,20200300,20200600,20191200
2018-06-01,20200600,20200900,20200300
2018-06-01,20200900,20201200,20200600
2018-06-01,20201200,20210300,20200900
2018-06-14,20210300,20210600,20201200
2018-09-14,20210600,20210900,20210300
2018-12-14,20210900,20211200,20210600
2019-03-15,20211200,20220300,20210900
2019-06-14,20220300,20220600,20211200
2019-09-13,20220600,20220900,20220300
2019-12-16,20220900,20221200,20220600
2020-03-16,20221200,20230300,20220900
2020-06-12,20230300,20230600,20221200
2020-09-14,20230600,20230900,20230300
2020-12-14,20230900,20231200,20230600
2021-03-15,20231200,20240300,20230900
2021-06-14,20240300,20240600,20231200
2021-09-14,20240600,20240900,20240300
2021-12-15,20240900,20241200,20240600
2022-03-16,20241200,20250300,20240900
2022-06-14,20250300,20250600,20241200
2022-09-14,20250600,20250900,20250300
2022-12-15,20250900,20251200,20250600
2023-03-16,20251200,20260300,20250900
2023-06-14,20260300,20260600,20251200
2023-09-14,20260600,20260900,20260300
2023-12-15,20260900,20261200,20260600
2024-03-15,20261200,20270300,20260900
2024-06-13,20270300,20270600,20261200
2024-09-13,20270600,20270900,20270300
2024-12-13,20270900,20271200,20270600
2025-03-14,20271200,20280300,20270900
2025-06-13,20280300,20280600,20271200
2025-09-15,20280600,20280900,20280300
2025-12-15,20280900,20281200,20280600
2026-03-16,20281200,20290300,20280900
2026-06-15,20290300,20290600,20281200
2026-09-14,20290600,20290900,20290300
2026-09-18,20290900,20291200,20290600
