DATE_TIME,current_contract,next_contract,carry_contract
1983-02-16,19830300,19830600,19830600
1983-05-16,19830600,19830900,19830900
1983-08-16,19830900,19831200,19831200
1983-11-15,19831200,19840300,19840300
1984-02-14,19840300,19840600,19840600
1984-05-16,19840600,19840900,19840900
1984-08-16,19840900,19841200,19841200
1984-11-15,19841200,19850300,19850300
1985-02-13,19850300,19850600,19850600
1985-05-16,19850600,19850900,19850900
1985-08-16,19850900,19851200,19851200
1985-11-15,19851200,19860300,19860300
1986-02-13,19860300,19860600,19860600
1986-05-16,19860600,19860900,19860900
1986-08-15,19860900,19861200,19861200
1986-11-14,19861200,19870300,19870300
1987-02-13,19870300,19870600,19870600
1987-05-15,19870600,19870900,19870900
1987-08-17,19870900,19871200,19871200
1987-11-16,19871200,19880300,19880300
1988-02-15,19880300,19880600,19880600
1988-05-17,19880600,19880900,19880900
1988-08-16,19880900,19881200,19881200
1988-11-15,19881200,19890300,19890300
1989-02-20,19890300,19890600,19890600
1989-05-16,19890600,19890900,19890900
1989-08-16,19890900,19891200,19891200
1989-11-15,19891200,19900300,19900300
1990-02-13,19900300,19900600,19900600
1990-05-16,19900600,19900900,19900900
1990-08-16,19900900,19901200,19901200
1990-11-15,19901200,19910300,19910300
1991-02-13,19910300,19910600,19910600
1991-05-16,19910600,19910900,19910900
1991-08-16,19910900,19911200,19911200
1991-11-15,19911200,19920300,19920300
1992-02-14,19920300,19920600,19920600
1992-05-15,19920600,19920900,19920900
1992-08-17,19920900,19921200,19921200
1992-11-16,19921200,19930300,19930300
1993-02-12,19930300,19930600,19930600
1993-05-17,19930600,19930900,19930900
1993-08-16,19930900,19931200,19931200
1993-11-15,19931200,19940300,19940300
1994-02-14,19940300,19940600,19940600
1994-05-16,19940600,19940900,19940900
1994-08-16,19940900,19941200,19941200
1994-11-15,19941200,19950300,19950300
1995-02-13,19950300,19950600,19950600
1995-05-16,19950600,19950900,19950900
1995-08-16,19950900,19951200,19951200
1995-11-15,19951200,19960300,19960300
1996-02-14,19960300,19960600,19960600
1996-05-16,19960600,19960900,19960900
1996-08-16,19960900,19961200,19961200
1996-11-15,19961200,19970300,19970300
1997-02-13,19970300,19970600,19970600
1997-05-16,19970600,19970900,19970900
1997-08-15,19970900,19971200,19971200
1997-11-14,19971200,19980300,19980300
1998-02-13,19980300,19980600,19980600
1998-05-15,19980600,19980900,19980900
1998-08-17,19980900,19981200,19981200
1998-11-16,19981200,19990300,19990300
1999-02-12,19990300,19990600,19990600
1999-05-17,19990600,19990900,19990900
1999-08-16,19990900,19991200,19991200
1999-11-15,19991200,20000300,20000300
2000-02-14,20000300,20000600,20000600
2000-05-16,20000600,20000900,20000900
2000-08-16,20000900,20001200,20001200
2000-11-15,20001200,20010300,20010300
2001-02-13,20010300,20010600,20010600
2001-05-16,20010600,20010900,20010900
2001-08-16,20010900,20011200,20011200
2001-11-15,20011200,20020300,20020300
2002-02-13,20020300,20020600,20020600
2002-05-16,20020600,20020900,20020900
2002-08-16,20020900,20021200,20021200
2002-11-15,20021200,20030300,20030300
2003-02-13,20030300,20030600,20030600
2003-05-16,20030600,20030900,20030900
2003-08-15,20030900,20031200,20031200
2003-11-14,20031200,20040300,20040300
2004-02-13,20040300,20040600,20040600
2004-05-17,20040600,20040900,20040900
2004-08-16,20040900,20041200,20041200
2004-11-15,20041200,20050300,20050300
2005-02-14,20050300,20050600,20050600
2005-05-16,20050600,20050900,20050900
2005-08-16,20050900,20051200,20051200
2005-11-15,20051200,20060300,20060300
2006-02-13,20060300,20060600,20060600
2006-05-16,20060600,20060900,20060900
2006-08-16,20060900,20061200,20061000
2006-11-15,20061200,20070300,20070100
2007-02-13,20070300,20070600,20070400
2007-05-16,20070600,20070900,20070700
2007-08-16,20070900,20071200,20071000
2007-11-15,20071200,20080300,20080100
2008-02-14,20080300,20080600,20080600
2008-05-16,20080600,20080900,20080900
2008-08-15,20080900,20081200,20081200
2008-11-14,20081200,20090300,20090300
2009-02-13,20090300,20090600,20090600
2009-05-15,20090600,20090900,20090900
2009-08-17,20090900,20091200,20091200
2009-11-16,20091200,20100300,20100300
2010-02-12,20100300,20100600,20100600
2010-05-17,20100600,20100900,20100700
2010-08-16,20100900,20101200,20101000
2010-11-15,20101200,20110300,20110100
2011-02-14,20110300,20110600,20110400
2011-05-16,20110600,20110900,20110700
2011-08-16,20110900,20111200,20111000
2011-11-15,20111200,20120300,20120100
2012-02-14,20120300,20120600,20120400
2012-05-16,20120600,20120900,20120700
2012-08-16,20120900,20121200,20121000
2012-11-15,20121200,20130300,20130100
2013-02-13,20130300,20130600,20130400
2013-05-16,20130600,20130900,20130700
2013-08-16,20130900,20131200,20131000
2013-11-15,20131200,20140300,20140100
2014-02-13,20140300,20140600,20140400
2014-05-16,20140600,20140900,20140700
2014-08-15,20140900,20141200,20141000
2014-11-14,20141200,20150300,20150100
2015-02-13,20150300,20150600,20150400
2015-05-15,20150600,20150900,20150700
2015-08-17,20150900,20151200,20151000
2015-11-16,20151200,20160300,20160100
2016-02-15,20160300,20160600,20160400
2016-05-16,20160600,20160900,20160700
2016-08-16,20160900,20161200,20161000
2016-11-15,20161200,20170300,20170100
2017-02-13,20170300,20170600,20170400
2017-05-16,20170600,20170900,20170700
2017-08-16,20170900,20171200,20171000
2017-11-15,20171200,20180300,20180100
2018-02-13,20180300,20180600,20180400
2018-05-16,20180600,20180900,20180700
2018-08-16,20180900,20181200,20181000
2018-11-15,20181200,20190300,20190100
2019-02-13,20190300,20190600,20190400
2019-05-16,20190600,20190900,20190700
2019-08-16,20190900,20191200,20191000
2019-11-15,20191200,20200300,20200100
2020-02-14,20200300,20200600,20200400
2020-05-15,20200600,20200900,20200700
2020-08-17,20200900,20201200,20201000
2020-11-16,20201200,20210300,20210100
2021-02-12,20210300,20210600,20210400
2021-05-17,20210600,20210900,20210700
2021-08-16,20210900,20211200,20211000
