DATE_TIME,current_contract,next_contract,carry_contract
1993-01-27,19930500,19931100,19930300
1993-05-21,19931100,19940500,19930500
1994-01-27,19940500,19941100,19940300
1994-05-20,19941100,19950500,19940500
1995-01-27,19950500,19951100,19950300
1995-07-14,19951100,19960500,19950700
1996-01-29,19960500,19961100,19960300
1996-07-12,19961100,19970500,19960700
1997-01-27,19970500,19971100,19970300
1997-07-14,19971100,19980500,19970700
1998-01-27,19980500,19981100,19980300
1998-07-14,19981100,19990500,19980700
1999-01-27,19990500,19991100,19990300
1999-07-14,19991100,20000500,19990700
2000-01-28,20000500,20001100,20000300
2000-07-07,20001100,20010500,20000700
2001-01-26,20010500,20011100,20010300
2001-07-06,20011100,20020500,20010700
2002-01-28,20020500,20021100,20020300
2002-07-05,20021100,20030500,20020700
2003-01-27,20030500,20031100,20030300
2003-07-07,20031100,20040500,20030700
2004-01-28,20040500,20041100,20040300
2004-07-07,20041100,20050500,20040700
2005-01-27,20050500,20051100,20050300
2005-07-07,20051100,20060500,20050700
2006-01-27,20060500,20061100,20060300
2006-07-07,20061100,20070500,20060700
2007-01-26,20070500,20071100,20070300
2007-07-06,20071100,20080500,20070700
2008-01-28,20080500,20081100,20080300
2008-07-07,20081100,20090500,20080700
2009-01-27,20090500,20091100,20090300
2009-07-07,20091100,20100500,20090700
2010-01-27,20100500,20101100,20100300
2010-07-07,20101100,20110500,20100700
2011-01-27,20110500,20111100,20110300
2011-07-07,20111100,20120500,20110700
2012-01-27,20120500,20121100,20120300
2012-07-06,20121100,20130500,20120700
2013-01-28,20130500,20131100,20130300
2013-07-05,20131100,20140500,20130700
2014-01-27,20140500,20141100,20140300
2014-07-07,20141100,20150500,20140700
2015-01-27,20150500,20151100,20150300
2015-07-07,20151100,20160500,20150700
2016-01-28,20160500,20161100,20160300
2016-07-07,20161100,20170500,20160700
2017-01-27,20170500,20171100,20170300
2017-07-07,20171100,20180500,20170700
2018-01-26,20180500,20181100,20180300
2018-07-06,20181100,20190500,20180700
2019-01-28,20190500,20191100,20190300
2019-07-05,20191100,20200500,20190700
2020-01-28,20200500,20201100,20200300
2020-07-07,20201100,20210500,20200700
2021-01-27,20210500,20211100,20210300
2021-07-07,20211100,20220500,20210700
2022-01-27,20220500,20221100,20220300
2022-07-07,20221100,20230500,20220700
2023-01-27,20230500,20231100,20230300
2023-07-07,20231100,20240500,20230700
2024-01-29,20240500,20241100,20240300
2024-07-05,20241100,20250500,20240700
2025-01-27,20250500,20251100,20250300
2025-07-07,20251100,20260500,20250700
2026-01-27,20260500,20261100,20260300
2026-07-07,20261100,20270500,20260700
2026-09-18,20270500,20271100,20270300
