DATE_TIME,current_contract,next_contract,carry_contract
2021-11-26 00:00:00,20211200,20220200,20220200
2022-01-28 00:00:00,20220200,20220400,20220400
2022-03-28 00:00:00,20220400,20220600,20220600
2022-05-27 00:00:00,20220600,20220800,20220800
2022-07-28 00:00:00,20220800,20221000,20221000
2022-09-27 00:00:00,20221000,20221200,20221200
2022-11-27 23:00:00,20221200,20230200,20230200
2023-01-27 00:00:00,20230200,20230400,20230400
2023-03-28 00:00:00,20230400,20230600,20230600
2023-05-28 22:00:00,20230600,20230800,20230800
2023-07-28 00:00:00,20230800,20231000,20231000
2023-09-27 00:00:00,20231000,20231200,20231200
2023-11-27 00:00:00,20231200,20240200,20240200
2024-01-28 23:00:00,20240200,20240400,20240400
2024-03-28 00:00:00,20240400,20240600,20240600
2024-05-28 00:00:00,20240600,20240800,20240800
2024-07-28 22:00:00,20240800,20241000,20241000
