DATE_TIME,current_contract,next_contract,carry_contract
2020-05-26 00:00:00,20200600,20200900,20200900
2020-08-26 00:00:00,20200900,20201200,20201200
2020-11-25 00:00:00,20201200,20210300,20210300
2021-02-23 00:00:00,20210300,20210600,20210600
2021-05-26 00:00:00,20210600,20210900,20210900
2021-08-26 00:00:00,20210900,20211200,20211200
2021-11-25 00:00:00,20211200,20220300,20220300
2022-02-23 00:00:00,20220300,20220600,20220600
2022-05-26 00:00:00,20220600,20220900,20220900
2022-08-26 00:00:00,20220900,20221200,20221200
2022-11-25 00:00:00,20221200,20230300,20230300
2023-02-23 00:00:00,20230300,20230600,20230600
2023-05-26 00:00:00,20230600,20230900,20230900
2023-08-25 00:00:00,20230900,20231200,20231200
2023-11-24 00:00:00,20231200,20240300,20240300
2024-02-23 00:00:00,20240300,20240600,20240600
2024-05-26 22:00:00,20240600,20240900,20240900
